"muni_id","clues_total","clues_publico"
"01001",199,74
"01002",16,13
"01003",26,23
"01004",5,4
"01005",16,10
"01006",11,6
"01007",22,17
"01008",8,7
"01009",8,6
"01010",6,6
"01011",10,5
"02001",139,61
"02002",284,96
"02003",25,10
"02004",468,89
"02005",39,10
"02006",38,28
"02007",6,5
"03001",42,29
"03002",42,35
"03003",126,68
"03008",99,41
"03009",9,6
"04001",15,11
"04002",126,65
"04003",95,43
"04004",40,32
"04005",14,12
"04006",19,18
"04007",12,10
"04008",6,6
"04009",27,22
"04010",19,18
"04011",37,34
"04012",4,4
"04013",4,3
"05001",2,2
"05002",29,13
"05003",10,6
"05004",17,16
"05005",2,2
"05006",8,7
"05007",11,10
"05008",3,3
"05009",21,16
"05010",13,5
"05011",12,12
"05012",2,2
"05013",1,1
"05014",6,6
"05015",3,3
"05016",1,1
"05017",24,19
"05018",56,22
"05019",2,2
"05020",19,14
"05021",3,3
"05022",3,2
"05023",12,12
"05024",20,14
"05025",50,17
"05026",3,3
"05027",25,14
"05028",14,6
"05029",2,2
"05030",170,61
"05031",9,7
"05032",16,12
"05033",31,27
"05034",8,8
"05035",148,45
"05036",12,12
"05037",4,3
"05038",6,6
"06001",12,11
"06002",78,48
"06003",9,9
"06004",10,9
"06005",13,11
"06006",6,6
"06007",69,43
"06008",8,8
"06009",47,34
"06010",27,11
"07001",9,8
"07002",7,4
"07003",18,17
"07004",17,15
"07005",12,12
"07006",15,15
"07007",3,3
"07008",12,10
"07009",20,17
"07010",4,4
"07011",13,13
"07012",16,11
"07013",16,12
"07014",9,8
"07015",16,14
"07016",10,9
"07017",39,28
"07018",6,6
"07019",64,34
"07020",20,18
"07021",12,12
"07022",9,9
"07023",38,38
"07024",5,5
"07025",4,4
"07026",21,21
"07027",51,45
"07028",3,2
"07029",3,3
"07030",14,14
"07031",74,73
"07032",17,15
"07033",5,5
"07034",33,27
"07035",5,4
"07036",3,3
"07037",13,11
"07038",15,15
"07039",16,16
"07040",25,17
"07041",16,16
"07042",6,6
"07043",7,6
"07044",9,9
"07045",5,5
"07046",22,20
"07047",6,6
"07048",12,11
"07049",10,10
"07050",4,4
"07051",23,19
"07052",73,71
"07053",8,8
"07054",14,13
"07055",2,2
"07056",5,5
"07057",38,33
"07058",2,2
"07059",100,91
"07060",5,5
"07061",34,26
"07062",13,12
"07063",3,3
"07064",23,22
"07065",58,48
"07066",11,11
"07067",6,6
"07068",19,16
"07069",45,34
"07070",9,9
"07071",14,13
"07072",10,10
"07073",6,5
"07074",18,13
"07075",7,5
"07076",12,12
"07077",33,31
"07078",65,27
"07079",13,9
"07080",19,18
"07081",19,19
"07082",12,12
"07083",10,10
"07084",5,5
"07085",3,3
"07086",5,2
"07087",16,13
"07088",2,2
"07089",143,68
"07090",2,2
"07091",6,4
"07092",10,10
"07093",12,12
"07094",11,10
"07096",28,28
"07097",57,39
"07098",3,3
"07099",37,36
"07100",15,15
"07101",236,45
"07102",16,13
"07103",11,11
"07104",9,8
"07105",8,7
"07106",21,19
"07107",29,26
"07108",44,35
"07109",19,15
"07110",2,2
"07111",11,10
"07112",14,14
"07113",4,4
"07114",8,7
"07115",9,9
"07116",7,7
"07117",7,7
"07118",3,3
"07119",2,2
"07120",3,3
"07121",1,1
"07122",6,5
"07123",6,5
"07124",10,9
"07125",12,12
"08001",5,5
"08002",7,5
