"muni_idx","cve_ent","cve_mun","nomgeo"
1,"01","005","Jesús María"
2,"01","008","San José de Gracia"
3,"01","001","Aguascalientes"
4,"01","004","Cosío"
5,"01","011","San Francisco de los Romo"
6,"01","006","Pabellón de Arteaga"
7,"01","003","Calvillo"
8,"01","010","El Llano"
9,"01","002","Asientos"
10,"01","009","Tepezalá"
11,"01","007","Rincón de Romos"
12,"02","003","Tecate"
13,"02","004","Tijuana"
14,"02","001","Ensenada"
15,"02","006","San Quintín"
16,"02","007","San Felipe"
17,"02","002","Mexicali"
18,"02","005","Playas de Rosarito"
19,"03","002","Mulegé"
20,"03","009","Loreto"
21,"03","008","Los Cabos"
22,"03","003","La Paz"
23,"03","001","Comondú"
24,"04","003","Carmen"
25,"04","007","Palizada"
26,"04","013","Dzitbalché"
27,"04","005","Hecelchakán"
28,"04","004","Champotón"
29,"04","011","Candelaria"
30,"04","012","Seybaplaya"
31,"04","002","Campeche"
32,"04","006","Hopelchén"
33,"04","001","Calkiní"
34,"04","010","Calakmul"
35,"04","009","Escárcega"
36,"04","008","Tenabo"
37,"05","005","Candela"
38,"05","017","Matamoros"
39,"05","018","Monclova"
40,"05","014","Jiménez"
41,"05","035","Torreón"
42,"05","013","Hidalgo"
43,"05","015","Juárez"
44,"05","020","Múzquiz"
45,"05","024","Parras"
46,"05","026","Progreso"
47,"05","027","Ramos Arizpe"
48,"05","025","Piedras Negras"
49,"05","028","Sabinas"
50,"05","030","Saltillo"
51,"05","031","San Buenaventura"
52,"05","016","Lamadrid"
53,"05","004","Arteaga"
54,"05","002","Acuña"
55,"05","032","San Juan de Sabinas"
56,"05","033","San Pedro"
57,"05","009","Francisco I. Madero"
58,"05","012","Guerrero"
59,"05","006","Castaños"
60,"05","003","Allende"
61,"05","023","Ocampo"
62,"05","008","Escobedo"
63,"05","022","Nava"
64,"05","019","Morelos"
65,"05","007","Cuatro Ciénegas"
66,"05","034","Sierra Mojada"
67,"05","037","Villa Unión"
68,"05","029","Sacramento"
69,"05","001","Abasolo"
70,"05","038","Zaragoza"
71,"05","021","Nadadores"
72,"05","010","Frontera"
73,"05","011","General Cepeda"
74,"05","036","Viesca"
75,"06","006","Ixtlahuacán"
76,"06","002","Colima"
77,"06","005","Cuauhtémoc"
78,"06","008","Minatitlán"
79,"06","001","Armería"
80,"06","004","Coquimatlán"
81,"06","010","Villa de Álvarez"
82,"06","003","Comala"
83,"06","007","Manzanillo"
84,"06","009","Tecomán"
85,"07","019","Comitán de Domínguez"
86,"07","090","Tapalapa"
87,"07","020","La Concordia"
88,"07","021","Copainalá"
89,"07","079","San Fernando"
90,"07","109","Yajalón"
91,"07","108","Villaflores"
92,"07","107","Villa Corzo"
93,"07","106","Venustiano Carranza"
94,"07","104","Tzimol"
95,"07","103","Tuzantán"
96,"07","102","Tuxtla Chico"
97,"07","101","Tuxtla Gutiérrez"
98,"07","120","Capitán Luis Ángel Vidal"
99,"07","074","Reforma"
100,"07","075","Las Rosas"
101,"07","057","Motozintla"
102,"07","007","Amatenango del Valle"
103,"07","111","Zinacantán"
