"muni_idx","prev","prev_q025","prev_q975","n_directo","fuente","suprimir_privacidad","ancho_ic95","cve_ent","cve_mun","nomgeo"
1,0.36795874063339,0.274858571216453,0.470203248350083,8,"muestra_directa",TRUE,0.195344677133631,"01","005","Jesús María"
2,0.361698723559161,0.251474190684786,0.473220232979032,NA,"sintetico_postestratificado",FALSE,0.221746042294246,"01","008","San José de Gracia"
3,0.433108399878107,0.368201865678719,0.499871054345985,162,"muestra_directa",FALSE,0.131669188667266,"01","001","Aguascalientes"
4,0.364381935329982,0.261521264663885,0.474562182351354,5,"muestra_directa",TRUE,0.213040917687468,"01","004","Cosío"
5,0.399687320023209,0.287389375047433,0.519900211604263,NA,"sintetico_postestratificado",FALSE,0.232510836556829,"01","011","San Francisco de los Romo"
6,0.380021685356906,0.276258529035079,0.487736253929403,14,"muestra_directa",FALSE,0.211477724894323,"01","006","Pabellón de Arteaga"
7,0.368671438777354,0.265067483281871,0.478429275647489,NA,"sintetico_postestratificado",FALSE,0.213361792365618,"01","003","Calvillo"
8,0.3338395351508,0.231054478802947,0.443416883823229,NA,"sintetico_postestratificado",FALSE,0.212362405020282,"01","010","El Llano"
9,0.395027603693968,0.299589253757544,0.504575345775643,12,"muestra_directa",FALSE,0.204986092018099,"01","002","Asientos"
10,0.394570767282448,0.310183192311841,0.485149218179803,31,"muestra_directa",FALSE,0.174966025867963,"01","009","Tepezalá"
11,0.336992457213012,0.23714112510206,0.435070224482177,NA,"sintetico_postestratificado",FALSE,0.197929099380118,"01","007","Rincón de Romos"
12,0.41219020246845,0.301964760995421,0.530551651800856,12,"muestra_directa",FALSE,0.228586890805435,"02","003","Tecate"
13,0.371226890861742,0.297448342254295,0.442514426128995,101,"muestra_directa",FALSE,0.1450660838747,"02","004","Tijuana"
14,0.327730819096829,0.244139122416684,0.415985114167628,34,"muestra_directa",FALSE,0.171845991750944,"02","001","Ensenada"
