"muni_idx","prev","prev_q025","prev_q975","n_directo","fuente","suprimir_privacidad","ancho_ic95","cve_ent","cve_mun","nomgeo"
1,0.612761877321689,0.476307641582929,0.733975250106405,3,"muestra_directa",TRUE,0.257667608523476,"01","005","Jesús María"
2,0.585817563598453,0.450108137362005,0.719356826160759,NA,"sintetico_postestratificado",FALSE,0.269248688798754,"01","008","San José de Gracia"
3,0.665389718394662,0.582301180762307,0.739266128701786,121,"muestra_directa",FALSE,0.156964947939479,"01","001","Aguascalientes"
4,0.572186906787417,0.425276924173573,0.702440273963762,3,"muestra_directa",TRUE,0.277163349790189,"01","004","Cosío"
5,0.616959909307997,0.475885878389173,0.741620270987151,NA,"sintetico_postestratificado",FALSE,0.265734392597979,"01","011","San Francisco de los Romo"
6,0.606666751922283,0.473506613931446,0.727576689383579,9,"muestra_directa",TRUE,0.254070075452133,"01","006","Pabellón de Arteaga"
7,0.589892876294606,0.45554812370836,0.714176913935072,NA,"sintetico_postestratificado",FALSE,0.258628790226712,"01","003","Calvillo"
8,0.564571399438782,0.430744830411458,0.685315810616112,NA,"sintetico_postestratificado",FALSE,0.254570980204655,"01","010","El Llano"
9,0.60750666711826,0.468295450083926,0.716436330883571,10,"muestra_directa",FALSE,0.248140880799644,"01","002","Asientos"
10,0.618723970575968,0.510882566581843,0.717053907208436,24,"muestra_directa",FALSE,0.206171340626594,"01","009","Tepezalá"
11,0.591385048145534,0.455928825480856,0.725992601275459,NA,"sintetico_postestratificado",FALSE,0.270063775794603,"01","007","Rincón de Romos"
12,0.635026605451091,0.497120038012142,0.756756065093483,8,"muestra_directa",TRUE,0.259636027081341,"02","003","Tecate"
13,0.597512687795228,0.499814735934263,0.689780542651049,65,"muestra_directa",FALSE,0.189965806716786,"02","004","Tijuana"
14,0.582221993634272,0.45422407824154,0.698427148009029,18,"muestra_directa",FALSE,0.244203069767489,"02","001","Ensenada"
