"muni_idx","prev","prev_q025","prev_q975","n_directo","fuente","suprimir_privacidad","ancho_ic95","cve_ent","cve_mun","nomgeo"
1,0.729490496503882,0.649543769959897,0.800367506864056,1,"muestra_directa",TRUE,0.150823736904158,"01","005","Jesús María"
2,0.662820220767285,0.589027211509494,0.736253792897799,NA,"sintetico_postestratificado",FALSE,0.147226581388305,"01","008","San José de Gracia"
3,0.656948805306059,0.59065715276691,0.715780373988541,88,"muestra_directa",FALSE,0.125123221221631,"01","001","Aguascalientes"
4,0.636618287194145,0.547903788631259,0.719605111039701,1,"muestra_directa",TRUE,0.171701322408442,"01","004","Cosío"
5,0.650659910479161,0.567058475971774,0.731328825084933,NA,"sintetico_postestratificado",FALSE,0.164270349113159,"01","011","San Francisco de los Romo"
6,0.651618126742516,0.578093075663838,0.730848500055414,6,"muestra_directa",TRUE,0.152755424391576,"01","006","Pabellón de Arteaga"
7,0.636795131573599,0.560338135149616,0.710868992524414,NA,"sintetico_postestratificado",FALSE,0.150530857374798,"01","003","Calvillo"
8,0.645763184860219,0.566860666771758,0.7225997637265,NA,"sintetico_postestratificado",FALSE,0.155739096954742,"01","010","El Llano"
9,0.668923363104538,0.59663134545721,0.747797005540941,7,"muestra_directa",TRUE,0.151165660083731,"01","002","Asientos"
10,0.662532733789489,0.587958025250441,0.732210707923758,17,"muestra_directa",FALSE,0.144252682673317,"01","009","Tepezalá"
11,0.687226623382274,0.613494916255808,0.754472522839311,NA,"sintetico_postestratificado",FALSE,0.140977606583503,"01","007","Rincón de Romos"
12,0.651557712598444,0.535363339041953,0.748680104853797,7,"muestra_directa",TRUE,0.213316765811844,"02","003","Tecate"
13,0.69764227259104,0.590742510189903,0.78201397147892,32,"muestra_directa",FALSE,0.191271461289017,"02","004","Tijuana"
14,0.652711840562179,0.547521693200361,0.742834085424976,10,"muestra_directa",FALSE,0.195312392224615,"02","001","Ensenada"
15,0.703078844841273,0.579905516101318,0.804366301333688,3,"muestra_directa",TRUE,0.224460785232371,"02","006","San Quintín"
17,0.631688952373955,0.522096613893123,0.720056597238922,27,"muestra_directa",FALSE,0.197959983345799,"02","002","Mexicali"
18,0.64155091780972,0.513098746743132,0.747715646395878,4,"muestra_directa",TRUE,0.234616899652746,"02","005","Playas de Rosarito"
19,0.645563618284931,0.533287260182967,0.743438345202016,6,"muestra_directa",TRUE,0.210151085019049,"03","002","Mulegé"
20,0.660986441832992,0.534742108613719,0.765419292453655,NA,"sintetico_postestratificado",FALSE,0.230677183839937,"03","009","Loreto"
21,0.713946678127095,0.609796242050791,0.814781367492462,26,"muestra_directa",FALSE,0.204985125441671,"03","008","Los Cabos"
22,0.689067705059089,0.597939292578017,0.77381234798339,57,"muestra_directa",FALSE,0.175873055405373,"03","003","La Paz"
23,0.643509274824745,0.544048187247795,0.728384986367851,36,"muestra_directa",FALSE,0.184336799120056,"03","001","Comondú"
24,0.650120102279251,0.572664318485419,0.724703380262113,31,"muestra_directa",FALSE,0.152039061776694,"04","003","Carmen"
25,0.657374871536719,0.569728841419802,0.744515938105784,3,"muestra_directa",TRUE,0.174787096685981,"04","007","Palizada"
27,0.622947849517513,0.519965349191246,0.714748518179401,NA,"sintetico_postestratificado",FALSE,0.194783168988155,"04","005","Hecelchakán"
28,0.586541517561387,0.504026056953326,0.670277074924848,8,"muestra_directa",TRUE,0.166251017971522,"04","004","Champotón"
