"muni_idx","prev","prev_q025","prev_q975","n_directo","fuente","suprimir_privacidad","ancho_ic95","cve_ent","cve_mun","nomgeo"
1,0.663687250674641,0.544562303144452,0.777389100927884,2,"muestra_directa",TRUE,0.232826797783432,"01","005","Jesús María"
2,0.683704426623512,0.558577342659602,0.793984885426606,NA,"sintetico_postestratificado",FALSE,0.235407542767003,"01","008","San José de Gracia"
3,0.696326365624216,0.617210488505222,0.771013874476872,100,"muestra_directa",FALSE,0.15380338597165,"01","001","Aguascalientes"
4,0.706288031982528,0.573049968103237,0.824081723773716,1,"muestra_directa",TRUE,0.251031755670479,"01","004","Cosío"
5,0.728816920692429,0.609458544943106,0.829097911321635,NA,"sintetico_postestratificado",FALSE,0.219639366378529,"01","011","San Francisco de los Romo"
6,0.730492513534239,0.619174091831498,0.834151732493526,6,"muestra_directa",TRUE,0.214977640662028,"01","006","Pabellón de Arteaga"
7,0.695905185188141,0.582808367998189,0.799885058201757,NA,"sintetico_postestratificado",FALSE,0.217076690203568,"01","003","Calvillo"
8,0.667788495786168,0.53987350810015,0.783135255481551,NA,"sintetico_postestratificado",FALSE,0.2432617473814,"01","010","El Llano"
9,0.718313908967544,0.613946658490431,0.815629985442783,7,"muestra_directa",TRUE,0.201683326952352,"01","002","Asientos"
10,0.710223431915448,0.601780668804677,0.812100182580742,18,"muestra_directa",FALSE,0.210319513776065,"01","009","Tepezalá"
11,0.66983918304782,0.547108341647145,0.783817469146972,NA,"sintetico_postestratificado",FALSE,0.236709127499827,"01","007","Rincón de Romos"
12,0.774875271026212,0.647329651203863,0.882516368309455,7,"muestra_directa",TRUE,0.235186717105593,"02","003","Tecate"
13,0.734438890541258,0.61057887989634,0.83747394118737,39,"muestra_directa",FALSE,0.22689506129103,"02","004","Tijuana"
14,0.768289961999889,0.643015072704544,0.877016157387288,10,"muestra_directa",FALSE,0.234001084682744,"02","001","Ensenada"
15,0.707891849354183,0.539742915745069,0.852684415822908,3,"muestra_directa",TRUE,0.312941500077839,"02","006","San Quintín"
17,0.822490664632016,0.716977490506873,0.902294278851868,28,"muestra_directa",FALSE,0.185316788344995,"02","002","Mexicali"
18,0.709381986915636,0.538112227928779,0.853148866802667,6,"muestra_directa",TRUE,0.315036638873889,"02","005","Playas de Rosarito"
19,0.765777676842891,0.620464957641682,0.880060934405344,7,"muestra_directa",TRUE,0.259595976763662,"03","002","Mulegé"
20,0.771317114974173,0.606303723819798,0.890933681324939,NA,"sintetico_postestratificado",FALSE,0.284629957505142,"03","009","Loreto"
21,0.718630872865275,0.58666479460814,0.831601584004558,34,"muestra_directa",FALSE,0.244936789396418,"03","008","Los Cabos"
22,0.776867690317749,0.671668035321094,0.866441111696396,62,"muestra_directa",FALSE,0.194773076375302,"03","003","La Paz"
23,0.761773639747243,0.641634741157098,0.864626618606132,39,"muestra_directa",FALSE,0.222991877449034,"03","001","Comondú"
24,0.65401917529392,0.543571773305645,0.76432711919039,35,"muestra_directa",FALSE,0.220755345884745,"04","003","Carmen"
25,0.66357049361886,0.519176221342802,0.793234083005523,3,"muestra_directa",TRUE,0.274057861662721,"04","007","Palizada"
27,0.690985856001588,0.554886970097581,0.813519830128434,NA,"sintetico_postestratificado",FALSE,0.258632860030853,"04","005","Hecelchakán"
28,0.684513901632513,0.570632149602325,0.789948944132748,8,"muestra_directa",TRUE,0.219316794530422,"04","004","Champotón"
29,0.664455339431936,0.522238768050226,0.785165948491991,6,"muestra_directa",TRUE,0.262927180441765,"04","011","Candelaria"
30,0.657540343707986,0.511779318414428,0.795372081140254,2,"muestra_directa",TRUE,0.283592762725826,"04","012","Seybaplaya"
31,0.701190688969083,0.600492295308247,0.794807408555339,56,"muestra_directa",FALSE,0.194315113247091,"04","002","Campeche"
32,0.694151303187726,0.590807897553388,0.791756002223526,NA,"sintetico_postestratificado",FALSE,0.200948104670138,"04","006","Hopelchén"
33,0.704087645396706,0.569661383621734,0.817526052573774,6,"muestra_directa",TRUE,0.24786466895204,"04","001","Calkiní"
34,0.694890054736392,0.570136614559562,0.804577481905188,NA,"sintetico_postestratificado",FALSE,0.234440867345625,"04","010","Calakmul"
35,0.698455132728571,0.574145554750264,0.806083632472188,10,"muestra_directa",FALSE,0.231938077721924,"04","009","Escárcega"
36,0.667683740872803,0.532349642150842,0.797277782801068,2,"muestra_directa",TRUE,0.264928140650225,"04","008","Tenabo"
37,0.704573308246044,0.584133971097521,0.813309382649525,NA,"sintetico_postestratificado",FALSE,0.229175411552004,"05","005","Candela"
38,0.766595070282317,0.67275960764586,0.852256253052886,18,"muestra_directa",FALSE,0.179496645407026,"05","017","Matamoros"
39,0.704235267496736,0.568057341758903,0.822986448074283,6,"muestra_directa",TRUE,0.25492910631538,"05","018","Monclova"
40,0.670709661596431,0.502503662520035,0.816469589262545,NA,"sintetico_postestratificado",FALSE,0.31396592674251,"05","014","Jiménez"
41,0.727219182005571,0.621743722922647,0.825691464284374,25,"muestra_directa",FALSE,0.203947741361728,"05","035","Torreón"
42,0.704232772152936,0.548240232607669,0.83686365899276,NA,"sintetico_postestratificado",FALSE,0.288623426385091,"05","013","Hidalgo"
43,0.725644968286317,0.598227202665624,0.829665723862533,NA,"sintetico_postestratificado",FALSE,0.231438521196909,"05","015","Juárez"
44,0.706196726887567,0.580885675591001,0.812625503837205,NA,"sintetico_postestratificado",FALSE,0.231739828246204,"05","020","Múzquiz"
45,0.729844721317284,0.638450762743004,0.822833824495703,7,"muestra_directa",TRUE,0.184383061752699,"05","024","Parras"
46,0.714827746310744,0.58770543994507,0.82234610083874,1,"muestra_directa",TRUE,0.234640660893669,"05","026","Progreso"
47,0.742746948000063,0.648470390682313,0.81970576250476,7,"muestra_directa",TRUE,0.171235371822447,"05","027","Ramos Arizpe"
48,0.658487731309417,0.50424442526488,0.798053920323252,5,"muestra_directa",TRUE,0.293809495058372,"05","025","Piedras Negras"
49,0.716637510630308,0.584770562900939,0.827415430816575,NA,"sintetico_postestratificado",FALSE,0.242644867915636,"05","028","Sabinas"
50,0.677441835521767,0.576919515166948,0.77103195201047,21,"muestra_directa",FALSE,0.194112436843522,"05","030","Saltillo"
51,0.699008066059913,0.581880677088056,0.809728167444914,NA,"sintetico_postestratificado",FALSE,0.227847490356858,"05","031","San Buenaventura"
52,0.734073739105307,0.608159073402387,0.839330499693435,NA,"sintetico_postestratificado",FALSE,0.231171426291049,"05","016","Lamadrid"
53,0.702103023485554,0.584064436455258,0.807355342282248,NA,"sintetico_postestratificado",FALSE,0.223290905826991,"05","004","Arteaga"
54,0.66028876987442,0.525215575069086,0.781919877389803,7,"muestra_directa",TRUE,0.256704302320717,"05","002","Acuña"
55,0.679249367682227,0.503847385283208,0.81246741734273,NA,"sintetico_postestratificado",FALSE,0.308620032059522,"05","032","San Juan de Sabinas"
56,0.713743512269496,0.599358036351913,0.815384902125216,4,"muestra_directa",TRUE,0.216026865773303,"05","033","San Pedro"
57,0.737023249526474,0.631032080017217,0.828236850513242,NA,"sintetico_postestratificado",FALSE,0.197204770496025,"05","009","Francisco I. Madero"
58,0.690105021978769,0.545406909417678,0.81812387592619,NA,"sintetico_postestratificado",FALSE,0.272716966508512,"05","012","Guerrero"
59,0.681086882025555,0.55137923756309,0.796458855667637,NA,"sintetico_postestratificado",FALSE,0.245079618104547,"05","006","Castaños"
60,0.680668682937805,0.525796504564254,0.813079281133485,NA,"sintetico_postestratificado",FALSE,0.28728277656923,"05","003","Allende"
61,0.693938049461781,0.578509372708328,0.796891847218285,NA,"sintetico_postestratificado",FALSE,0.218382474509957,"05","023","Ocampo"
62,0.700627472581009,0.563217495732888,0.821840458397878,NA,"sintetico_postestratificado",FALSE,0.25862296266499,"05","008","Escobedo"
63,0.66751514863602,0.517641410300758,0.795697575599778,NA,"sintetico_postestratificado",FALSE,0.278056165299019,"05","022","Nava"
64,0.672207629323758,0.530117718911839,0.801266679847073,NA,"sintetico_postestratificado",FALSE,0.271148960935233,"05","019","Morelos"
65,0.710928743528889,0.603275549409219,0.803711406761716,NA,"sintetico_postestratificado",FALSE,0.200435857352497,"05","007","Cuatro Ciénegas"
66,0.715771934562395,0.603617543534538,0.821822229982559,NA,"sintetico_postestratificado",FALSE,0.218204686448021,"05","034","Sierra Mojada"
67,0.707694349466726,0.560160615243466,0.831284699244118,NA,"sintetico_postestratificado",FALSE,0.271124084000652,"05","037","Villa Unión"
68,0.690935825599189,0.562749801906192,0.809363624277011,NA,"sintetico_postestratificado",FALSE,0.246613822370819,"05","029","Sacramento"
69,0.677963020632569,0.546944673178602,0.802103261331527,NA,"sintetico_postestratificado",FALSE,0.255158588152925,"05","001","Abasolo"
70,0.676946543942249,0.535026878483955,0.794620819739294,2,"muestra_directa",TRUE,0.259593941255339,"05","038","Zaragoza"
71,0.701627946412535,0.566357989789641,0.818599017557729,NA,"sintetico_postestratificado",FALSE,0.252241027768088,"05","021","Nadadores"
72,0.721724553589542,0.604681680004881,0.830479472252257,NA,"sintetico_postestratificado",FALSE,0.225797792247376,"05","010","Frontera"
