"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
1,-26.2640329342963,-41.4245586658941,-9.9273389358104,0.616451117022471,"muestra_directa",TRUE,0.353810787679508,"muestra_directa",TRUE,TRUE,TRUE,"01","005","Jesús María"
2,-23.2125708922149,-39.3350826036796,-6.17327557486799,0.5911064742365,"sintetico_postestratificado",FALSE,0.358980765314352,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","008","San José de Gracia"
3,-22.6879053344443,-31.7055842249372,-12.3550271515326,0.665666931997331,"muestra_directa",FALSE,0.438787878652887,"muestra_directa",FALSE,TRUE,FALSE,"01","001","Aguascalientes"
4,-20.689929656717,-38.4607376799237,-1.83158578828968,0.576629486672832,"muestra_directa",TRUE,0.369730190105663,"muestra_directa",TRUE,TRUE,TRUE,"01","004","Cosío"
5,-21.4500275957109,-37.7764073212656,-3.83048424618769,0.618232445882096,"sintetico_postestratificado",FALSE,0.403732169924988,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","011","San Francisco de los Romo"
6,-22.2733074172032,-37.8939293207377,-5.60989388836481,0.610582254484003,"muestra_directa",TRUE,0.387849180311971,"muestra_directa",FALSE,TRUE,TRUE,"01","006","Pabellón de Arteaga"
7,-22.3592921242278,-40.0123611270282,-4.94883391764504,0.592023839827952,"sintetico_postestratificado",FALSE,0.368430918585674,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","003","Calvillo"
8,-23.2900852971761,-39.5977024037801,-4.84498864067112,0.571406960040382,"sintetico_postestratificado",FALSE,0.338506107068621,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","010","El Llano"
9,-21.6195610536064,-36.3680219760232,-5.98879052545874,0.614488300203625,"muestra_directa",FALSE,0.398292689667561,"muestra_directa",FALSE,TRUE,FALSE,"01","002","Asientos"
10,-22.3844952453433,-36.0971484052294,-8.33690716893333,0.6223975128378,"muestra_directa",FALSE,0.398552560384367,"muestra_directa",FALSE,TRUE,FALSE,"01","009","Tepezalá"
11,-25.4833735856273,-42.34716629522,-8.12429371421065,0.597264658050831,"sintetico_postestratificado",FALSE,0.342430922194558,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","007","Rincón de Romos"
12,-23.3497493049114,-39.1190304905761,-5.17262038002513,0.63753838242277,"muestra_directa",TRUE,0.404040889373656,"muestra_directa",FALSE,TRUE,TRUE,"02","003","Tecate"
13,-23.0060139634151,-34.9011596898811,-11.2149848932514,0.596906178153218,"muestra_directa",FALSE,0.366846038519067,"muestra_directa",FALSE,TRUE,FALSE,"02","004","Tijuana"
14,-25.8159972581714,-41.6152018658946,-10.7692010443666,0.586261922369452,"muestra_directa",FALSE,0.328101949787738,"muestra_directa",FALSE,TRUE,FALSE,"02","001","Ensenada"
15,-26.8706463020601,-44.4270085100722,-9.86933536581343,0.565984971427454,"muestra_directa",TRUE,0.297278508406854,"muestra_directa",FALSE,TRUE,TRUE,"02","006","San Quintín"
