"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
1,-24.1181149551575,-38.0083078873544,-9.03142500542039,0.715079104263175,"muestra_directa",TRUE,0.4738979547116,"muestra_directa",TRUE,TRUE,TRUE,"01","005","Jesús María"
2,-24.2464865371691,-39.7606256513846,-9.75429000067965,0.668261058285024,"sintetico_postestratificado",FALSE,0.425796192913333,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","008","San José de Gracia"
3,-20.5601100666772,-30.5043732105432,-9.37434938601612,0.661790927564137,"muestra_directa",FALSE,0.456189826897365,"muestra_directa",FALSE,TRUE,FALSE,"01","001","Aguascalientes"
4,-23.1377169319582,-38.8358908404035,-5.75298831892822,0.647068757038414,"muestra_directa",TRUE,0.415691587718832,"muestra_directa",TRUE,TRUE,TRUE,"01","004","Cosío"
5,-22.9117587437106,-38.4681202933054,-7.6825857304674,0.663837403022911,"sintetico_postestratificado",FALSE,0.434719815585806,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","011","San Francisco de los Romo"
6,-24.8207673638877,-39.6886776627333,-11.1373977995249,0.663849434164144,"muestra_directa",TRUE,0.415641760525267,"muestra_directa",TRUE,TRUE,TRUE,"01","006","Pabellón de Arteaga"
7,-24.3633157405184,-38.9736745537712,-9.56539532209523,0.644608817508653,"sintetico_postestratificado",FALSE,0.400975660103469,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","003","Calvillo"
8,-24.9940955208035,-39.4230621939812,-9.83874205618048,0.655653442217276,"sintetico_postestratificado",FALSE,0.405712487009241,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","010","El Llano"
9,-20.6976865456511,-33.4916289707986,-5.34692374446805,0.678734134258813,"muestra_directa",TRUE,0.471757268802303,"muestra_directa",TRUE,TRUE,TRUE,"01","002","Asientos"
10,-23.2541504225891,-36.3505269285954,-9.76879210249216,0.668741910717529,"muestra_directa",FALSE,0.436200406491638,"muestra_directa",FALSE,TRUE,FALSE,"01","009","Tepezalá"
11,-24.5024714608067,-39.518086922851,-10.2050048133557,0.694249307029853,"sintetico_postestratificado",FALSE,0.449224592421785,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","007","Rincón de Romos"
12,-29.8938305295267,-46.5978281313545,-13.2096534978836,0.652039520148603,"muestra_directa",TRUE,0.353101214853337,"muestra_directa",TRUE,TRUE,TRUE,"02","003","Tecate"
13,-29.4476319122358,-45.2577967369878,-13.4175780238813,0.68146629379833,"muestra_directa",FALSE,0.386989974675973,"muestra_directa",FALSE,TRUE,FALSE,"02","004","Tijuana"
14,-29.5561916099534,-46.1615342070381,-11.3530564535119,0.668962255864907,"muestra_directa",FALSE,0.373400339765374,"muestra_directa",FALSE,TRUE,FALSE,"02","001","Ensenada"
15,-28.8341642089382,-44.8094959319837,-10.5110292615898,0.649652265813827,"muestra_directa",TRUE,0.361310623724445,"muestra_directa",TRUE,TRUE,TRUE,"02","006","San Quintín"
17,-28.3525231964984,-42.6837503607196,-13.6271969648876,0.642799517143902,"muestra_directa",FALSE,0.359274285178918,"muestra_directa",FALSE,TRUE,FALSE,"02","002","Mexicali"
18,-29.2404952662373,-46.8053352100248,-9.30232586425921,0.656115843560687,"muestra_directa",TRUE,0.363710890898315,"muestra_directa",TRUE,TRUE,TRUE,"02","005","Playas de Rosarito"
19,-28.3624359158539,-46.0666928543297,-10.4910706121955,0.647598202164798,"muestra_directa",TRUE,0.363973843006259,"muestra_directa",TRUE,TRUE,TRUE,"03","002","Mulegé"
20,-25.1112205596676,-44.3610833001896,-4.2018266837448,0.667805624785837,"sintetico_postestratificado",FALSE,0.416693419189161,"sintetico_postestratificado",FALSE,FALSE,FALSE,"03","009","Loreto"
21,-21.8581361233472,-39.0058110147668,-4.61131745721441,0.704724683018556,"muestra_directa",FALSE,0.486143321785084,"muestra_directa",FALSE,TRUE,FALSE,"03","008","Los Cabos"
22,-21.1273644680791,-34.0045007382383,-7.46344699621058,0.699444905132952,"muestra_directa",FALSE,0.48817126045216,"muestra_directa",FALSE,TRUE,FALSE,"03","003","La Paz"
23,-24.7257743359564,-38.580426298405,-9.49240071351693,0.648103437278392,"muestra_directa",FALSE,0.400845693918828,"muestra_directa",FALSE,TRUE,FALSE,"03","001","Comondú"
24,-27.361027383226,-40.3003624716003,-14.5229825621252,0.646517536283846,"muestra_directa",FALSE,0.372907262451586,"muestra_directa",FALSE,TRUE,FALSE,"04","003","Carmen"
25,-22.3405037515779,-37.4139824549345,-5.82008388335892,0.65834716242217,"muestra_directa",TRUE,0.434942124906391,"muestra_directa",TRUE,TRUE,TRUE,"04","007","Palizada"
27,-22.3042339355739,-38.3090435298762,-5.04683514104398,0.619956352791284,"sintetico_postestratificado",FALSE,0.396914013435545,"sintetico_postestratificado",FALSE,FALSE,FALSE,"04","005","Hecelchakán"
