"muni_idx","obs","pred_bym2","pred_naive","n","vecinos_retenidos","estrato_vecinos"
1,0.25,0.440722020803268,0.448588448588449,8,2,"1-2"
3,0.617283950617284,0.509617609898352,0.448588448588449,162,3,"3+"
4,0.2,0.338736726926174,0.448588448588449,5,2,"1-2"
6,0.428571428571429,0.466378595771266,0.448588448588449,14,2,"1-2"
9,0.583333333333333,0.42843438084952,0.448588448588449,12,4,"3+"
10,0.580645161290323,0.456879104960099,0.448588448588449,31,2,"1-2"
12,0.583333333333333,0.461856273816746,0.448588448588449,12,2,"1-2"
13,0.386138613861386,0.413653310845229,0.448588448588449,101,2,"1-2"
14,0.294117647058824,0.435905270084071,0.448588448588449,34,5,"3+"
15,0.2,0.383815524888054,0.448588448588449,10,2,"1-2"
17,0.388888888888889,0.382745978838669,0.448588448588449,72,2,"1-2"
18,0.857142857142857,0.465730350498711,0.448588448588449,7,1,"1-2"
19,0.318181818181818,0.384246710280153,0.448588448588449,22,2,"1-2"
21,0.377777777777778,0.415676884148941,0.448588448588449,90,1,"1-2"
22,0.48062015503876,0.473377939184084,0.448588448588449,129,2,"1-2"
23,0.609375,0.472384573406821,0.448588448588449,64,2,"1-2"
24,0.538461538461538,0.451446014640097,0.448588448588449,65,5,"3+"
25,0.428571428571429,0.577738941435728,0.448588448588449,7,3,"3+"
28,0.210526315789474,0.373399572534317,0.448588448588449,38,2,"1-2"
29,0.5,0.5147323249111,0.448588448588449,12,3,"3+"
31,0.466666666666667,0.46843202762367,0.448588448588449,120,1,"1-2"
32,0,0.291878176576775,0.448588448588449,5,3,"3+"
33,0.2,0.399398204267355,0.448588448588449,30,1,"1-2"
35,0.357142857142857,0.331932765368108,0.448588448588449,28,3,"3+"
36,0.166666666666667,0.364374685101839,0.448588448588449,12,2,"1-2"
38,0.461538461538462,0.441378957344089,0.448588448588449,39,3,"3+"
39,0.6,0.5464029529471,0.448588448588449,10,0,"0"
41,0.378787878787879,0.501880623803485,0.448588448588449,66,3,"3+"
45,0.5,0.406576072079942,0.448588448588449,14,2,"1-2"
46,0.25,0.427952712490581,0.448588448588449,4,1,"1-2"
47,0.583333333333333,0.261722851398556,0.448588448588449,12,3,"3+"
48,0.833333333333333,0.514824154156338,0.448588448588449,6,0,"0"
50,0.39622641509434,0.457642912349058,0.448588448588449,53,2,"1-2"
54,0.368421052631579,0.364284629365825,0.448588448588449,19,1,"1-2"
56,0.333333333333333,0.512380409135566,0.448588448588449,12,2,"1-2"
70,0.142857142857143,0.321018916549207,0.448588448588449,14,1,"1-2"
76,0.423076923076923,0.381047344368527,0.448588448588449,26,4,"3+"
77,0.5,0.575866876800715,0.448588448588449,4,2,"1-2"
78,0.25,0.536154645707,0.448588448588449,4,3,"3+"
79,0.6,0.467621677488409,0.448588448588449,5,2,"1-2"
80,1,0.398824219107092,0.448588448588449,1,5,"3+"
81,0.388888888888889,0.469902614789156,0.448588448588449,36,4,"3+"
82,0.545454545454545,0.441730191728635,0.448588448588449,22,2,"1-2"
83,0.436363636363636,0.461845951680783,0.448588448588449,55,3,"3+"
84,0.465116279069767,0.474556665478048,0.448588448588449,43,3,"3+"
85,0.4,0.45319698433786,0.448588448588449,10,2,"1-2"
87,0.333333333333333,0.401933711531665,0.448588448588449,6,2,"1-2"
91,0.125,0.291133463993142,0.448588448588449,8,3,"3+"
92,0.2,0.378578843344579,0.448588448588449,15,2,"1-2"
95,0.583333333333333,0.391668162178337,0.448588448588449,12,3,"3+"
97,0.6,0.459654969338131,0.448588448588449,15,2,"1-2"
101,0.1,0.475878935212212,0.448588448588449,10,2,"1-2"
105,0.5,0.436123383049726,0.448588448588449,2,1,"1-2"
109,0.272727272727273,0.400376980446441,0.448588448588449,11,1,"1-2"
113,0,0.305901965479473,0.448588448588449,3,0,"0"
127,0.266666666666667,0.323338206892693,0.448588448588449,15,1,"1-2"
129,1,0.504268929801821,0.448588448588449,2,2,"1-2"
131,0.25,0.374966674395275,0.448588448588449,12,3,"3+"
133,0.8,0.484518779590566,0.448588448588449,5,2,"1-2"
135,0.333333333333333,0.387763140370166,0.448588448588449,3,2,"1-2"
146,0,0.261060353763469,0.448588448588449,11,2,"1-2"
148,0.8,0.37506839583081,0.448588448588449,10,0,"0"
154,0.2,0.364880448635122,0.448588448588449,5,0,"0"
156,0.285714285714286,0.404858491852068,0.448588448588449,14,1,"1-2"
158,0.35,0.307047321577275,0.448588448588449,20,1,"1-2"
159,0.263157894736842,0.320526757164673,0.448588448588449,19,3,"3+"
179,0.444444444444444,0.431694061529294,0.448588448588449,9,0,"0"
182,0.777777777777778,0.440650333869349,0.448588448588449,9,1,"1-2"
184,0,0.369557553705717,0.448588448588449,4,1,"1-2"
188,0.5,0.459797351363739,0.448588448588449,10,1,"1-2"
191,0.5,0.460209475699327,0.448588448588449,4,0,"0"
199,0.2,0.576233799084146,0.448588448588449,5,2,"1-2"
201,0.333333333333333,0.421248548364835,0.448588448588449,6,0,"0"
221,0.545454545454545,0.45983370339805,0.448588448588449,22,2,"1-2"
222,0.25,0.497888081249209,0.448588448588449,4,1,"1-2"
223,0,0.535752357970246,0.448588448588449,2,2,"1-2"
224,0.5,0.588437597399428,0.448588448588449,4,0,"0"
225,0.25,0.308689974511606,0.448588448588449,8,1,"1-2"
229,0.62962962962963,0.563842878576019,0.448588448588449,27,1,"1-2"
231,0.384615384615385,0.411295116879572,0.448588448588449,13,1,"1-2"
234,0.375,0.500411106059884,0.448588448588449,8,2,"1-2"
235,0.25,0.40694945509574,0.448588448588449,4,1,"1-2"
237,0.476190476190476,0.484875639227829,0.448588448588449,21,2,"1-2"
241,0.5,0.646048124629171,0.448588448588449,2,2,"1-2"
242,0.5,0.369550230325878,0.448588448588449,2,1,"1-2"
244,1,0.621486721286836,0.448588448588449,9,0,"0"
259,0.481927710843373,0.506831933980968,0.448588448588449,83,3,"3+"
260,0.375,0.459342889301346,0.448588448588449,8,0,"0"
262,0.495145631067961,0.435020907080283,0.448588448588449,103,0,"0"
273,0.642857142857143,0.526349814417685,0.448588448588449,14,2,"1-2"
275,0.6,0.546715846386284,0.448588448588449,15,2,"1-2"
276,0.482142857142857,0.410048037668002,0.448588448588449,56,4,"3+"
277,0.6,0.475306861696571,0.448588448588449,20,4,"3+"
278,0.481481481481481,0.54477078829664,0.448588448588449,27,6,"3+"
279,0.527363184079602,0.450503952562262,0.448588448588449,201,6,"3+"
280,0.542857142857143,0.429444979662874,0.448588448588449,35,1,"1-2"
281,0.492307692307692,0.527351646192379,0.448588448588449,65,5,"3+"
282,0.428571428571429,0.471476246228258,0.448588448588449,28,5,"3+"
283,0.45,0.484466204367201,0.448588448588449,20,6,"3+"
284,0.5,0.506961652335317,0.448588448588449,6,2,"1-2"
285,0.581395348837209,0.551517564845223,0.448588448588449,43,5,"3+"
286,0.571428571428571,0.481055765088184,0.448588448588449,28,4,"3+"
287,0.325581395348837,0.439317983017555,0.448588448588449,43,5,"3+"
288,0.555555555555556,0.478984465053066,0.448588448588449,99,6,"3+"
289,0.607142857142857,0.513547974193051,0.448588448588449,28,4,"3+"
290,0.431372549019608,0.488128948724055,0.448588448588449,51,4,"3+"
291,0.357142857142857,0.513347098159231,0.448588448588449,14,5,"3+"
292,0.857142857142857,0.474665138123046,0.448588448588449,14,1,"1-2"
293,0.541666666666667,0.469072922222458,0.448588448588449,24,3,"3+"
299,0.5,0.454204833344525,0.448588448588449,10,3,"3+"
303,0.166666666666667,0.534440848030587,0.448588448588449,6,1,"1-2"
305,0.393939393939394,0.484575672802063,0.448588448588449,66,3,"3+"
308,0.75,0.475716742660895,0.448588448588449,4,4,"3+"
309,0.6,0.375319577796445,0.448588448588449,15,1,"1-2"
312,0.549019607843137,0.435496583885631,0.448588448588449,102,3,"3+"
314,0.571428571428571,0.44295806250533,0.448588448588449,14,2,"1-2"
316,0.634146341463415,0.479366643123465,0.448588448588449,41,5,"3+"
321,0.444444444444444,0.461582294569501,0.448588448588449,9,3,"3+"
322,0.642857142857143,0.558464851418122,0.448588448588449,14,4,"3+"
326,0.6,0.485344296751631,0.448588448588449,5,1,"1-2"
327,0.25,0.40381113095844,0.448588448588449,8,2,"1-2"
331,0.5,0.42071856434742,0.448588448588449,14,4,"3+"
332,0.521400778210117,0.443200889073508,0.448588448588449,257,5,"3+"
334,0.447368421052632,0.426800725218795,0.448588448588449,38,2,"1-2"
336,0.833333333333333,0.503059143686076,0.448588448588449,12,6,"3+"
338,0.407407407407407,0.365431678961879,0.448588448588449,27,1,"1-2"
339,0.5,0.445563609537083,0.448588448588449,20,3,"3+"
340,0.181818181818182,0.403486532696893,0.448588448588449,11,2,"1-2"
341,0.538461538461538,0.416689902772655,0.448588448588449,13,3,"3+"
