"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,0.166776383861519,0.263348631816282,0.419234165399452,8,4.29246799263874,0,"0"
3,0.561411398467686,0.406035212740674,0.419234165399452,162,28.6661532042599,0,"0"
4,0.0833628010911262,0.265203555428268,0.419234165399452,5,3.46720130473352,0,"0"
6,0.203870271664623,0.326913407164238,0.419234165399452,14,8.26428809505715,0,"0"
9,0.60624912430372,0.384905990357415,0.419234165399452,12,11.0822131578962,0,"0"
10,0.425380704157065,0.393410728215695,0.419234165399452,31,16.2708777781177,0,"0"
12,0.485065424212349,0.36143758456342,0.419234165399452,12,8.97099406387503,0,"0"
13,0.578554885539868,0.426363386136867,0.419234165399452,101,27.074814482906,0,"0"
14,0.272788617548703,0.390686434326296,0.419234165399452,34,26.0913144496674,0,"0"
15,0.0986330621647931,0.324651834154439,0.419234165399452,10,6.83052561477923,0,"0"
17,0.307772535465625,0.351470885901814,0.419234165399452,72,47.8241396154871,0,"0"
18,0.72068155851895,0.52426386021404,0.419234165399452,7,6.02048036789341,0,"0"
19,0.356627203000663,0.322846882722134,0.419234165399452,22,16.0301320565374,0,"0"
21,0.339437987824449,0.39013027850426,0.419234165399452,90,68.7094297282855,0,"0"
22,0.371884680236003,0.410244802551471,0.419234165399452,129,26.4611786206605,0,"0"
23,0.522661733279609,0.389494163750134,0.419234165399452,64,44.8510104886812,0,"0"
24,0.528034727411878,0.362456395655526,0.419234165399452,65,15.116237187779,1,"1-2"
25,0.506070827844858,0.559258984859076,0.419234165399452,7,6.2001045268071,1,"1-2"
28,0.155326406254294,0.338631131955022,0.419234165399452,38,26.0588120608404,0,"0"
29,0.370307878260261,0.499333606477526,0.419234165399452,12,8.98663840792043,0,"0"
30,0.656467607244043,0.628084490339115,0.419234165399452,3,2.87111160212219,0,"0"
31,0.459390118624442,0.42610546613782,0.419234165399452,120,82.1633815066508,0,"0"
32,0,0.363439903088293,0.419234165399452,5,3.1266571302858,0,"0"
33,0.145596042761116,0.380866825903033,0.419234165399452,30,21.4829174574089,0,"0"
35,0.342607623529863,0.328795918944346,0.419234165399452,28,14.8531250383375,0,"0"
36,0.0979249715081045,0.374617733713711,0.419234165399452,12,10.4602407495483,0,"0"
38,0.354146735935826,0.334537660722995,0.419234165399452,39,23.3030073739896,0,"0"
39,0.321757595894851,0.441484351575686,0.419234165399452,10,6.59719858491236,0,"0"
41,0.328829391780916,0.4476634038279,0.419234165399452,66,32.716204300158,0,"0"
45,0.51052347946383,0.401215535897237,0.419234165399452,14,11.0481740678203,0,"0"
46,0.105346608588143,0.238502648781218,0.419234165399452,4,2.31317950587606,0,"0"
47,0.543263934101227,0.220857102865108,0.419234165399452,12,10.4522056633614,0,"0"
48,0.686343367936118,0.518997965038948,0.419234165399452,6,4.70072032400265,0,"0"
50,0.361111735407362,0.378604017329696,0.419234165399452,53,34.4759271829643,0,"0"
54,0.378640886651735,0.359144924234723,0.419234165399452,19,12.293835541945,0,"0"
56,0.263561606214156,0.428713703393249,0.419234165399452,12,8.80450301619129,0,"0"
70,0.107597620337116,0.309531992425334,0.419234165399452,14,12.0586534853215,0,"0"
76,0.28386803971389,0.326684697061434,0.419234165399452,26,18.4482750428806,1,"1-2"
77,0.609452720152748,0.536030260075975,0.419234165399452,4,3.36697377588728,0,"0"
78,0.214822488053781,0.513332227492232,0.419234165399452,4,3.90687323160639,0,"0"
79,0.453473226046346,0.403717790556558,0.419234165399452,5,4.32000150829978,1,"1-2"
80,1,0.447966345410494,0.419234165399452,1,1,1,"1-2"
81,0.291922109506449,0.460224222675075,0.419234165399452,36,17.3673089469846,0,"0"
82,0.59633018957158,0.414702897506867,0.419234165399452,22,12.7852960109843,0,"0"
83,0.30821606127874,0.384325376640759,0.419234165399452,55,25.5781784845596,0,"0"
84,0.374457312542967,0.395627930377697,0.419234165399452,43,30.1040922384737,3,"3+"
85,0.352274445169679,0.435714158947995,0.419234165399452,10,8.51528331084903,0,"0"
87,0.269434625463006,0.345809482241239,0.419234165399452,6,3.77922505238435,0,"0"
91,0.0562205267094943,0.24345739083107,0.419234165399452,8,6.09731915952282,0,"0"
92,0.173103050224516,0.413309001261952,0.419234165399452,15,12.351340834852,0,"0"
95,0.451661352730016,0.326381502322245,0.419234165399452,12,8.00742459164581,0,"0"
97,0.60234511402416,0.426841400203961,0.419234165399452,15,10.7911126643663,0,"0"
101,0.0542381352673068,0.461235455251424,0.419234165399452,10,8.78804212478791,0,"0"
105,0.568533574778178,0.49460554799479,0.419234165399452,2,1.96311810801117,0,"0"
109,0.318309448359554,0.359215219697254,0.419234165399452,11,7.68223323029711,0,"0"
113,0,0.316504511573108,0.419234165399452,3,2.86073635860009,0,"0"
127,0.19887049661566,0.260968918149194,0.419234165399452,15,11.8476698265691,0,"0"
129,1,0.47287459204681,0.419234165399452,2,1.97061394747469,0,"0"
131,0.281609812739528,0.399063311516329,0.419234165399452,12,10.3474126330329,0,"0"
133,0.673257945934884,0.433321239699135,0.419234165399452,5,3.10203474210325,0,"0"
135,0.206079860573847,0.287656586887704,0.419234165399452,3,2.71330980632361,0,"0"
146,0,0.246121109458718,0.419234165399452,11,8.33734206798519,0,"0"
148,0.74776180003941,0.45944834661762,0.419234165399452,10,8.47986966785937,0,"0"
154,0.103621176982307,0.386802797024015,0.419234165399452,5,4.39680085221946,0,"0"
156,0.301202256887667,0.327520012239659,0.419234165399452,14,12.4817959160063,0,"0"
158,0.260144136597441,0.26165795365459,0.419234165399452,20,15.9674013978446,0,"0"
159,0.274367120481307,0.32439191661749,0.419234165399452,19,14.2593005324693,0,"0"
179,0.411503391485717,0.462503155501155,0.419234165399452,9,7.49108752707131,0,"0"
182,0.684018206425019,0.458707852423663,0.419234165399452,9,6.48558269418455,0,"0"
184,0,0.336516628562898,0.419234165399452,4,3.19164552004721,0,"0"
188,0.5825493741216,0.481136540038413,0.419234165399452,10,7.67318977295633,0,"0"
191,0.440333889319622,0.565014368967378,0.419234165399452,4,3.70130918573495,0,"0"
199,0.187098594346453,0.519688637276306,0.419234165399452,5,4.506538518928,0,"0"
201,0.281225332421078,0.362853410014273,0.419234165399452,6,4.66890096536397,0,"0"
221,0.635137217490758,0.378795189125488,0.419234165399452,22,16.2474736948893,0,"0"
222,0.490997594120522,0.543376351573382,0.419234165399452,4,2.9597497927362,0,"0"
223,0,0.383312040841883,0.419234165399452,2,1.61963511576057,0,"0"
224,0.152032365792512,0.356301670278992,0.419234165399452,4,1.79793802595373,0,"0"
225,0.256220944663075,0.227969621963644,0.419234165399452,8,5.6190038302686,0,"0"
229,0.504165020611318,0.541759898555083,0.419234165399452,27,18.0644273936789,0,"0"
231,0.462747536136093,0.40286555810194,0.419234165399452,13,5.67136835350559,0,"0"
234,0.25246496825356,0.414584011212314,0.419234165399452,8,6.679542997672,0,"0"
235,0.107739229416995,0.329877314377047,0.419234165399452,4,3.00215796336842,0,"0"
237,0.448047770524468,0.441430551682513,0.419234165399452,21,15.3116700326715,1,"1-2"
241,0.266998423756918,0.568597787913379,0.419234165399452,2,1.64317077856536,0,"0"
242,0.585404161392234,0.362287447363214,0.419234165399452,2,1.94330319054309,0,"0"
244,1,0.58280268588256,0.419234165399452,9,7.37653789404368,0,"0"
259,0.405918012681376,0.460652015312001,0.419234165399452,83,47.1567961597744,0,"0"
260,0.29522189350463,0.330424105386732,0.419234165399452,8,5.88869337990846,0,"0"
262,0.426629594201837,0.424604515331932,0.419234165399452,103,71.160648294414,0,"0"
273,0.716972407607387,0.543465109400229,0.419234165399452,14,9.94414325960326,1,"1-2"
275,0.638331298160685,0.471359960089805,0.419234165399452,15,13.2828746915129,0,"0"
276,0.676268550218768,0.38004740361128,0.419234165399452,56,9.62241452989844,0,"0"
277,0.733857623462968,0.390057167450457,0.419234165399452,20,9.66358054573825,0,"0"
278,0.532015730111816,0.472721170208538,0.419234165399452,27,17.5441434957682,1,"1-2"
279,0.598058081852275,0.422145445172764,0.419234165399452,201,32.5951257582673,1,"1-2"
280,0.648259599060273,0.487826018601726,0.419234165399452,35,19.1333537742154,0,"0"
281,0.460593407264536,0.513888736728076,0.419234165399452,65,39.6898461873547,1,"1-2"
282,0.411900642278662,0.503897168555266,0.419234165399452,28,8.08338014081375,0,"0"
283,0.382643222752326,0.407831874457843,0.419234165399452,20,15.3818277057466,4,"3+"
284,0.434744615716314,0.38693228339329,0.419234165399452,6,4.35199439746276,1,"1-2"
285,0.663225020556254,0.492610724355847,0.419234165399452,43,13.7004093789949,3,"3+"
286,0.793047479934342,0.545464195098121,0.419234165399452,28,6.98675254143256,0,"0"
287,0.314226440591966,0.413544093718966,0.419234165399452,43,20.122618181815,0,"0"
288,0.406478611525158,0.456110039964652,0.419234165399452,99,39.1928003113172,2,"1-2"
289,0.83289353513181,0.585728010351534,0.419234165399452,28,8.65298877035835,0,"0"
290,0.330722564577772,0.454458065887865,0.419234165399452,51,21.6822033132661,1,"1-2"
291,0.222369374457895,0.520500372179087,0.419234165399452,14,9.10010544952704,3,"3+"
292,0.8517797809224,0.402890789044156,0.419234165399452,14,11.2750591970941,0,"0"
293,0.35354585694826,0.342303768817554,0.419234165399452,24,15.2055261037391,1,"1-2"
299,0.425641779195853,0.406060330862396,0.419234165399452,10,7.9216742266268,0,"0"
303,0.0766979598577225,0.648292121718561,0.419234165399452,6,3.70981645022179,0,"0"
305,0.454801287352408,0.442211648303348,0.419234165399452,66,26.1652667255474,0,"0"
308,0.709471747814276,0.424072142813311,0.419234165399452,4,3.83406409967408,0,"0"
309,0.522118573242933,0.312762148488716,0.419234165399452,15,11.9504159173482,1,"1-2"
312,0.519087771069301,0.424078208196065,0.419234165399452,102,74.6199646389756,0,"0"
314,0.590801954238546,0.416660708035411,0.419234165399452,14,13.2440900087687,0,"0"
316,0.465458481632365,0.392214528770421,0.419234165399452,41,22.4951626732747,0,"0"
321,0.468303625588011,0.346754056349908,0.419234165399452,9,5.22958728889312,0,"0"
322,0.4796472007721,0.509092428426001,0.419234165399452,14,8.63995275628137,0,"0"
326,0.402690802685567,0.398741593277143,0.419234165399452,5,3.51265871895297,0,"0"
327,0.235663514350032,0.405627144579693,0.419234165399452,8,6.0757131718099,2,"1-2"
331,0.352676434694959,0.334696934314238,0.419234165399452,14,10.4573080370368,1,"1-2"
332,0.487937490495751,0.401169926604526,0.419234165399452,257,146.026458160475,0,"0"
334,0.540129830323991,0.446669077422828,0.419234165399452,38,17.0485245212698,3,"3+"
336,0.756287282135205,0.456116817941511,0.419234165399452,12,9.68766878817961,4,"3+"
338,0.433850414080942,0.356593425065837,0.419234165399452,27,20.0950687798748,0,"0"
339,0.484008719959771,0.41017970499888,0.419234165399452,20,16.719427747783,1,"1-2"
340,0.0902814266599974,0.333490516804668,0.419234165399452,11,7.57979849240004,1,"1-2"
341,0.455024410529812,0.378420086104585,0.419234165399452,13,10.5185985404522,0,"0"
342,0.454706887059681,0.344467052707664,0.419234165399452,29,16.6983990415382,0,"0"
343,0.346377939189365,0.328877222840458,0.419234165399452,17,10.5965841272582,0,"0"
345,0.474122953449341,0.360927282586234,0.419234165399452,29,16.7664177384596,0,"0"
347,0.30820832164416,0.389675667803978,0.419234165399452,92,58.2997485928024,5,"3+"
348,0.243710689678602,0.390974790239068,0.419234165399452,43,28.9156478773967,1,"1-2"
349,0.339079840654082,0.306418281819638,0.419234165399452,4,3.11706391831517,1,"1-2"
350,1,0.580105065008119,0.419234165399452,2,1.88186617807694,4,"3+"
351,0.589121415618397,0.443154215475683,0.419234165399452,13,8.91402536591453,0,"0"
352,0.325608439020086,0.370610119684798,0.419234165399452,20,13.6956706504569,0,"0"
353,0.320978894229458,0.340611966330481,0.419234165399452,5,4.06138996233022,0,"0"
354,0.323077758061478,0.361258519503507,0.419234165399452,16,11.9653707503928,4,"3+"
355,1,0.15563595342605,0.419234165399452,2,1.50112713626518,0,"0"
356,0.434841786181299,0.411507426651396,0.419234165399452,23,12.1386713297671,0,"0"
357,0.354357519492375,0.357698570150908,0.419234165399452,16,12.8076152866581,0,"0"
359,0.621090697846723,0.476736649289615,0.419234165399452,41,13.1964042098456,0,"0"
360,0.502680846126597,0.383584372257179,0.419234165399452,25,17.5901841287645,1,"1-2"
361,0.0815058978699404,0.177555820917896,0.419234165399452,8,4.97946374654303,0,"0"
363,0.388428828696817,0.370940171852239,0.419234165399452,21,16.4530627497707,2,"1-2"
364,0.324783364665064,0.369076798782651,0.419234165399452,10,7.89988139709646,3,"3+"
365,0.326853314350334,0.326777962939804,0.419234165399452,15,11.5331565854223,1,"1-2"
366,0.174273450840171,0.34124951370931,0.419234165399452,25,12.9344862702026,0,"0"
367,0.723853576128633,0.43994324396728,0.419234165399452,16,11.8499597035672,3,"3+"
368,0.424398477761661,0.40970521361301,0.419234165399452,27,20.1800602119563,3,"3+"
370,1,0.762027054256283,0.419234165399452,1,1,1,"1-2"
371,0.518374518038316,0.356173553789326,0.419234165399452,13,4.88372105640383,1,"1-2"
373,0.544818478327721,0.370615384435258,0.419234165399452,40,29.4551904484481,0,"0"
374,0.458050518366423,0.435164583113282,0.419234165399452,13,10.0676151109455,0,"0"
375,0.411973504584402,0.41138156314231,0.419234165399452,85,17.1707985696773,0,"0"
376,0.392912724871915,0.324175067124528,0.419234165399452,19,15.0237980120233,3,"3+"
378,0.186997271796771,0.54202352143085,0.419234165399452,3,2.51899292030847,0,"0"
385,1,0.605033107196059,0.419234165399452,1,1,0,"0"
388,0.435069070326577,0.347089037122469,0.419234165399452,14,10.374614614304,1,"1-2"
389,0.382255368146693,0.296592428249522,0.419234165399452,10,6.77083395858726,0,"0"
392,0.315027314330305,0.432871605946389,0.419234165399452,10,7.16357881436725,0,"0"
