"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,0.778468351272433,0.760703632950718,0.659216888047456,3,2.26840018627381,0,"0"
3,0.802731621640099,0.676387883956185,0.659216888047456,121,21.1445000174801,0,"0"
4,0.136077205487929,0.525989745081283,0.659216888047456,3,1.8686409696728,0,"0"
6,0.40508467499952,0.576813285046667,0.659216888047456,9,4.17959634163221,0,"0"
9,0.716721899334667,0.587179406942722,0.659216888047456,10,9.13482298446056,0,"0"
10,0.799516916921446,0.610846194355978,0.659216888047456,24,19.2926056580378,0,"0"
12,0.770357032618781,0.588628484700523,0.659216888047456,8,5.17656853996746,0,"0"
13,0.797956657559792,0.632789468996639,0.659216888047456,65,16.7034993803107,0,"0"
14,0.579507941169547,0.639641918838721,0.659216888047456,18,14.3468987725832,0,"0"
15,0.228836476083107,0.488780771846662,0.659216888047456,4,2.25635544755035,0,"0"
17,0.513593180247007,0.557927166282632,0.659216888047456,46,27.7038869401198,0,"0"
18,0.72068155851895,0.709307709811987,0.659216888047456,7,6.02048036789341,0,"0"
19,0.566081485329404,0.532997610442436,0.659216888047456,13,9.54264541867261,0,"0"
21,0.545019734012009,0.607626235238671,0.659216888047456,56,44.9216025376183,0,"0"
22,0.639885806371152,0.634839498721073,0.659216888047456,89,27.2249739143876,0,"0"
23,0.820972839753599,0.59456441842686,0.659216888047456,46,34.0423391536406,0,"0"
24,0.704605975880967,0.565060597624931,0.659216888047456,45,11.2746653830502,1,"1-2"
25,0.751173616521504,0.737270465257155,0.659216888047456,4,3.72408239903556,1,"1-2"
28,0.413736074119365,0.576425676612949,0.659216888047456,17,11.6020795244114,0,"0"
29,0.53651385482081,0.607009104371259,0.659216888047456,8,5.76412203209053,0,"0"
30,0.656467607244043,0.771121898778648,0.659216888047456,3,2.87111160212219,0,"0"
31,0.63324955799919,0.634492965904543,0.659216888047456,89,60.8770362750232,0,"0"
32,0,0.638089404454305,0.659216888047456,3,1.88815975580466,0,"0"
33,0.401131972474088,0.661210490248944,0.659216888047456,14,12.2289864718968,0,"0"
35,0.922845169489744,0.605884392090944,0.659216888047456,12,5.88463705350733,0,"0"
36,0.175398110685206,0.595674339934242,0.659216888047456,7,6.29993865523452,0,"0"
38,0.584201876091527,0.542523967777386,0.659216888047456,23,12.2540075355179,1,"1-2"
39,0.542220051030444,0.674004654254349,0.659216888047456,7,3.78796986962076,0,"0"
41,0.635769127359711,0.656068984556648,0.659216888047456,37,17.6094859784196,3,"3+"
45,0.741590715839581,0.619241656434955,0.659216888047456,10,7.80152418679072,1,"1-2"
46,1,0.570812484495947,0.659216888047456,1,1,0,"0"
47,0.79818452761759,0.444790814407336,0.659216888047456,8,6.87198141709915,3,"3+"
48,1,0.669439545944525,0.659216888047456,5,4.11941750627798,0,"0"
50,0.529398815985926,0.629493856675296,0.659216888047456,35,21.2816201670008,2,"1-2"
54,0.556951117173307,0.585732024171195,0.659216888047456,13,9.71001201411379,0,"0"
56,0.458978994488956,0.719095480709771,0.659216888047456,9,8.34026656447352,0,"0"
70,0.27114379654111,0.527314843637962,0.659216888047456,6,5.62416132988813,0,"0"
76,0.754291470130659,0.683940425448552,0.659216888047456,13,9.72670149900561,3,"3+"
77,0.761608822147309,0.69929430024911,0.659216888047456,3,2.4907586678376,2,"1-2"
78,0.449856849850267,0.701270744960467,0.659216888047456,2,1.98008560185788,2,"1-2"
79,0.703815034776136,0.697642928999983,0.659216888047456,4,3.95498793302033,2,"1-2"
80,1,0.637983296318887,0.659216888047456,1,1,4,"3+"
81,0.396820603763407,0.702067558427917,0.659216888047456,24,11.4888962277053,4,"3+"
82,0.744794263336729,0.626303187571939,0.659216888047456,16,9.10116019900089,1,"1-2"
83,0.749016708687732,0.666777135649729,0.659216888047456,32,22.3476709282453,2,"1-2"
84,0.624375661045585,0.695659100348753,0.659216888047456,28,22.2435882605605,2,"1-2"
85,0.453270466960439,0.660909637089241,0.659216888047456,7,6.04320809920105,0,"0"
87,0.650369175878869,0.59657059317333,0.659216888047456,4,3.58884619786325,0,"0"
91,0.121761135476949,0.501378210972268,0.659216888047456,5,3.72091976622415,0,"0"
92,0.315366662053659,0.604388435488821,0.659216888047456,8,6.2109099710136,0,"0"
95,0.922777776989139,0.643913624039431,0.659216888047456,8,6.38383358608814,0,"0"
97,0.644222734223693,0.647074979038203,0.659216888047456,14,9.88448769863913,0,"0"
101,0.0772626492904382,0.593803376228918,0.659216888047456,7,5.97951041144948,0,"0"
105,1,0.66312458421935,0.659216888047456,1,1,0,"0"
109,0.418537573199552,0.608496279641406,0.659216888047456,7,5.08545684099376,0,"0"
113,0,0.504257971567361,0.659216888047456,2,1.8861525243232,0,"0"
127,0.447104168327666,0.487885299618736,0.659216888047456,8,6.18334922546858,0,"0"
129,1,0.701066871074333,0.659216888047456,2,1.97061394747469,0,"0"
131,0.594513814328727,0.546562645770252,0.659216888047456,5,4.5619458605159,0,"0"
133,1,0.712141472494204,0.659216888047456,4,2.10230987322451,0,"0"
135,0.206079860573847,0.504282719376077,0.659216888047456,3,2.71330980632361,0,"0"
146,0,0.460336665018024,0.659216888047456,6,4.55763793214861,0,"0"
148,0.889625063040285,0.690131057874783,0.659216888047456,9,7.63804734448907,0,"0"
154,1,0.68329210460423,0.659216888047456,1,1,0,"0"
156,0.463312794751697,0.523484548697197,0.659216888047456,8,7.29153690284986,0,"0"
158,0.658045185375784,0.550789476701991,0.659216888047456,11,9.78374471683835,0,"0"
159,0.441615491188711,0.535452322008425,0.659216888047456,14,11.2424608497181,0,"0"
179,0.643326435029563,0.679082800727738,0.659216888047456,6,4.82539457650792,0,"0"
182,1,0.713796946232589,0.659216888047456,7,5.74447820806022,0,"0"
188,0.730910195501836,0.736032375884589,0.659216888047456,7,5.48971979381982,0,"0"
191,0.440333889319622,0.76011074455786,0.659216888047456,4,3.70130918573495,0,"0"
199,0.327934170784345,0.717422715241536,0.659216888047456,3,2.56475502421756,0,"0"
201,0.461130791301833,0.599442645820545,0.659216888047456,4,3.55196047698524,0,"0"
221,0.64784119649513,0.548127355673505,0.659216888047456,21,15.7146874464309,0,"0"
222,0.552849127384747,0.697864711915146,0.659216888047456,3,2.42434811549507,0,"0"
223,0,0.436433040811209,0.659216888047456,1,1,0,"0"
224,0.172878009857771,0.60592593985766,0.659216888047456,3,1.42781300071064,0,"0"
225,0.691891480749716,0.422828767709935,0.659216888047456,4,2.84455061586839,0,"0"
229,0.690112083147073,0.660962689401349,0.659216888047456,20,12.589344828572,0,"0"
231,0.884645001313901,0.667554482775597,0.659216888047456,7,4.97531087978399,0,"0"
234,0.408232433002839,0.615795632052274,0.659216888047456,6,5.47085167105022,0,"0"
235,1,0.658542117859154,0.659216888047456,1,1,0,"0"
237,0.632278066459631,0.673279266008675,0.659216888047456,15,10.2137271311748,0,"0"
241,1,0.808605743918313,0.659216888047456,1,1,0,"0"
242,0.585404161392234,0.605959358198314,0.659216888047456,2,1.94330319054309,0,"0"
244,1,0.69235811061881,0.659216888047456,9,7.37653789404368,0,"0"
259,0.624551545716288,0.692985960935266,0.659216888047456,57,31.1046641640062,0,"0"
260,0.42438588449561,0.504441725924896,0.659216888047456,7,6.26963990404086,0,"0"
262,0.712218082233337,0.663760236687891,0.659216888047456,69,48.7548641262821,0,"0"
273,0.923277000535341,0.772925552361633,0.659216888047456,10,6.87443476363281,0,"0"
275,0.721822422396924,0.599062642711576,0.659216888047456,13,11.4251338835302,0,"0"
276,0.790996796777218,0.565305722494985,0.659216888047456,41,7.22048968945919,0,"0"
277,0.88894524883659,0.630373493218878,0.659216888047456,15,7.0185408077704,0,"0"
278,0.872572228466756,0.656473909831708,0.659216888047456,16,9.47764169361639,0,"0"
279,0.832764856542039,0.638786748996205,0.659216888047456,138,19.0028747718935,0,"0"
280,0.876462712497037,0.681297930892759,0.659216888047456,22,11.8189270183043,0,"0"
281,0.720030849753511,0.692169693839417,0.659216888047456,40,21.9071857754452,0,"0"
282,0.852858823225897,0.768419345181166,0.659216888047456,17,3.63464200422563,0,"0"
283,0.720563888759749,0.66983855669859,0.659216888047456,13,10.6515914392761,1,"1-2"
284,1,0.717851937941945,0.659216888047456,3,2.80405929890786,0,"0"
285,0.777873679569845,0.67020370164417,0.659216888047456,34,10.6479268040218,0,"0"
286,0.941953997333365,0.68714640584605,0.659216888047456,21,5.32599627718847,0,"0"
287,0.471438291682328,0.587372326988539,0.659216888047456,28,14.7690403413854,0,"0"
288,0.61885111040022,0.667086128457792,0.659216888047456,72,26.7454530593115,1,"1-2"
289,0.896924909570956,0.783512920093286,0.659216888047456,22,7.53578648016621,1,"1-2"
290,0.491382734923233,0.640343597767974,0.659216888047456,36,15.9221036795876,0,"0"
291,0.379917944285651,0.727471168786193,0.659216888047456,9,5.18908719256613,0,"0"
292,0.923783469102217,0.608092869860379,0.659216888047456,13,10.2908218289091,1,"1-2"
293,0.62908198468738,0.601857311853499,0.659216888047456,17,9.68252621362146,0,"0"
299,0.639544719455305,0.661572886799242,0.659216888047456,7,5.53007438341433,0,"0"
303,0.0930442731109569,0.778711431667412,0.659216888047456,4,2.67854579580344,0,"0"
305,0.635259959039455,0.612017793056234,0.659216888047456,46,17.5324187254978,1,"1-2"
308,1,0.668896478500362,0.659216888047456,3,2.85324580044199,0,"0"
309,1,0.559960824039328,0.659216888047456,9,7.93764286350468,0,"0"
312,0.737501303437651,0.654848881717731,0.659216888047456,75,52.9014024073735,0,"0"
314,0.684563484619329,0.60322903691181,0.659216888047456,12,11.3651233595136,0,"0"
316,0.734796929432696,0.622684945794126,0.659216888047456,29,13.996091273969,2,"1-2"
321,0.687345855693558,0.544438154483229,0.659216888047456,7,3.80393506841752,0,"0"
322,0.873387964763616,0.764325863582103,0.659216888047456,10,7.90865310164263,0,"0"
326,0.471839287341122,0.590994967775988,0.659216888047456,4,2.76730489030414,0,"0"
327,0.548366850208012,0.683041602885663,0.659216888047456,3,2.65424843958742,0,"0"
331,0.417541867856086,0.557622011632664,0.659216888047456,11,8.30068056539684,4,"3+"
332,0.766355689822841,0.634301355093064,0.659216888047456,179,107.55635349758,0,"0"
334,0.731907368988433,0.650978776113557,0.659216888047456,26,11.0954249971519,0,"0"
336,0.827923638247206,0.639787176424856,0.659216888047456,11,8.71588525010832,5,"3+"
338,0.616338356173819,0.567068661234948,0.659216888047456,17,13.8366071978143,1,"1-2"
339,0.780937033781625,0.634894777592641,0.659216888047456,12,9.82527659791869,2,"1-2"
340,0.152857212773119,0.616193290778568,0.659216888047456,7,4.57530065187,0,"0"
341,0.527642078103383,0.601774213469091,0.659216888047456,11,8.79665635249155,0,"0"
342,0.925202906619333,0.636314006855779,0.659216888047456,21,16.5879462914521,0,"0"
343,0.619432420440213,0.578317962368145,0.659216888047456,11,5.91244530463225,0,"0"
345,0.627717276783959,0.562611235639642,0.659216888047456,20,11.0445097383921,0,"0"
347,0.590758731062228,0.633011207859219,0.659216888047456,55,41.5348239363279,1,"1-2"
348,0.396781095115677,0.602103518806194,0.659216888047456,25,16.450610294355,0,"0"
349,1,0.622241553263916,0.659216888047456,2,1.8716678095911,0,"0"
350,1,0.745718200990493,0.659216888047456,2,1.88186617807694,2,"1-2"
351,0.796148444300815,0.636585386219034,0.659216888047456,9,6.94719954460617,0,"0"
352,0.633222230487722,0.615241051935263,0.659216888047456,12,9.89713743172447,0,"0"
353,0.724252398981852,0.73040903880215,0.659216888047456,3,2.22817084641135,0,"0"
354,0.66677244326633,0.612030556341849,0.659216888047456,9,6.68134453546028,4,"3+"
355,1,0.339067703163323,0.659216888047456,2,1.50112713626518,0,"0"
356,0.702127952538385,0.645099244425904,0.659216888047456,14,6.97794481618943,0,"0"
357,0.422712205087574,0.565272114178671,0.659216888047456,13,10.6247554234408,0,"0"
359,0.838776812691139,0.711161668378081,0.659216888047456,25,7.84294231042334,0,"0"
360,0.595704244238025,0.541442855737085,0.659216888047456,21,14.4529747091017,1,"1-2"
361,1,0.655503607830077,0.659216888047456,2,1.77516535858209,0,"0"
363,0.560909854717701,0.605493530470415,0.659216888047456,15,11.2281835519669,0,"0"
364,0.733998657946726,0.607721619229706,0.659216888047456,6,5.36090353427576,4,"3+"
365,0.820815389588619,0.602776407063344,0.659216888047456,7,6.47866287272183,0,"0"
366,0.251662254891633,0.545642189449176,0.659216888047456,14,7.22144304263472,0,"0"
367,0.9256581402431,0.616093064973144,0.659216888047456,13,9.16069719774655,2,"1-2"
368,0.659407287077511,0.619166068191445,0.659216888047456,18,12.6016336040802,0,"0"
370,1,0.861652463053245,0.659216888047456,1,1,0,"0"
371,0.877103618941347,0.599694094223731,0.659216888047456,9,4.02279855159228,0,"0"
373,0.740195925740798,0.624951075308373,0.659216888047456,29,21.0986969307403,0,"0"
374,0.505231766645314,0.572167248270999,0.659216888047456,11,8.69533277202419,0,"0"
375,0.723169595829854,0.673091999570681,0.659216888047456,60,18.9573584098115,0,"0"
376,0.797210713298914,0.615290637685299,0.659216888047456,11,9.54768318022466,2,"1-2"
378,0.260059367837829,0.652868749244233,0.659216888047456,2,1.6256382294253,0,"0"
385,1,0.708715554937371,0.659216888047456,1,1,2,"1-2"
388,0.799698536988533,0.526457771905606,0.659216888047456,9,6.77533995089675,1,"1-2"
389,0.635916520324655,0.683084055710021,0.659216888047456,7,4.65551656189644,1,"1-2"
392,0.678862540305365,0.663627542175693,0.659216888047456,3,2.24362752683902,1,"1-2"
393,0.910321433690593,0.602766076820043,0.659216888047456,9,7.1571173275613,1,"1-2"
395,0.528774563577564,0.533623978289785,0.659216888047456,13,10.4826535446798,1,"1-2"
398,0.719339553013079,0.682203448698109,0.659216888047456,9,7.61443140311955,3,"3+"
399,0.875745177271261,0.673329049852101,0.659216888047456,9,6.33512393568921,0,"0"
402,0.544651202548434,0.517306075589391,0.659216888047456,2,1.98417635319816,2,"1-2"
404,0.63478636900967,0.61219809694159,0.659216888047456,39,23.6935216597624,2,"1-2"
412,0.815551015844625,0.706073284200593,0.659216888047456,7,5.48964480928383,0,"0"
415,0.384841139560198,0.615086562432603,0.659216888047456,9,3.28709961334633,0,"0"
423,0.400438209292691,0.647653288872893,0.659216888047456,3,2.91513055582792,1,"1-2"
427,0.759893646850533,0.773834642655173,0.659216888047456,13,9.87419979842815,1,"1-2"
435,0.751771351907385,0.710494610882644,0.659216888047456,8,6.7490545385579,0,"0"
437,0.58128120966786,0.793985106236728,0.659216888047456,4,2.39367046823283,3,"3+"
440,0.543924714444753,0.63563285888196,0.659216888047456,11,8.08398540887544,0,"0"
