"muni_idx","obs","pred_bym2","pred_naive","n","vecinos_retenidos","estrato_vecinos"
1,0,0.492864808532723,0.42035600182565,1,2,"1-2"
3,0.579545454545455,0.493170246991887,0.42035600182565,88,3,"3+"
4,1,0.543862986304573,0.42035600182565,1,2,"1-2"
6,0.333333333333333,0.543061351921563,0.42035600182565,6,2,"1-2"
9,0.857142857142857,0.393783705727294,0.42035600182565,7,4,"3+"
10,0.470588235294118,0.424029263476793,0.42035600182565,17,3,"3+"
12,0.142857142857143,0.406669665362508,0.42035600182565,7,3,"3+"
13,0.40625,0.377955831538391,0.42035600182565,32,3,"3+"
14,0.3,0.419137925221852,0.42035600182565,10,5,"3+"
15,0,0.358326778487477,0.42035600182565,2,2,"1-2"
17,0.333333333333333,0.33615797660891,0.42035600182565,27,3,"3+"
18,0.5,0.430638495856352,0.42035600182565,4,2,"1-2"
19,0.166666666666667,0.434020207829003,0.42035600182565,6,1,"1-2"
21,0.5,0.493181573125013,0.42035600182565,26,1,"1-2"
22,0.578947368421053,0.430209360880026,0.42035600182565,57,2,"1-2"
23,0.361111111111111,0.420809444043006,0.42035600182565,36,1,"1-2"
24,0.354838709677419,0.430656416491849,0.42035600182565,31,3,"3+"
25,0.666666666666667,0.430901151127446,0.42035600182565,3,0,"0"
28,0.25,0.33323771390855,0.42035600182565,8,3,"3+"
29,0.833333333333333,0.352038961245469,0.42035600182565,6,2,"1-2"
31,0.48,0.375296318375392,0.42035600182565,50,2,"1-2"
33,0.2,0.3265388369892,0.42035600182565,5,0,"0"
35,0.125,0.288779117024845,0.42035600182565,8,3,"3+"
36,0.5,0.338216227093653,0.42035600182565,2,1,"1-2"
38,0.470588235294118,0.423511169548026,0.42035600182565,17,4,"3+"
39,0.5,0.452434930007582,0.42035600182565,6,0,"0"
41,0.434782608695652,0.481089181065243,0.42035600182565,23,3,"3+"
45,0.571428571428571,0.467213464926061,0.42035600182565,7,2,"1-2"
46,0,0.335952699065033,0.42035600182565,1,1,"1-2"
47,0.4,0.451227755799766,0.42035600182565,5,2,"1-2"
48,0.333333333333333,0.432648125241786,0.42035600182565,3,0,"0"
50,0.444444444444444,0.481565079619166,0.42035600182565,18,2,"1-2"
54,0.75,0.434247849459887,0.42035600182565,4,1,"1-2"
56,0.333333333333333,0.479462446091733,0.42035600182565,3,2,"1-2"
70,0,0.37077032298623,0.42035600182565,2,1,"1-2"
76,0.666666666666667,0.479695995500546,0.42035600182565,9,4,"3+"
77,0.5,0.457765646801999,0.42035600182565,2,2,"1-2"
78,1,0.567430821402667,0.42035600182565,1,3,"3+"
79,0.5,0.41703332105713,0.42035600182565,2,2,"1-2"
80,0,0.504002487067103,0.42035600182565,1,5,"3+"
81,0.583333333333333,0.500882696903522,0.42035600182565,12,4,"3+"
82,0.363636363636364,0.366465365600859,0.42035600182565,11,2,"1-2"
83,0.521739130434783,0.498675727344198,0.42035600182565,23,3,"3+"
84,0.466666666666667,0.476255090937861,0.42035600182565,15,3,"3+"
85,0,0.336899447558867,0.42035600182565,4,2,"1-2"
87,0,0.270028407299518,0.42035600182565,1,0,"0"
91,0,0.305308940357466,0.42035600182565,1,4,"3+"
92,0,0.276965809063476,0.42035600182565,2,1,"1-2"
95,0.333333333333333,0.46453379196501,0.42035600182565,3,2,"1-2"
97,0,0.434423702865798,0.42035600182565,9,1,"1-2"
101,0,0.302773771127973,0.42035600182565,1,2,"1-2"
105,0,0.295217877288629,0.42035600182565,1,1,"1-2"
127,0,0.270806094958379,0.42035600182565,3,1,"1-2"
131,0.5,0.355514878093296,0.42035600182565,2,3,"3+"
133,0.333333333333333,0.483744088163792,0.42035600182565,3,2,"1-2"
135,0,0.304506753506645,0.42035600182565,1,2,"1-2"
148,0.666666666666667,0.310714421090888,0.42035600182565,6,0,"0"
156,0.666666666666667,0.294170097445537,0.42035600182565,3,2,"1-2"
158,0.75,0.204773839341261,0.42035600182565,4,1,"1-2"
159,0.333333333333333,0.244961006308839,0.42035600182565,3,1,"1-2"
179,0,0.367828043447128,0.42035600182565,1,0,"0"
182,0.4,0.369670650370275,0.42035600182565,5,1,"1-2"
188,1,0.428379999562225,0.42035600182565,2,1,"1-2"
199,0,0.397662142562823,0.42035600182565,1,2,"1-2"
201,0.5,0.4096028185026,0.42035600182565,2,1,"1-2"
221,0.363636363636364,0.374061688339242,0.42035600182565,11,2,"1-2"
222,0,0.415516386295499,0.42035600182565,1,2,"1-2"
224,1,0.534303945905867,0.42035600182565,2,0,"0"
225,1,0.38537489808042,0.42035600182565,1,1,"1-2"
229,0.428571428571429,0.386441645742607,0.42035600182565,14,0,"0"
231,0.333333333333333,0.535309582637683,0.42035600182565,3,2,"1-2"
234,0,0.413842643907334,0.42035600182565,2,1,"1-2"
235,1,0.351659660483852,0.42035600182565,1,1,"1-2"
237,0.333333333333333,0.392106122320422,0.42035600182565,9,2,"1-2"
241,1,0.548246456480518,0.42035600182565,1,2,"1-2"
244,0.444444444444444,0.392297877165813,0.42035600182565,9,0,"0"
259,0.470588235294118,0.427226081836545,0.42035600182565,34,0,"0"
260,0,0.324299936792534,0.42035600182565,3,0,"0"
262,0.25,0.445496745809267,0.42035600182565,48,0,"0"
273,0.444444444444444,0.488335618360238,0.42035600182565,9,2,"1-2"
275,0.375,0.370369757838103,0.42035600182565,8,0,"0"
276,0.421052631578947,0.433742303309118,0.42035600182565,19,4,"3+"
277,0.4,0.45694314589063,0.42035600182565,10,5,"3+"
278,0.636363636363636,0.462738067254978,0.42035600182565,11,6,"3+"
279,0.388888888888889,0.425097392145598,0.42035600182565,90,7,"3+"
280,0.529411764705882,0.420558940903269,0.42035600182565,17,2,"1-2"
281,0.25,0.449530766348249,0.42035600182565,28,6,"3+"
282,0.666666666666667,0.496575451939806,0.42035600182565,9,4,"3+"
283,0.375,0.487221602511393,0.42035600182565,8,6,"3+"
284,0.666666666666667,0.46686671747516,0.42035600182565,3,2,"1-2"
285,0.473684210526316,0.460121553099649,0.42035600182565,19,4,"3+"
286,0.416666666666667,0.448782079805465,0.42035600182565,12,5,"3+"
287,0.454545454545455,0.422482606024953,0.42035600182565,11,5,"3+"
288,0.58695652173913,0.429189187332117,0.42035600182565,46,7,"3+"
289,0.416666666666667,0.507160343360333,0.42035600182565,12,4,"3+"
290,0.428571428571429,0.457325450624318,0.42035600182565,21,4,"3+"
291,0,0.454267903142536,0.42035600182565,4,6,"3+"
292,0.363636363636364,0.46111909892322,0.42035600182565,11,1,"1-2"
293,0.181818181818182,0.440578717860034,0.42035600182565,11,3,"3+"
299,0.25,0.420833930924187,0.42035600182565,4,2,"1-2"
303,0,0.450417004165665,0.42035600182565,1,1,"1-2"
305,0.375,0.402153626986401,0.42035600182565,24,3,"3+"
308,0.666666666666667,0.397118978199133,0.42035600182565,3,4,"3+"
309,0.285714285714286,0.33925641286209,0.42035600182565,7,1,"1-2"
312,0.549019607843137,0.438992638470486,0.42035600182565,51,3,"3+"
314,0.333333333333333,0.363464131170564,0.42035600182565,6,2,"1-2"
316,0.423076923076923,0.406788465153881,0.42035600182565,26,4,"3+"
321,1,0.463928578665329,0.42035600182565,3,3,"3+"
322,0.625,0.513516482718115,0.42035600182565,8,3,"3+"
326,0.333333333333333,0.490318321843507,0.42035600182565,3,1,"1-2"
327,0,0.403032717554332,0.42035600182565,1,2,"1-2"
331,0.285714285714286,0.312747121607797,0.42035600182565,7,4,"3+"
332,0.454545454545455,0.386850829645917,0.42035600182565,110,5,"3+"
334,0.25,0.367641823875042,0.42035600182565,12,3,"3+"
336,0.333333333333333,0.364544774556536,0.42035600182565,9,6,"3+"
338,0.166666666666667,0.388205316965414,0.42035600182565,6,1,"1-2"
339,0.5,0.362466211676726,0.42035600182565,8,2,"1-2"
340,0.5,0.396232594568157,0.42035600182565,2,3,"3+"
341,0.5,0.382073873209209,0.42035600182565,6,1,"1-2"
342,0.714285714285714,0.382813858867856,0.42035600182565,14,6,"3+"
343,0.444444444444444,0.398059870250153,0.42035600182565,9,1,"1-2"
345,0.363636363636364,0.408871768423277,0.42035600182565,11,7,"3+"
347,0.636363636363636,0.400624513574273,0.42035600182565,33,5,"3+"
348,0.2,0.421537435327952,0.42035600182565,10,8,"3+"
349,0,0.367081772887813,0.42035600182565,2,4,"3+"
350,1,0.434929279313573,0.42035600182565,2,5,"3+"
351,0.6,0.459897490485662,0.42035600182565,5,4,"3+"
352,0.714285714285714,0.364013775284045,0.42035600182565,7,4,"3+"
353,1,0.427704402378489,0.42035600182565,2,6,"3+"
354,0.25,0.35496635657161,0.42035600182565,4,4,"3+"
355,0.5,0.346352885245525,0.42035600182565,2,2,"1-2"
356,0,0.386742434887335,0.42035600182565,4,2,"1-2"
357,0.5,0.38856245098671,0.42035600182565,4,2,"1-2"
359,0.428571428571429,0.430356500481144,0.42035600182565,14,4,"3+"
360,0.615384615384615,0.384544133275399,0.42035600182565,13,3,"3+"
361,0,0.379174558326889,0.42035600182565,1,2,"1-2"
363,0.428571428571429,0.432895087698862,0.42035600182565,7,3,"3+"
364,0.333333333333333,0.421388470454212,0.42035600182565,3,3,"3+"
365,0.25,0.377763515164623,0.42035600182565,4,6,"3+"
366,0.428571428571429,0.374236517564619,0.42035600182565,7,5,"3+"
367,0.3,0.336255726123212,0.42035600182565,10,3,"3+"
368,0.461538461538462,0.427055019072545,0.42035600182565,13,5,"3+"
370,0,0.535363959567764,0.42035600182565,1,4,"3+"
371,0.333333333333333,0.397773442914639,0.42035600182565,6,4,"3+"
373,0.666666666666667,0.420363831329068,0.42035600182565,18,5,"3+"
374,0.166666666666667,0.340323999035345,0.42035600182565,6,1,"1-2"
375,0.59375,0.442929021720125,0.42035600182565,32,4,"3+"
376,0.25,0.373206232448028,0.42035600182565,8,4,"3+"
378,0,0.339970848284115,0.42035600182565,1,1,"1-2"
385,0,0.379915928619757,0.42035600182565,1,3,"3+"
388,0,0.351769609589374,0.42035600182565,5,1,"1-2"
389,0.5,0.42327439659676,0.42035600182565,4,2,"1-2"
392,0.5,0.361751879917856,0.42035600182565,2,2,"1-2"
393,0.166666666666667,0.323747161794946,0.42035600182565,6,2,"1-2"
395,0.2,0.390280882527501,0.42035600182565,5,4,"3+"
398,0.333333333333333,0.416819156586529,0.42035600182565,6,5,"3+"
399,0.571428571428571,0.39420653778854,0.42035600182565,7,0,"0"
404,0.466666666666667,0.422735298098697,0.42035600182565,15,3,"3+"
412,1,0.461610937919918,0.42035600182565,4,1,"1-2"
415,0.5,0.448772615878073,0.42035600182565,4,3,"3+"
423,0,0.271666331680748,0.42035600182565,1,0,"0"
427,0.444444444444444,0.453048037292321,0.42035600182565,9,1,"1-2"
435,0.4,0.363069075690642,0.42035600182565,5,3,"3+"
437,0,0.476880678934745,0.42035600182565,1,4,"3+"
440,0.285714285714286,0.43698781555601,0.42035600182565,7,0,"0"
450,0,0.300870616977048,0.42035600182565,3,3,"3+"
455,0.666666666666667,0.574771818956248,0.42035600182565,6,1,"1-2"
463,0.333333333333333,0.505102000446471,0.42035600182565,6,1,"1-2"
466,0.5,0.373293149374967,0.42035600182565,2,0,"0"
468,0,0.393747585610321,0.42035600182565,1,1,"1-2"
474,0.25,0.456656941064027,0.42035600182565,4,0,"0"
475,0,0.475824465515265,0.42035600182565,2,0,"0"
477,0.181818181818182,0.375714801621366,0.42035600182565,11,0,"0"
482,0.333333333333333,0.385528532106725,0.42035600182565,3,1,"1-2"
488,0.333333333333333,0.44843888096853,0.42035600182565,3,2,"1-2"
491,0.25,0.489336121341213,0.42035600182565,4,3,"3+"
492,0.3,0.484640788190718,0.42035600182565,10,1,"1-2"
495,0.666666666666667,0.460572011456553,0.42035600182565,6,1,"1-2"
498,0,0.38424301049779,0.42035600182565,1,1,"1-2"
501,1,0.39324040943554,0.42035600182565,3,1,"1-2"
503,0.2,0.382385434944022,0.42035600182565,5,0,"0"
504,0.375,0.506387828513284,0.42035600182565,8,1,"1-2"
506,0,0.313181436412847,0.42035600182565,4,0,"0"
507,0.2,0.355562584093847,0.42035600182565,5,1,"1-2"
510,0,0.600181266907447,0.42035600182565,1,2,"1-2"
523,0.222222222222222,0.369246542099548,0.42035600182565,9,1,"1-2"
527,1,0.427839890961662,0.42035600182565,1,0,"0"
532,1,0.463653952803299,0.42035600182565,1,2,"1-2"
543,0.571428571428571,0.383080756132173,0.42035600182565,7,2,"1-2"
549,0.125,0.427315584761805,0.42035600182565,8,2,"1-2"
559,0.8,0.445860522774767,0.42035600182565,5,3,"3+"
570,0.5,0.507497196696148,0.42035600182565,8,3,"3+"
580,0.0833333333333333,0.465133168176046,0.42035600182565,12,4,"3+"
588,0,0.39424596766183,0.42035600182565,1,1,"1-2"
591,0.333333333333333,0.383539856784939,0.42035600182565,3,0,"0"
596,0,0.51339868800088,0.42035600182565,1,0,"0"
597,0.45,0.473957303079471,0.42035600182565,20,2,"1-2"
603,0,0.550075434402039,0.42035600182565,1,0,"0"
607,0.5,0.557033917669014,0.42035600182565,2,1,"1-2"
616,0,0.444654549606457,0.42035600182565,5,1,"1-2"
634,1,0.376371948551403,0.42035600182565,1,0,"0"
640,0,0.452103029067315,0.42035600182565,3,3,"3+"
647,0.25,0.469674704243937,0.42035600182565,4,0,"0"
662,1,0.49502999971649,0.42035600182565,1,3,"3+"
666,0.5,0.490139383398517,0.42035600182565,4,2,"1-2"
671,0.4,0.413571471517297,0.42035600182565,5,2,"1-2"
677,0,0.44576557763615,0.42035600182565,3,1,"1-2"
678,0,0.299372963370657,0.42035600182565,1,1,"1-2"
681,0.285714285714286,0.403395709634203,0.42035600182565,7,3,"3+"
682,1,0.500382433637011,0.42035600182565,2,1,"1-2"
683,0,0.336918525798284,0.42035600182565,4,0,"0"
688,0.222222222222222,0.387282034947591,0.42035600182565,9,5,"3+"
692,0.25,0.404231718618967,0.42035600182565,8,3,"3+"
694,0,0.479365954046653,0.42035600182565,3,0,"0"
695,0,0.381673378744834,0.42035600182565,1,1,"1-2"
698,0.545454545454545,0.432184619639431,0.42035600182565,22,5,"3+"
699,0.333333333333333,0.385216729484809,0.42035600182565,3,0,"0"
705,0.5,0.512841098081397,0.42035600182565,6,4,"3+"
707,0,0.33129848980102,0.42035600182565,2,1,"1-2"
708,0.5,0.397309680478799,0.42035600182565,4,4,"3+"
709,0,0.235673810439539,0.42035600182565,1,0,"0"
710,1,0.369926283547691,0.42035600182565,1,3,"3+"
718,0.4,0.405563905302477,0.42035600182565,5,6,"3+"
719,0.666666666666667,0.367684097332286,0.42035600182565,9,2,"1-2"
720,0.692307692307692,0.410939695406935,0.42035600182565,13,3,"3+"
725,0.25,0.433153884636601,0.42035600182565,4,6,"3+"
734,0.333333333333333,0.466501705327148,0.42035600182565,3,5,"3+"
736,0.545454545454545,0.388204108988272,0.42035600182565,11,3,"3+"
738,0.272727272727273,0.432315251214554,0.42035600182565,11,3,"3+"
743,0.333333333333333,0.456674714487156,0.42035600182565,12,6,"3+"
749,0,0.333056868760043,0.42035600182565,1,1,"1-2"
750,0.6,0.417436029203363,0.42035600182565,5,0,"0"
751,0.4,0.362556194611052,0.42035600182565,5,5,"3+"
759,0.333333333333333,0.39716543816558,0.42035600182565,3,4,"3+"
760,0,0.35971803658745,0.42035600182565,7,3,"3+"
761,0.5,0.344151676289913,0.42035600182565,8,5,"3+"
766,0,0.407131761044432,0.42035600182565,2,1,"1-2"
770,0.565217391304348,0.424003869438445,0.42035600182565,23,7,"3+"
771,0.666666666666667,0.450029040816019,0.42035600182565,3,2,"1-2"
774,0.333333333333333,0.479316494088243,0.42035600182565,6,1,"1-2"
776,0,0.315904839045249,0.42035600182565,1,1,"1-2"
777,0.666666666666667,0.320406216764671,0.42035600182565,3,1,"1-2"
778,0.333333333333333,0.504597240515173,0.42035600182565,3,3,"3+"
788,0.387096774193548,0.405893796850514,0.42035600182565,31,6,"3+"
789,0.444444444444444,0.404294086639306,0.42035600182565,9,3,"3+"
792,0.4,0.439621054851291,0.42035600182565,5,0,"0"
793,0.375,0.383903993459362,0.42035600182565,8,2,"1-2"
795,0,0.354247631645972,0.42035600182565,2,4,"3+"
802,0.333333333333333,0.410731131709872,0.42035600182565,3,1,"1-2"
809,0.285714285714286,0.364156832404237,0.42035600182565,7,0,"0"
819,0.75,0.417093610231959,0.42035600182565,4,1,"1-2"
821,0,0.336247136302837,0.42035600182565,3,0,"0"
824,0.5,0.417300442293554,0.42035600182565,6,2,"1-2"
828,0.375,0.368464323871631,0.42035600182565,8,0,"0"
837,0.5,0.472457119904436,0.42035600182565,2,2,"1-2"
839,0.333333333333333,0.38992612545823,0.42035600182565,3,1,"1-2"
850,0.333333333333333,0.52587289103153,0.42035600182565,3,0,"0"
851,0.5,0.402917315573538,0.42035600182565,10,0,"0"
852,0.333333333333333,0.475642019478643,0.42035600182565,15,2,"1-2"
854,0,0.355696594741512,0.42035600182565,4,0,"0"
858,0.538461538461538,0.412707153043656,0.42035600182565,13,0,"0"
867,0.666666666666667,0.463711675607941,0.42035600182565,3,1,"1-2"
873,0,0.274694160426146,0.42035600182565,1,0,"0"
877,0.6,0.360605369220331,0.42035600182565,5,0,"0"
883,0.333333333333333,0.347367912449256,0.42035600182565,3,1,"1-2"
885,0.2,0.404144295317298,0.42035600182565,5,3,"3+"
886,0.333333333333333,0.360201003491679,0.42035600182565,3,0,"0"
889,0,0.411158905510818,0.42035600182565,2,1,"1-2"
894,0.5,0.454482566175207,0.42035600182565,4,1,"1-2"
902,0.166666666666667,0.416810663727201,0.42035600182565,6,3,"3+"
906,0.5,0.490360951217564,0.42035600182565,2,1,"1-2"
910,0.384615384615385,0.412396178423655,0.42035600182565,13,1,"1-2"
911,0.4,0.469937869137767,0.42035600182565,5,2,"1-2"
915,0.857142857142857,0.394391823571987,0.42035600182565,7,4,"3+"
916,0,0.454647298809591,0.42035600182565,1,1,"1-2"
917,0,0.369918075805866,0.42035600182565,1,1,"1-2"
919,0.5,0.429882975269401,0.42035600182565,2,5,"3+"
921,0.25,0.399809962892101,0.42035600182565,4,4,"3+"
926,0.8,0.536514855301323,0.42035600182565,5,3,"3+"
928,0.555555555555556,0.396541187673819,0.42035600182565,9,2,"1-2"
931,0.5,0.424522673628218,0.42035600182565,2,2,"1-2"
933,0.705882352941177,0.412536239862057,0.42035600182565,17,2,"1-2"
934,0,0.472768095616965,0.42035600182565,1,2,"1-2"
935,0.666666666666667,0.432273311204599,0.42035600182565,3,2,"1-2"
936,0.285714285714286,0.417519496692263,0.42035600182565,7,3,"3+"
937,0.5,0.497134655444568,0.42035600182565,2,2,"1-2"
938,0.75,0.439795510896056,0.42035600182565,4,6,"3+"
939,0.4,0.45627411552665,0.42035600182565,20,5,"3+"
940,0,0.34683357613196,0.42035600182565,1,1,"1-2"
941,0.625,0.417499215220308,0.42035600182565,8,6,"3+"
943,0.5,0.413667754357508,0.42035600182565,2,1,"1-2"
948,0.5,0.446720484633059,0.42035600182565,6,1,"1-2"
949,0.571428571428571,0.497562046777218,0.42035600182565,35,3,"3+"
952,0.666666666666667,0.507654171493465,0.42035600182565,3,1,"1-2"
953,0.666666666666667,0.489826163362882,0.42035600182565,3,2,"1-2"
954,0.6,0.560948964735999,0.42035600182565,5,3,"3+"
956,0.5,0.441310678150507,0.42035600182565,14,1,"1-2"
957,0,0.419028684052702,0.42035600182565,1,3,"3+"
958,0.75,0.41436638283628,0.42035600182565,8,4,"3+"
959,0.833333333333333,0.429367436729796,0.42035600182565,6,3,"3+"
960,0,0.491423886440835,0.42035600182565,1,2,"1-2"
963,0.714285714285714,0.509259289221981,0.42035600182565,7,1,"1-2"
964,1,0.449037544381592,0.42035600182565,2,2,"1-2"
966,0.1,0.476556961937312,0.42035600182565,10,2,"1-2"
967,0.25,0.376079685776305,0.42035600182565,4,1,"1-2"
971,0,0.419228320454201,0.42035600182565,2,2,"1-2"
972,0.428571428571429,0.496405768482609,0.42035600182565,7,2,"1-2"
973,0.75,0.415162565972538,0.42035600182565,8,3,"3+"
974,0.166666666666667,0.423699195293634,0.42035600182565,6,2,"1-2"
975,0.4,0.432115728201561,0.42035600182565,15,2,"1-2"
980,0.433962264150943,0.440272336320527,0.42035600182565,53,8,"3+"
981,0.409090909090909,0.467586094605257,0.42035600182565,22,3,"3+"
985,0.37037037037037,0.421387107965784,0.42035600182565,27,4,"3+"
986,0.529411764705882,0.41355304983571,0.42035600182565,17,0,"0"
990,0.434782608695652,0.452822804662422,0.42035600182565,46,2,"1-2"
995,0.25,0.316430805650763,0.42035600182565,4,1,"1-2"
996,0.625,0.422866869636211,0.42035600182565,8,5,"3+"
998,0.433333333333333,0.45757209319222,0.42035600182565,30,2,"1-2"
1031,0,0.266158910614057,0.42035600182565,1,0,"0"
1056,0.142857142857143,0.424125256099951,0.42035600182565,7,0,"0"
1062,0.8,0.420590081441387,0.42035600182565,5,0,"0"
1077,1,0.344397425645819,0.42035600182565,1,0,"0"
1086,0.6,0.534304349681268,0.42035600182565,5,0,"0"
1113,1,0.452736033708477,0.42035600182565,2,0,"0"
1126,0.5,0.437512337031415,0.42035600182565,4,0,"0"
1139,0.571428571428571,0.400326588965756,0.42035600182565,7,0,"0"
1175,0.75,0.421569352952008,0.42035600182565,4,0,"0"
1188,1,0.306189195120176,0.42035600182565,3,0,"0"
1192,0.2,0.481284217495965,0.42035600182565,10,0,"0"
1193,0.5,0.350637488336728,0.42035600182565,4,0,"0"
