"muni_idx","obs","pred_bym2","pred_naive","n","vecinos_retenidos","estrato_vecinos"
1,0,0.452281567992811,0.42035600182565,1,0,"0"
3,0.579545454545455,0.46971973443989,0.42035600182565,88,0,"0"
4,1,0.510642630721638,0.42035600182565,1,0,"0"
6,0.333333333333333,0.519225896066961,0.42035600182565,6,0,"0"
9,0.857142857142857,0.34934347325073,0.42035600182565,7,0,"0"
10,0.470588235294118,0.407793680273804,0.42035600182565,17,0,"0"
12,0.142857142857143,0.483845828655675,0.42035600182565,7,0,"0"
13,0.40625,0.477099800475863,0.42035600182565,32,0,"0"
14,0.3,0.470425448567389,0.42035600182565,10,0,"0"
15,0,0.420860602717837,0.42035600182565,2,0,"0"
17,0.333333333333333,0.434039292198715,0.42035600182565,27,0,"0"
18,0.5,0.513743080118112,0.42035600182565,4,0,"0"
19,0.166666666666667,0.455209550059861,0.42035600182565,6,0,"0"
21,0.5,0.46302058073147,0.42035600182565,26,0,"0"
22,0.578947368421053,0.474310392145308,0.42035600182565,57,0,"0"
23,0.361111111111111,0.41810705150859,0.42035600182565,36,0,"0"
24,0.354838709677419,0.468004379110354,0.42035600182565,31,1,"1-2"
25,0.666666666666667,0.462323348668739,0.42035600182565,3,1,"1-2"
28,0.25,0.36572705139649,0.42035600182565,8,0,"0"
29,0.833333333333333,0.413698991339086,0.42035600182565,6,0,"0"
31,0.48,0.429621759358245,0.42035600182565,50,0,"0"
33,0.2,0.36816746419289,0.42035600182565,5,0,"0"
35,0.125,0.328853666304054,0.42035600182565,8,0,"0"
36,0.5,0.366665342219405,0.42035600182565,2,0,"0"
38,0.470588235294118,0.435291553439753,0.42035600182565,17,0,"0"
39,0.5,0.471657217599737,0.42035600182565,6,0,"0"
41,0.434782608695652,0.465933400242243,0.42035600182565,23,0,"0"
45,0.571428571428571,0.437745675896604,0.42035600182565,7,0,"0"
46,0,0.337707789267888,0.42035600182565,1,0,"0"
47,0.4,0.411466807110624,0.42035600182565,5,0,"0"
48,0.333333333333333,0.412318533567253,0.42035600182565,3,0,"0"
50,0.444444444444444,0.46234477711806,0.42035600182565,18,0,"0"
54,0.75,0.413302045618809,0.42035600182565,4,0,"0"
56,0.333333333333333,0.470758028323389,0.42035600182565,3,0,"0"
70,0,0.340982890751661,0.42035600182565,2,0,"0"
76,0.666666666666667,0.512283479956449,0.42035600182565,9,0,"0"
77,0.5,0.474182730144094,0.42035600182565,2,0,"0"
78,1,0.600638916810946,0.42035600182565,1,0,"0"
79,0.5,0.454625767013671,0.42035600182565,2,0,"0"
80,0,0.509643855292096,0.42035600182565,1,0,"0"
81,0.583333333333333,0.548221119110166,0.42035600182565,12,0,"0"
82,0.363636363636364,0.408316657447802,0.42035600182565,11,0,"0"
83,0.521739130434783,0.521896855354207,0.42035600182565,23,0,"0"
84,0.466666666666667,0.494284920653767,0.42035600182565,15,0,"0"
85,0,0.333766356634991,0.42035600182565,4,0,"0"
87,0,0.288202509946089,0.42035600182565,1,0,"0"
91,0,0.323570940268464,0.42035600182565,1,0,"0"
92,0,0.286184631484715,0.42035600182565,2,0,"0"
95,0.333333333333333,0.414248145775921,0.42035600182565,3,0,"0"
97,0,0.416427470984785,0.42035600182565,9,0,"0"
101,0,0.277360873226091,0.42035600182565,1,0,"0"
105,0,0.255176850480376,0.42035600182565,1,0,"0"
127,0,0.264525825702812,0.42035600182565,3,0,"0"
131,0.5,0.346894059518766,0.42035600182565,2,0,"0"
133,0.333333333333333,0.471336862733168,0.42035600182565,3,0,"0"
135,0,0.292375695805039,0.42035600182565,1,0,"0"
148,0.666666666666667,0.292560604215653,0.42035600182565,6,0,"0"
156,0.666666666666667,0.304910168632312,0.42035600182565,3,0,"0"
158,0.75,0.206010915338969,0.42035600182565,4,0,"0"
159,0.333333333333333,0.223984696741016,0.42035600182565,3,0,"0"
179,0,0.333909631552708,0.42035600182565,1,0,"0"
182,0.4,0.349966789088837,0.42035600182565,5,0,"0"
188,1,0.429804368027906,0.42035600182565,2,0,"0"
199,0,0.40702774406761,0.42035600182565,1,0,"0"
201,0.5,0.388758096027766,0.42035600182565,2,0,"0"
221,0.363636363636364,0.42093632512926,0.42035600182565,11,0,"0"
222,0,0.433266610301338,0.42035600182565,1,0,"0"
224,1,0.504689600607763,0.42035600182565,2,0,"0"
225,1,0.466029525448915,0.42035600182565,1,0,"0"
229,0.428571428571429,0.424281407015951,0.42035600182565,14,0,"0"
231,0.333333333333333,0.555095842544023,0.42035600182565,3,0,"0"
234,0,0.452886877149663,0.42035600182565,2,0,"0"
235,1,0.433523751478059,0.42035600182565,1,0,"0"
237,0.333333333333333,0.43701315738351,0.42035600182565,9,1,"1-2"
241,1,0.592502773458988,0.42035600182565,1,0,"0"
244,0.444444444444444,0.416182678829406,0.42035600182565,9,0,"0"
259,0.470588235294118,0.475797976561339,0.42035600182565,34,0,"0"
260,0,0.351705126245306,0.42035600182565,3,0,"0"
262,0.25,0.473426520891718,0.42035600182565,48,0,"0"
273,0.444444444444444,0.496170348189649,0.42035600182565,9,1,"1-2"
275,0.375,0.404982474109781,0.42035600182565,8,0,"0"
276,0.421052631578947,0.415115754604404,0.42035600182565,19,0,"0"
277,0.4,0.437939737432073,0.42035600182565,10,2,"1-2"
278,0.636363636363636,0.466550621981352,0.42035600182565,11,3,"3+"
279,0.388888888888889,0.435772711391306,0.42035600182565,90,6,"3+"
280,0.529411764705882,0.411975203311804,0.42035600182565,17,0,"0"
281,0.25,0.426985115819955,0.42035600182565,28,1,"1-2"
282,0.666666666666667,0.479329487568226,0.42035600182565,9,2,"1-2"
283,0.375,0.47050463296062,0.42035600182565,8,2,"1-2"
284,0.666666666666667,0.463637831032455,0.42035600182565,3,0,"0"
285,0.473684210526316,0.472569175499158,0.42035600182565,19,3,"3+"
286,0.416666666666667,0.451641319162419,0.42035600182565,12,4,"3+"
287,0.454545454545455,0.395474520934808,0.42035600182565,11,2,"1-2"
288,0.58695652173913,0.426651339996246,0.42035600182565,46,5,"3+"
289,0.416666666666667,0.491298939708105,0.42035600182565,12,3,"3+"
290,0.428571428571429,0.447146996345175,0.42035600182565,21,3,"3+"
291,0,0.452394727990355,0.42035600182565,4,4,"3+"
292,0.363636363636364,0.432093186950388,0.42035600182565,11,0,"0"
293,0.181818181818182,0.44508710771698,0.42035600182565,11,1,"1-2"
299,0.25,0.430595699020586,0.42035600182565,4,0,"0"
303,0,0.428988081748848,0.42035600182565,1,0,"0"
305,0.375,0.38580014168656,0.42035600182565,24,0,"0"
308,0.666666666666667,0.412779125531111,0.42035600182565,3,0,"0"
309,0.285714285714286,0.360223614207244,0.42035600182565,7,1,"1-2"
312,0.549019607843137,0.466741233921895,0.42035600182565,51,0,"0"
314,0.333333333333333,0.360712014260777,0.42035600182565,6,0,"0"
316,0.423076923076923,0.410242494104501,0.42035600182565,26,0,"0"
321,1,0.486606515119951,0.42035600182565,3,0,"0"
322,0.625,0.525747110568532,0.42035600182565,8,0,"0"
326,0.333333333333333,0.515617116141031,0.42035600182565,3,0,"0"
327,0,0.4179434771192,0.42035600182565,1,2,"1-2"
331,0.285714285714286,0.301765869168645,0.42035600182565,7,5,"3+"
332,0.454545454545455,0.369870737697958,0.42035600182565,110,0,"0"
334,0.25,0.385309032684337,0.42035600182565,12,3,"3+"
336,0.333333333333333,0.367228437910589,0.42035600182565,9,3,"3+"
338,0.166666666666667,0.38295490740565,0.42035600182565,6,1,"1-2"
339,0.5,0.376711624818169,0.42035600182565,8,2,"1-2"
340,0.5,0.403077501769008,0.42035600182565,2,2,"1-2"
341,0.5,0.3654287293536,0.42035600182565,6,0,"0"
342,0.714285714285714,0.344442206701545,0.42035600182565,14,1,"1-2"
343,0.444444444444444,0.363073844052113,0.42035600182565,9,0,"0"
345,0.363636363636364,0.37389436283263,0.42035600182565,11,0,"0"
347,0.636363636363636,0.41061153960559,0.42035600182565,33,5,"3+"
348,0.2,0.423516669327616,0.42035600182565,10,8,"3+"
349,0,0.340807727946082,0.42035600182565,2,3,"3+"
350,1,0.46641300969169,0.42035600182565,2,4,"3+"
351,0.6,0.429405317642756,0.42035600182565,5,1,"1-2"
352,0.714285714285714,0.344484839654645,0.42035600182565,7,1,"1-2"
353,1,0.405598144364339,0.42035600182565,2,3,"3+"
354,0.25,0.33662396278279,0.42035600182565,4,4,"3+"
355,0.5,0.271970472026976,0.42035600182565,2,0,"0"
356,0,0.354789169706565,0.42035600182565,4,1,"1-2"
357,0.5,0.358909494392987,0.42035600182565,4,0,"0"
359,0.428571428571429,0.379792434209403,0.42035600182565,14,0,"0"
360,0.615384615384615,0.377334022352764,0.42035600182565,13,4,"3+"
361,0,0.384209463253431,0.42035600182565,1,0,"0"
363,0.428571428571429,0.44086744705107,0.42035600182565,7,3,"3+"
364,0.333333333333333,0.422606786052894,0.42035600182565,3,4,"3+"
365,0.25,0.387363562510964,0.42035600182565,4,4,"3+"
366,0.428571428571429,0.3307121230388,0.42035600182565,7,3,"3+"
367,0.3,0.352178219922414,0.42035600182565,10,3,"3+"
368,0.461538461538462,0.429727998879849,0.42035600182565,13,5,"3+"
370,0,0.542325029457771,0.42035600182565,1,4,"3+"
371,0.333333333333333,0.364650650764041,0.42035600182565,6,2,"1-2"
373,0.666666666666667,0.37518904097115,0.42035600182565,18,1,"1-2"
