"muni_idx","obs","pred_bym2","pred_naive","n","vecinos_retenidos","estrato_vecinos"
1,1,0.748232912903902,0.646508443633044,1,2,"1-2"
3,0.704545454545455,0.726293353827159,0.646508443633044,88,3,"3+"
4,1,0.787651245934396,0.646508443633044,1,2,"1-2"
6,0.666666666666667,0.769264361084803,0.646508443633044,6,2,"1-2"
9,0.857142857142857,0.644805852983232,0.646508443633044,7,4,"3+"
10,0.588235294117647,0.674836534250378,0.646508443633044,17,3,"3+"
12,0.428571428571429,0.672747486338347,0.646508443633044,7,3,"3+"
13,0.75,0.613761372835212,0.646508443633044,32,3,"3+"
14,0.6,0.658514629116551,0.646508443633044,10,5,"3+"
15,0,0.619135800636467,0.646508443633044,2,2,"1-2"
17,0.555555555555556,0.567474037166352,0.646508443633044,27,3,"3+"
18,0.75,0.695861970475099,0.646508443633044,4,2,"1-2"
19,0.666666666666667,0.688319027770362,0.646508443633044,6,1,"1-2"
21,0.730769230769231,0.697767685874668,0.646508443633044,26,1,"1-2"
22,0.771929824561403,0.653605553188774,0.646508443633044,57,2,"1-2"
23,0.527777777777778,0.648999504089758,0.646508443633044,36,1,"1-2"
24,0.645161290322581,0.657361710381387,0.646508443633044,31,3,"3+"
25,0.666666666666667,0.672153125601084,0.646508443633044,3,0,"0"
28,0.625,0.525257762810132,0.646508443633044,8,3,"3+"
29,0.833333333333333,0.583602106657452,0.646508443633044,6,2,"1-2"
31,0.54,0.614594452094672,0.646508443633044,50,2,"1-2"
33,0.4,0.491369226726845,0.646508443633044,5,0,"0"
35,0.375,0.491011527157271,0.646508443633044,8,3,"3+"
36,0.5,0.533397044642647,0.646508443633044,2,1,"1-2"
38,0.705882352941177,0.674443386870729,0.646508443633044,17,4,"3+"
39,0.666666666666667,0.677984305230565,0.646508443633044,6,0,"0"
41,0.695652173913043,0.707981257971829,0.646508443633044,23,3,"3+"
45,0.714285714285714,0.712083828742011,0.646508443633044,7,2,"1-2"
46,0,0.56155595593719,0.646508443633044,1,1,"1-2"
47,0.6,0.71546835245781,0.646508443633044,5,2,"1-2"
48,0.666666666666667,0.638999793789863,0.646508443633044,3,0,"0"
50,0.722222222222222,0.711997286195598,0.646508443633044,18,2,"1-2"
54,0.75,0.701413111591883,0.646508443633044,4,1,"1-2"
56,0.666666666666667,0.696775085609288,0.646508443633044,3,2,"1-2"
70,0.5,0.62505858195501,0.646508443633044,2,1,"1-2"
76,1,0.707653273092676,0.646508443633044,9,4,"3+"
77,1,0.661124587833485,0.646508443633044,2,2,"1-2"
78,1,0.76601187356214,0.646508443633044,1,3,"3+"
79,1,0.658080178117629,0.646508443633044,2,2,"1-2"
80,1,0.72972915605221,0.646508443633044,1,5,"3+"
81,0.666666666666667,0.752195819524756,0.646508443633044,12,4,"3+"
82,0.545454545454545,0.602409609319369,0.646508443633044,11,2,"1-2"
83,0.826086956521739,0.711435671986156,0.646508443633044,23,3,"3+"
84,0.8,0.701128981039589,0.646508443633044,15,3,"3+"
85,0,0.573210580693703,0.646508443633044,4,2,"1-2"
87,0,0.491258448583976,0.646508443633044,1,0,"0"
91,0,0.476262458850732,0.646508443633044,1,4,"3+"
92,0.5,0.529712254656457,0.646508443633044,2,1,"1-2"
95,1,0.667838239727422,0.646508443633044,3,2,"1-2"
97,0.444444444444444,0.640800041466701,0.646508443633044,9,1,"1-2"
101,0,0.480514043775219,0.646508443633044,1,2,"1-2"
105,0,0.442329895004645,0.646508443633044,1,1,"1-2"
127,0.333333333333333,0.509672273350448,0.646508443633044,3,1,"1-2"
131,1,0.613755705908977,0.646508443633044,2,3,"3+"
133,0.666666666666667,0.693292206112014,0.646508443633044,3,2,"1-2"
135,0,0.479241722593996,0.646508443633044,1,2,"1-2"
148,0.666666666666667,0.564086640113454,0.646508443633044,6,0,"0"
156,0.666666666666667,0.500582384880396,0.646508443633044,3,2,"1-2"
158,0.75,0.422560806601908,0.646508443633044,4,1,"1-2"
159,0.333333333333333,0.512960083043394,0.646508443633044,3,1,"1-2"
179,1,0.587296075876016,0.646508443633044,1,0,"0"
182,0.8,0.555794696933903,0.646508443633044,5,1,"1-2"
188,1,0.653925354687218,0.646508443633044,2,1,"1-2"
199,0,0.57049096591858,0.646508443633044,1,2,"1-2"
201,1,0.631157503038587,0.646508443633044,2,1,"1-2"
221,0.636363636363636,0.60414479523365,0.646508443633044,11,2,"1-2"
222,1,0.640154758269051,0.646508443633044,1,2,"1-2"
224,1,0.739958473209346,0.646508443633044,2,0,"0"
225,1,0.62283454790753,0.646508443633044,1,1,"1-2"
229,0.571428571428571,0.582753811345902,0.646508443633044,14,0,"0"
231,0.666666666666667,0.751144520537741,0.646508443633044,3,2,"1-2"
234,0.5,0.638127545957085,0.646508443633044,2,1,"1-2"
235,1,0.617172313795503,0.646508443633044,1,1,"1-2"
237,0.555555555555556,0.615622548468278,0.646508443633044,9,2,"1-2"
241,1,0.743494505252654,0.646508443633044,1,2,"1-2"
244,0.666666666666667,0.615350711054439,0.646508443633044,9,0,"0"
259,0.647058823529412,0.655386846528288,0.646508443633044,34,0,"0"
260,0.333333333333333,0.541855564635303,0.646508443633044,3,0,"0"
262,0.604166666666667,0.671372084869013,0.646508443633044,48,0,"0"
273,0.444444444444444,0.711910211831154,0.646508443633044,9,2,"1-2"
275,0.375,0.591319035942705,0.646508443633044,8,0,"0"
276,0.526315789473684,0.666574935983365,0.646508443633044,19,4,"3+"
277,0.9,0.684609934614045,0.646508443633044,10,5,"3+"
278,0.727272727272727,0.691579492909652,0.646508443633044,11,6,"3+"
279,0.677777777777778,0.652906292023737,0.646508443633044,90,7,"3+"
280,0.705882352941177,0.650807243794027,0.646508443633044,17,2,"1-2"
281,0.571428571428571,0.663735925960621,0.646508443633044,28,6,"3+"
282,0.666666666666667,0.70857701286131,0.646508443633044,9,4,"3+"
283,0.625,0.702509379874769,0.646508443633044,8,6,"3+"
284,0.666666666666667,0.681374445529377,0.646508443633044,3,2,"1-2"
285,0.631578947368421,0.669070310169629,0.646508443633044,19,4,"3+"
286,0.916666666666667,0.671829108638292,0.646508443633044,12,5,"3+"
287,0.636363636363636,0.665733819151286,0.646508443633044,11,5,"3+"
288,0.717391304347826,0.656106049794648,0.646508443633044,46,7,"3+"
289,0.666666666666667,0.711741916779247,0.646508443633044,12,4,"3+"
290,0.714285714285714,0.669283575938757,0.646508443633044,21,4,"3+"
291,0.75,0.653615776955355,0.646508443633044,4,6,"3+"
292,0.454545454545455,0.704411371196703,0.646508443633044,11,1,"1-2"
293,0.454545454545455,0.649863942485211,0.646508443633044,11,3,"3+"
299,0.5,0.645290040228571,0.646508443633044,4,2,"1-2"
303,0,0.650197598937715,0.646508443633044,1,1,"1-2"
305,0.666666666666667,0.624835638230653,0.646508443633044,24,3,"3+"
308,0.666666666666667,0.652356626116564,0.646508443633044,3,4,"3+"
309,0.285714285714286,0.569288688846765,0.646508443633044,7,1,"1-2"
312,0.784313725490196,0.679194191503299,0.646508443633044,51,3,"3+"
314,0.666666666666667,0.611458612550428,0.646508443633044,6,2,"1-2"
316,0.615384615384615,0.651905779087411,0.646508443633044,26,4,"3+"
321,1,0.735195457210092,0.646508443633044,3,3,"3+"
322,0.75,0.729900146552866,0.646508443633044,8,3,"3+"
326,1,0.703783071586852,0.646508443633044,3,1,"1-2"
327,0,0.644960396008425,0.646508443633044,1,2,"1-2"
331,0.571428571428571,0.566056210612605,0.646508443633044,7,4,"3+"
332,0.7,0.601243805294265,0.646508443633044,110,5,"3+"
334,0.5,0.607837013322943,0.646508443633044,12,3,"3+"
336,0.555555555555556,0.579881374468865,0.646508443633044,9,6,"3+"
338,0.833333333333333,0.619934063730774,0.646508443633044,6,1,"1-2"
339,0.625,0.595202936946797,0.646508443633044,8,2,"1-2"
340,1,0.579915190208443,0.646508443633044,2,3,"3+"
341,0.666666666666667,0.635820054458032,0.646508443633044,6,1,"1-2"
342,0.857142857142857,0.600893635303987,0.646508443633044,14,6,"3+"
343,0.888888888888889,0.607494889342962,0.646508443633044,9,1,"1-2"
345,0.727272727272727,0.638434834814996,0.646508443633044,11,7,"3+"
347,0.757575757575758,0.618862020238834,0.646508443633044,33,5,"3+"
348,0.4,0.625740142808803,0.646508443633044,10,8,"3+"
349,0.5,0.584232066027274,0.646508443633044,2,4,"3+"
350,1,0.656415573608313,0.646508443633044,2,5,"3+"
351,0.8,0.66100578236699,0.646508443633044,5,4,"3+"
352,0.857142857142857,0.586309876305551,0.646508443633044,7,4,"3+"
353,1,0.685932519641623,0.646508443633044,2,6,"3+"
354,0.75,0.578249314673611,0.646508443633044,4,4,"3+"
355,1,0.577983600066089,0.646508443633044,2,2,"1-2"
356,0.25,0.619891569877525,0.646508443633044,4,2,"1-2"
357,0.75,0.597813712294479,0.646508443633044,4,2,"1-2"
359,0.642857142857143,0.6434526697601,0.646508443633044,14,4,"3+"
360,0.615384615384615,0.595295891272367,0.646508443633044,13,3,"3+"
361,0,0.612030317973248,0.646508443633044,1,2,"1-2"
