"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,1,0.668585439933528,0.640306708611525,1,1,0,"0"
3,0.72225215193613,0.67511677988501,0.640306708611525,88,15.1023346752692,0,"0"
4,1,0.76193813670416,0.640306708611525,1,1,0,"0"
6,0.596903273450056,0.741333649568249,0.640306708611525,6,4.34711671323842,0,"0"
9,0.879077561944352,0.614548706964281,0.640306708611525,7,6.21058744287783,0,"0"
10,0.538419612292162,0.659464238208081,0.640306708611525,17,13.9178093914527,0,"0"
12,0.597057897998215,0.699768415509543,0.640306708611525,7,4.22557935321607,0,"0"
13,0.703635239013211,0.662637052327825,0.640306708611525,32,10.1014628574974,0,"0"
14,0.461676072132705,0.659397528012292,0.640306708611525,10,8.3652728302015,0,"0"
15,0,0.627023567994923,0.640306708611525,2,1.66783679105255,0,"0"
17,0.608689774124973,0.652737217571676,0.640306708611525,27,17.9703187198085,0,"0"
18,0.766677488806351,0.706549639792514,0.640306708611525,4,3.93216565397808,0,"0"
19,0.357140457511386,0.67658901458775,0.640306708611525,6,3.71899521441228,0,"0"
21,0.750862445842867,0.672504551153313,0.640306708611525,26,20.109579008353,0,"0"
22,0.811652493396438,0.67761912328583,0.640306708611525,57,27.9361368643239,0,"0"
23,0.486163860438769,0.635987334368733,0.640306708611525,36,27.0260205712439,0,"0"
24,0.458921548232398,0.650916186906691,0.640306708611525,31,7.35650049529823,1,"1-2"
25,0.52770750857964,0.697077228831127,0.640306708611525,3,2.73107493083872,1,"1-2"
28,0.718908575626049,0.599854942296878,0.640306708611525,8,6.08358198424557,0,"0"
29,0.847552267332413,0.656387439241688,0.640306708611525,6,5.31643882967629,0,"0"
31,0.526110116768314,0.671356716516103,0.640306708611525,50,32.4049058230086,0,"0"
33,0.35365508890269,0.582090408383449,0.640306708611525,5,4.86699241362966,0,"0"
35,0.415303866931192,0.594642719093707,0.640306708611525,8,3.92539404022218,0,"0"
36,0.402722424888515,0.634962612299461,0.640306708611525,2,1.92705758203795,0,"0"
38,0.731173811812782,0.671003857262389,0.640306708611525,17,13.804792758509,0,"0"
39,0.771254971741072,0.694969129926627,0.640306708611525,6,5.40136435350483,0,"0"
41,0.795567771631451,0.681660503193342,0.640306708611525,23,11.6248978110363,0,"0"
45,0.647107573839567,0.697331761175065,0.640306708611525,7,5.44439060140925,0,"0"
46,0,0.604764591151669,0.640306708611525,1,1,0,"0"
47,0.50845231871461,0.703899276348953,0.640306708611525,5,4.46920767853735,0,"0"
48,0.409165994002291,0.617504736972757,0.640306708611525,3,2.30800445133069,0,"0"
50,0.805842914707134,0.731769413804391,0.640306708611525,18,12.9909482103525,0,"0"
54,0.865658246389158,0.684108338300008,0.640306708611525,4,3.23644011732774,0,"0"
