"muni_idx","obs","pred_bym2","pred_naive","n","vecinos_retenidos","estrato_vecinos"
1,0.5,0.787279240121819,0.843359600230636,2,0,"0"
3,0.88,0.851089122202078,0.843359600230636,100,0,"0"
4,1,0.757065506148096,0.843359600230636,1,0,"0"
6,1,0.848352716616378,0.843359600230636,6,0,"0"
9,1,0.750301108321301,0.843359600230636,7,0,"0"
10,0.944444444444444,0.796279545407482,0.843359600230636,18,0,"0"
12,1,0.843676033459111,0.843359600230636,7,0,"0"
13,0.82051282051282,0.81354900467428,0.843359600230636,39,0,"0"
14,1,0.827215640873655,0.843359600230636,10,0,"0"
15,1,0.896574327227674,0.843359600230636,2,0,"0"
17,0.964285714285714,0.834169809027363,0.843359600230636,28,0,"0"
18,0.666666666666667,0.840933355047745,0.843359600230636,6,0,"0"
19,0.857142857142857,0.754294877807944,0.843359600230636,7,0,"0"
21,0.764705882352941,0.762335202703819,0.843359600230636,34,0,"0"
22,0.919354838709677,0.833620515605676,0.843359600230636,62,0,"0"
23,0.923076923076923,0.838672564841245,0.843359600230636,39,0,"0"
24,0.885714285714286,0.802450922889674,0.843359600230636,35,0,"0"
25,1,0.808833035398854,0.843359600230636,3,0,"0"
28,1,0.875700782216932,0.843359600230636,8,1,"1-2"
29,1,0.908435324027279,0.843359600230636,6,0,"0"
30,0.5,0.851775719687056,0.843359600230636,2,1,"1-2"
31,0.892857142857143,0.855729185301057,0.843359600230636,56,2,"1-2"
33,0.833333333333333,0.921112430487551,0.843359600230636,6,0,"0"
35,0.8,0.73916582191562,0.843359600230636,10,0,"0"
36,1,0.845789693477911,0.843359600230636,2,0,"0"
38,0.944444444444444,0.847396018334606,0.843359600230636,18,1,"1-2"
39,1,0.940628064236617,0.843359600230636,6,0,"0"
41,0.92,0.878109588217499,0.843359600230636,25,3,"3+"
45,1,0.816462424363661,0.843359600230636,7,1,"1-2"
46,1,0.948684149472513,0.843359600230636,1,0,"0"
47,0.714285714285714,0.664326527650936,0.843359600230636,7,3,"3+"
48,0.6,0.827088953709553,0.843359600230636,5,0,"0"
50,0.857142857142857,0.827311437928199,0.843359600230636,21,2,"1-2"
54,0.571428571428571,0.762048554738599,0.843359600230636,7,0,"0"
