"muni_idx","fold_aleatorio","fold_contiguo"
1,2,1
3,1,1
4,2,1
6,1,1
9,3,1
10,1,1
12,3,4
13,1,4
14,2,4
15,4,4
17,3,4
18,1,4
19,5,4
21,2,4
22,1,4
23,4,4
24,2,2
25,3,2
28,3,2
29,4,2
31,3,2
32,3,2
33,4,2
35,1,2
36,4,2
38,1,1
39,1,1
41,2,1
45,4,1
46,3,1
47,4,1
48,5,1
50,2,1
54,4,1
56,2,1
70,5,1
76,4,5
77,2,4
78,1,4
79,5,4
80,5,4
81,1,4
82,2,4
83,2,4
84,1,2
85,4,5
87,3,5
91,3,5
92,1,5
95,4,5
97,2,5
101,3,5
105,1,5
109,3,5
113,1,5
127,4,5
129,3,5
131,2,5
133,5,5
135,1,5
146,4,5
148,5,5
154,1,5
156,3,5
158,4,5
159,2,5
179,1,5
182,5,5
184,3,5
188,1,5
191,4,5
199,3,5
201,2,5
221,3,4
222,1,4
223,2,4
224,1,4
225,5,4
229,5,4
231,1,4
234,3,4
235,5,4
237,1,4
241,4,4
242,2,4
244,5,4
259,3,4
260,1,4
262,5,4
273,5,1
275,2,4
276,5,3
277,3,3
278,2,4
279,5,2
280,5,3
281,2,3
282,3,3
283,1,3
284,2,3
285,4,5
286,3,2
287,4,3
288,5,4
289,5,4
290,3,5
291,5,3
292,2,1
293,1,4
299,3,4
303,1,4
305,1,1
308,4,4
309,5,4
312,5,4
314,1,4
316,3,1
321,4,1
322,2,4
326,2,4
327,3,1
331,4,5
332,3,1
334,4,5
336,2,5
338,4,2
339,1,5
340,4,1
341,3,1
342,1,1
343,3,1
345,3,1
347,3,2
348,5,1
349,4,1
350,5,5
351,4,1
352,1,1
353,2,1
354,5,2
355,5,1
356,1,1
357,2,1
359,2,1
360,1,2
361,5,1
363,3,1
364,5,5
365,5,1
366,1,1
367,3,2
368,2,5
370,4,1
371,5,1
373,4,1
374,2,2
375,5,1
376,1,1
378,2,3
385,5,3
388,5,3
389,2,3
392,4,3
393,3,3
395,5,3
398,2,3
399,5,4
402,4,3
404,5,3
412,5,3
415,3,3
423,2,3
427,1,3
435,5,3
437,2,3
440,2,3
450,4,3
455,3,3
463,5,5
466,4,5
468,1,5
474,1,2
475,5,2
477,3,2
482,1,5
488,1,5
491,2,5
492,1,2
495,3,2
498,4,5
501,5,5
503,5,5
504,4,2
506,2,5
507,4,2
510,3,5
523,1,2
527,3,2
530,5,5
532,2,4
542,2,4
543,2,4
549,2,4
559,2,4
570,4,4
580,2,4
588,4,1
591,3,4
596,2,4
597,5,4
603,3,4
607,5,4
616,3,4
625,3,4
634,1,4
640,3,1
647,4,1
662,2,4
666,3,1
671,1,3
677,4,3
678,1,3
681,4,4
682,5,3
683,2,2
688,2,4
692,2,3
694,5,4
695,4,3
698,1,4
699,5,3
705,1,5
707,1,4
708,4,2
709,5,5
710,1,4
713,5,4
718,1,4
719,5,3
720,4,4
724,2,3
725,1,4
726,2,2
734,2,3
736,4,3
738,5,3
743,4,4
749,4,4
750,4,3
751,5,3
759,5,3
760,5,5
761,1,3
766,4,3
770,1,3
771,4,3
774,3,3
776,4,2
777,1,2
778,3,2
788,2,3
789,4,4
792,4,3
793,2,3
795,1,2
802,3,4
809,3,2
819,2,4
821,2,5
824,3,5
828,2,5
837,1,2
839,2,2
850,4,5
851,2,4
852,2,5
854,1,4
858,4,4
867,5,5
873,2,2
877,1,4
883,4,2
885,5,5
886,3,5
889,1,2
892,2,4
894,1,5
902,1,2
906,5,5
910,1,3
911,4,3
915,4,3
916,5,3
917,3,3
919,1,3
921,1,3
926,5,3
928,4,3
931,5,3
933,4,3
934,4,3
935,2,3
936,4,3
937,3,3
938,1,3
939,1,3
940,5,3
941,4,3
943,1,3
948,3,4
949,3,4
952,3,4
953,5,4
954,5,1
956,2,1
957,1,1
958,2,1
959,5,1
960,4,4
963,1,1
964,1,1
966,3,1
967,5,1
970,4,1
971,3,1
972,2,1
973,3,1
974,1,1
975,5,1
978,1,1
980,2,1
981,4,1
982,1,1
984,2,1
985,5,1
986,5,1
990,3,1
995,5,1
996,1,1
998,1,1
1007,2,1
1031,5,5
1056,5,3
1062,3,5
1077,2,2
1086,5,5
1113,5,3
1117,4,3
1126,4,5
1139,2,5
1175,3,5
1188,1,5
1192,4,5
1193,1,5
1224,4,3
1232,1,3
1248,3,5
1276,4,5
1346,4,5
1349,4,3
1356,1,2
1374,4,3
1433,4,3
1474,4,2
1475,4,3
1483,4,3
1500,4,5
1512,5,5
1515,2,2
1517,5,2
1520,2,5
1531,3,2
1565,4,2
1566,4,3
1569,3,2
1592,1,2
1598,5,5
1602,4,3
1608,4,3
1620,1,3
1623,2,3
1626,3,5
1629,3,3
1632,3,2
1636,4,5
1640,4,3
1654,4,3
1666,2,5
1678,5,3
1695,3,5
1722,3,3
1732,5,3
1735,3,3
1751,5,3
1755,3,2
1756,1,2
1757,2,3
1758,5,2
1763,2,2
1774,3,5
1780,3,3
1785,2,5
1792,1,3
1798,4,2
1800,4,5
1803,3,1
1805,2,2
1807,3,1
1808,3,1
1810,3,5
1812,4,1
1814,2,2
1815,2,1
1817,3,2
1819,4,5
1821,2,2
1823,4,2
1824,3,2
1825,5,2
1827,1,2
1829,1,2
1830,3,2
1831,3,2
1832,1,1
1833,4,1
1834,2,5
1839,5,5
1846,3,1
1848,3,1
1853,1,2
1856,2,1
1865,1,1
1869,3,1
1876,4,1
1882,2,2
1887,3,1
1890,5,1
1891,2,4
1892,2,4
1894,2,4
1897,2,4
1898,5,4
1901,3,4
1902,1,4
1903,5,4
1904,2,4
1905,4,4
1907,4,4
1908,4,4
1909,5,4
1910,3,4
1913,3,4
1924,3,4
1925,4,4
1928,5,4
1932,1,4
1933,5,4
1935,1,4
1940,4,4
1942,2,4
1946,2,4
1955,3,4
1966,4,4
1967,1,4
1968,2,4
1971,5,4
1983,4,5
1984,2,2
1985,1,5
1988,1,5
1989,5,5
1991,5,5
1992,5,5
1993,2,5
1994,2,5
1995,4,5
1996,5,2
1997,4,2
1998,2,2
