"muni_idx","fold_aleatorio","fold_contiguo"
1,5,3
3,3,3
4,1,3
6,3,3
9,2,3
10,5,3
12,3,2
13,2,2
14,5,2
15,1,2
17,4,2
18,5,2
19,2,2
21,4,2
22,1,2
23,4,2
24,1,4
25,1,1
28,2,4
29,2,4
31,3,4
32,5,4
33,5,4
35,1,4
36,4,4
38,5,3
39,4,4
41,3,3
45,4,4
46,5,4
47,1,3
48,1,2
50,5,3
54,3,2
56,2,3
70,2,3
76,3,4
77,3,4
78,4,4
79,3,4
80,2,4
81,3,4
82,3,4
83,1,4
84,5,2
85,1,1
87,2,1
91,4,1
92,3,1
95,4,1
97,1,1
101,1,1
105,3,1
109,5,1
113,3,1
127,2,1
129,1,1
131,2,1
133,1,1
135,3,1
146,2,1
148,1,1
154,2,1
156,2,1
158,5,1
159,3,1
179,4,1
182,4,1
188,5,1
191,5,1
199,3,1
201,4,1
221,2,2
222,1,2
223,1,2
224,3,2
225,5,2
229,5,2
231,1,2
234,2,2
235,2,2
237,3,2
241,4,2
242,2,2
244,4,2
259,2,2
260,3,2
262,1,2
273,3,3
275,5,2
276,2,5
277,1,5
278,4,5
279,5,5
280,3,5
281,5,5
282,3,5
283,3,5
284,5,5
285,5,5
286,4,5
287,5,5
288,2,5
289,5,5
290,5,5
291,3,5
292,4,3
293,3,3
299,5,3
303,3,3
305,3,3
308,5,3
309,2,3
312,5,3
314,2,3
316,3,3
321,2,3
322,5,3
326,4,3
327,1,3
331,4,4
332,4,3
334,1,3
336,1,4
338,1,4
339,1,4
340,5,3
341,4,3
342,1,3
343,3,3
345,1,3
347,1,4
348,3,3
349,3,3
350,5,3
351,4,3
352,5,3
353,5,3
354,4,4
355,4,3
356,4,3
357,5,3
359,1,3
360,2,3
361,5,3
363,3,3
364,3,4
365,3,3
366,5,3
367,4,4
368,3,3
370,1,3
371,4,3
373,3,3
374,2,3
375,3,3
376,4,3
378,5,2
385,3,2
388,2,2
389,2,2
392,2,2
393,5,2
395,1,2
398,2,2
399,4,2
402,1,2
404,2,2
412,3,2
415,4,2
423,4,1
427,3,2
435,3,2
437,1,2
440,1,2
450,1,2
455,5,2
463,2,2
466,5,2
468,4,2
474,1,2
475,3,2
477,4,2
482,5,2
488,4,5
491,1,5
492,2,2
495,1,2
498,3,2
501,4,2
503,3,2
504,1,2
506,2,2
507,4,2
510,4,5
523,2,2
527,5,2
530,2,2
532,2,5
543,1,2
549,1,3
559,1,3
570,4,3
580,3,3
588,4,3
591,1,4
596,5,3
597,2,3
603,5,3
607,3,3
616,2,3
625,4,4
634,5,3
640,1,3
647,2,3
662,5,3
666,5,3
671,1,5
677,5,5
678,3,5
681,3,5
682,1,5
683,2,2
688,3,5
692,4,5
694,3,5
695,1,5
698,1,5
699,5,5
705,4,5
707,5,5
708,4,5
709,4,2
710,4,5
713,5,5
718,2,5
719,1,2
720,5,5
724,3,5
725,4,5
726,2,5
734,4,5
736,4,5
738,2,5
743,1,5
749,5,5
750,4,5
751,2,5
759,4,5
760,5,5
761,2,5
766,2,5
770,3,5
771,2,5
774,5,5
776,4,2
777,2,2
778,5,5
788,2,5
789,4,5
792,2,5
793,3,5
795,3,5
802,2,4
809,5,4
819,1,2
821,2,4
824,4,4
828,4,4
837,5,4
839,4,4
850,1,4
851,2,2
852,1,4
854,5,2
858,4,2
867,3,4
873,5,2
877,1,2
883,1,4
885,2,4
886,3,3
889,4,4
892,2,2
894,5,4
902,4,4
906,5,2
910,4,5
911,4,5
915,2,5
916,5,5
917,1,5
919,4,5
921,3,5
926,4,5
928,1,5
931,3,5
933,1,5
934,4,5
935,4,5
936,5,5
937,1,5
938,2,5
939,4,5
940,2,5
941,1,5
943,4,5
948,4,3
949,4,3
952,3,3
953,1,3
954,2,3
956,2,3
957,3,3
958,1,3
959,3,3
960,4,3
963,2,3
964,5,3
966,3,4
967,5,4
971,2,3
972,5,4
973,2,4
974,5,3
975,3,4
978,4,4
980,3,4
981,3,4
982,4,4
985,2,4
986,3,4
990,5,4
995,2,4
996,2,3
998,1,4
1007,2,4
1031,4,1
1056,3,1
1062,3,1
1077,4,1
1086,2,1
1113,4,1
1117,1,1
1126,2,1
1139,3,1
1175,3,1
1188,2,1
