"paso","esquema","estrato_vecinos","n_municipios","rmse_bym2","rmse_naive","rmse_irreducible"
"AWARE_ESH","aleatorio","0",119,0.2355,0.2478,0.1624
"AWARE_ESH","aleatorio","1-2",262,0.2031,0.2257,0.1596
"AWARE_ESH","aleatorio","3+",206,0.196,0.2037,0.1394
"AWARE_ESH","contiguo","0",528,0.2113,0.2267,0.1551
"AWARE_ESH","contiguo","1-2",50,0.1983,0.1947,0.1445
"AWARE_ESH","contiguo","3+",9,0.0932,0.1423,0.0885
"AWARE_AHA","aleatorio","0",108,0.1908,0.2066,0.1523
"AWARE_AHA","aleatorio","1-2",289,0.1901,0.2166,0.1473
"AWARE_AHA","aleatorio","3+",197,0.1655,0.1705,0.1245
"AWARE_AHA","contiguo","0",413,0.1862,0.2075,0.1424
"AWARE_AHA","contiguo","1-2",134,0.1792,0.1908,0.1433
"AWARE_AHA","contiguo","3+",47,0.1502,0.1627,0.1224
"TRAT","aleatorio","0",102,0.178,0.1948,0.1489
"TRAT","aleatorio","1-2",288,0.2295,0.2504,0.1478
"TRAT","aleatorio","3+",186,0.1666,0.1903,0.1192
"TRAT","contiguo","0",491,0.1998,0.2198,0.1413
"TRAT","contiguo","1-2",71,0.2467,0.2591,0.1354
"TRAT","contiguo","3+",14,0.0893,0.1086,0.084
"CONTROL_ESH","aleatorio","0",113,0.2909,0.3102,0.1831
"CONTROL_ESH","aleatorio","1-2",265,0.2932,0.305,0.1838
"CONTROL_ESH","aleatorio","3+",180,0.2299,0.2348,0.1562
"CONTROL_ESH","contiguo","0",401,0.2803,0.2916,0.1776
"CONTROL_ESH","contiguo","1-2",107,0.2794,0.2886,0.1781
"CONTROL_ESH","contiguo","3+",50,0.2263,0.2214,0.1479
"CONTROL_AHA","aleatorio","0",113,0.3024,0.3038,0.1728
"CONTROL_AHA","aleatorio","1-2",265,0.2969,0.3088,0.1766
"CONTROL_AHA","aleatorio","3+",180,0.2341,0.2424,0.1656
"CONTROL_AHA","contiguo","0",401,0.284,0.2915,0.1743
"CONTROL_AHA","contiguo","1-2",107,0.2787,0.2923,0.1774
"CONTROL_AHA","contiguo","3+",50,0.2583,0.2478,0.1431
