"muni_id","prevalencia","ci_l","ci_u","n","cv_pct"
"01_001",0.561411398467686,0.48893302560751,0.633889771327863,162,6.58674935426763
"01_002",0.606153889597673,0.377610584927183,0.834697194268164,12,19.236654069826
"01_004",0.0833628010911263,0.0833628010911262,0.0833628010911263,5,8.4936013316526e-15
"01_005",0.166776383861519,-0.108054532561297,0.441607300284335,8,84.076565321259
"01_006",0.203870271664623,-0.0179376460717045,0.425678189400951,14,55.5094688614925
"01_009",0.425380704157065,0.203352717700865,0.647408690613265,31,26.6301653600174
"02_001",0.272788617548703,0.165079849851989,0.380497385245416,34,20.1450681484814
"02_002",0.307772535465625,0.202636868232713,0.412908202698538,72,17.4286657730041
"02_003",0.485065424212349,0.485065424212349,0.485065424212349,12,1.16776065745377e-14
"02_004",0.578554885539868,0.3699990136127,0.787110757467036,101,18.3916962357698
"02_005",0.72068155851895,0.72068155851895,0.72068155851895,7,7.85978650335355e-15
"02_006",0.12942296094425,0.12942296094425,0.12942296094425,11,2.18833008669267e-14
"03_001",0.522668438548961,0.357100376682226,0.688236500415695,64,16.1619670755196
"03_002",0.356520122059679,0.0404778092142155,0.672562434905143,22,45.2277635974185
"03_003",0.371884680236003,0.271225394192551,0.472543966279455,129,13.8098666933541
"03_008",0.339437987824449,0.193528816283614,0.485347159365283,90,21.9313858607581
"04_001",0.1456104429823,0.0814339612502984,0.209786924714302,30,22.486782028725
"04_002",0.459390118624442,0.338173183194256,0.580607054054628,120,13.4624957551693
"04_003",0.522616482600894,0.463787637288655,0.581445327913133,66,5.74316310244688
"04_004",0.155326406254294,0.0978702365863454,0.212782575922243,38,18.8727551138815
"04_006",0,0,0,5,NA
"04_007",0.506070827844858,0.506070827844858,0.506070827844858,7,0
"04_008",0.0979249715081045,0.0979249715081045,0.0979249715081045,12,7.23053974337159e-15
"04_009",0.342607623529863,0.297603801193615,0.38761144586611,28,6.70187475936971
"04_011",0.370307878260261,0.370307878260261,0.370307878260261,12,7.64823477895598e-15
"04_012",0.656467607244043,0.656467607244042,0.656467607244043,3,8.62861034475582e-15
"05_002",0.378640886651735,0.360582696727483,0.396699076575987,19,2.43327187608382
"05_017",0.354146735935826,0.169978035202824,0.538315436668828,39,26.5323983785035
"05_018",0.321757595894851,0.0619528919550758,0.581562299834627,10,41.1966716772568
"05_024",0.51052347946383,0.307890555172809,0.713156403754851,14,20.2506151440904
"05_025",0.686343367936118,0.686343367936118,0.686343367936118,6,8.25301656792619e-15
"05_026",0.105346608588143,0.105346608588143,0.105346608588143,4,0
"05_027",0.543263934101227,0.543263934101227,0.543263934101227,12,0
"05_030",0.361111735407362,0.224663220204542,0.497560250610183,53,19.2784068096433
"05_033",0.263561606214156,0.263561606214156,0.263561606214156,12,0
"05_035",0.328829391780916,0.224292234874558,0.433366548687273,66,16.2197435718981
"05_038",0.107597620337116,0.107597620337116,0.107597620337116,14,6.58053957085179e-15
"06_001",0.453482538424221,0.453482538424221,0.453482538424221,5,0
"06_002",0.28386803971389,0.155211229669096,0.412524849758685,26,23.123853492225
"06_003",0.59633018957158,0.20314183390461,0.98951854523855,22,33.6401388727008
"06_004",1,1,1,1,0
"06_005",0.609452720152748,0.609452720152748,0.609452720152748,4,0
"06_007",0.30821606127874,0.198645565655148,0.417786556902331,55,18.1377030975399
"06_008",0.214822488053781,0.214822488053781,0.214822488053781,4,6.59195789763518e-15
"06_009",0.374415504759632,0.168083903251697,0.580747106267568,43,28.1161500848456
"06_010",0.291922109506449,0.0913143934222172,0.492529825590681,36,35.0610221768483
"07_008",0,0,0,11,NA
"07_013",0.411503391485717,0.411503391485717,0.411503391485717,9,0
"07_015",0,0,0,4,NA
"07_019",0.352274445169679,0.352274445169679,0.352274445169679,10,8.03975886490246e-15
"07_020",0.269434625463006,0.269434625463006,0.269434625463006,6,1.05116467067459e-14
"07_022",0,0,0,3,NA
"07_027",0.673257945934884,0.673257945934884,0.673257945934885,5,8.41342195968808e-15
"07_031",0.74776180003941,0.74776180003941,0.74776180003941,10,0
"07_039",0.260144136597441,0.260144136597441,0.260144136597441,20,1.08870475824493e-14
"07_040",0.301202256887667,0.301202256887667,0.301202256887667,14,0
"07_046",0.206079860573847,0.206079860573847,0.206079860573847,3,6.87161177600036e-15
"07_051",0.318309448359555,0.0984206448010054,0.538198251918104,11,35.2450000020632
"07_052",0.19887049661566,0.19887049661566,0.19887049661566,15,7.12071836101732e-15
"07_057",0.0542381352673068,0.0542381352673067,0.0542381352673068,10,6.52723766099564e-15
"07_058",0.103621176982307,0.103621176982307,0.103621176982307,5,0
"07_061",0.187098594346453,0.187098594346453,0.187098594346453,5,0
"07_076",0.568533574778178,0.568533574778178,0.568533574778178,2,0
"07_078",0.5825493741216,0.254793081871892,0.910305666371307,10,28.7053090287382
