"muni_id","prevalencia","ci_l","ci_u","n","cv_pct"
"01_001",0.498094551727517,0.407735157819182,0.588453945635851,88,9.25561852182332
"01_002",0.879295322877193,0.722437764787177,1.03615288096721,7,9.10153440946193
"01_004",1,1,1,1,0
"01_005",0,0,0,1,NA
"01_006",0.2018805103163,0.0384405723769889,0.365320448255611,6,41.3054847680813
"01_009",0.456699080469791,0.334339472558577,0.579058688381005,17,13.6694760407782
"02_001",0.259685077075598,0.174256238973733,0.345113915177463,10,16.7842304916189
"02_002",0.333789151092762,0.127067833094957,0.540510469090568,27,31.5978095326565
"02_003",0.401660883573839,0.401660883573839,0.401660883573839,7,7.05122582072612e-15
"02_004",0.26989105611129,0.219561913141083,0.320220199081498,32,9.51425902675517
"02_005",0.486261782110794,0.486261782110794,0.486261782110794,4,5.82443798304965e-15
"02_006",0,0,0,3,NA
"03_001",0.334150729405342,0.122521761465462,0.545779697345221,36,32.3129515314194
"03_002",0.0419461138203681,-0.0694435149777703,0.153335742618506,6,135.486790284635
"03_003",0.653594470634224,0.528790797145741,0.778398144122707,57,9.74233205412291
"03_008",0.566888273758469,0.387658875972052,0.746117671544886,26,16.1307923504788
"04_001",0.171026755579582,-0.0127964650331926,0.354849976192357,5,54.8378276472983
"04_002",0.399473843762308,0.197518569162798,0.601429118361819,50,25.7935299186253
"04_003",0.177524285144455,-0.0998221823485965,0.454870752637507,31,79.7092632290893
"04_004",0.343531005202972,-0.0438892203696349,0.730951230775579,8,57.5387308279204
"04_007",0.52770750857964,0.52770750857964,0.52770750857964,3,0
"04_008",0.402722424888515,0.402722424888515,0.402722424888516,2,1.40652788044547e-14
"04_009",0.335751473609327,0.0410884157819696,0.630414531436684,8,44.7766597101541
"04_011",0.847552267332413,0.847552267332413,0.847552267332413,6,6.68324940559854e-15
"04_012",0,0,0,1,NA
"05_002",0.865658246389158,0.594937694728159,1.13637879805016,4,15.9558036922104
