"muni_id","prevalencia","ci_l","ci_u","n","cv_pct"
"01_001",0.72225215193613,0.662199009329222,0.782305294543038,88,4.24219691014805
"01_002",0.879295322877193,0.722437764787177,1.03615288096721,7,9.10153440946193
"01_004",1,1,1,1,0
"01_005",1,1,1,1,0
"01_006",0.596903273450056,0.270561201758043,0.923245345142069,6,27.8941437233804
"01_009",0.538419612292162,0.50338200821167,0.573457216372654,17,3.32014811577769
"02_001",0.461676072132705,0.108619668962829,0.814732475302581,10,39.0167108101797
"02_002",0.608689774124973,0.503543343627833,0.713836204622113,27,8.8133792104302
"02_003",0.597057897998215,0.597057897998215,0.597057897998215,7,9.48719245797496e-15
"02_004",0.703635239013211,0.649246671153593,0.75802380687283,32,3.94370090887543
"02_005",0.766677488806351,0.766677488806351,0.766677488806351,4,7.38824769158413e-15
"02_006",0,0,0,3,NA
"03_001",0.486149716501692,0.236097079841598,0.736202353161786,36,26.2425075067472
"03_002",0.357273606169361,0.282546019902739,0.432001192435983,6,10.6714626732638
"03_003",0.811652493396438,0.710286606553657,0.913018380239219,57,6.37185120803173
"03_008",0.750862445842867,0.558445262535864,0.94327962914987,26,13.074569495787
"04_001",0.35365508890269,0.0551321901809566,0.652177987624423,5,43.0667071301631
"04_002",0.526110116768314,0.326990779469199,0.725229454067429,50,19.3099306369613
"04_003",0.458914174364705,0.276662306791238,0.641166041938172,31,20.2620995199986
"04_004",0.718908575626049,0.404327065681755,1.03349008557034,8,22.3256163330605
"04_007",0.52770750857964,0.52770750857964,0.52770750857964,3,0
"04_008",0.402722424888515,0.402722424888515,0.402722424888516,2,1.40652788044547e-14
"04_009",0.415303866931192,0.271327768665651,0.559279965196732,8,17.6875774202202
"04_011",0.847552267332413,0.847552267332413,0.847552267332413,6,6.68324940559854e-15
"04_012",0,0,0,1,NA
"05_002",0.865658246389158,0.594937694728159,1.13637879805016,4,15.9558036922104
"05_017",0.731173811812782,0.542903134444752,0.919444489180812,17,13.1372960153979
"05_018",0.771254971741072,0.498931593121519,1.04357835036063,6,18.0148594675557
"05_024",0.647107573839567,0.111365930914578,1.18284921676456,7,42.2398970389241
"05_025",0.409165994002291,0.409165994002291,0.409165994002291,3,6.9218890009116e-15
"05_026",0,0,0,1,NA
"05_027",0.50845231871461,0.50845231871461,0.50845231871461,5,0
"05_030",0.805842914707134,0.613048863441329,0.998636965972939,18,12.2063878797094
"05_033",0.568784824469458,0.568784824469458,0.568784824469458,3,9.95878044416286e-15
"05_035",0.795567771631451,0.619596822496291,0.97153872076661,23,11.2851600704512
"05_038",0.516576715497301,0.516576715497301,0.516576715497301,2,0
"06_001",1,1,1,2,0
"06_002",1,1,1,9,0
"06_003",0.519822094818139,0.461436187039224,0.578208002597054,11,5.73056219725554
"06_004",1,1,1,1,0
"06_005",1,1,1,2,0
"06_007",0.760521392304892,0.522452620016343,0.998590164593441,23,15.9711035823431
"06_008",1,1,1,1,0
"06_009",0.777440969275273,0.544450240224307,1.01043169832624,15,15.2902696979274
"06_010",0.743121875250072,0.501537313553445,0.984706436946699,12,16.5864353536325
"07_013",1,1,1,1,0
"07_019",0,0,0,4,NA
"07_020",0,0,0,1,NA
"07_027",0.829468578333756,0.829468578333756,0.829468578333756,3,0
"07_031",0.587491177271526,0.587491177271526,0.587491177271526,6,9.64168213243664e-15
"07_039",0.829204442003744,0.829204442003744,0.829204442003744,4,0
"07_040",0.67657286553873,0.67657286553873,0.67657286553873,3,0
"07_046",0,0,0,1,NA
"07_052",0.422967222130193,0.422967222130193,0.422967222130193,3,2.00880927309285e-14
"07_057",0,0,0,1,NA
"07_061",0,0,0,1,NA
"07_076",0,0,0,1,NA
"07_078",1,1,1,2,0
"07_087",1,1,1,2,0
"07_089",1,1,1,2,0
"07_094",0.913671115906326,0.913671115906326,0.913671115906326,5,6.19960846769702e-15
"07_099",0.504400372502013,0.140923020973126,0.867877724030901,3,36.7659578463782
"07_101",0.506700967661934,0.383771227454125,0.629630707869743,9,12.3779623902182
"07_103",1,1,1,3,0
"07_107",0.519667590782639,0.519667590782639,0.519667590782639,2,0
"07_108",0,0,0,1,NA
"08_002",0.364890788262145,0.364890788262145,0.364890788262145,8,0
"08_006",1,1,1,1,0
"08_011",0.563476482641987,0.397547083516821,0.729405881767153,9,15.0242040802796
"08_013",1,1,1,1,0
"08_017",0.810579535179556,0.810579535179556,0.810579535179556,3,0
"08_019",0.726877476837856,0.612121379171651,0.841633574504061,34,8.05486911992924
"08_021",0.420100899775133,0.0529258736703567,0.787275925879909,14,44.5926674026423
"08_023",1,1,1,1,0
"08_025",1,1,1,2,0
"08_031",1,1,1,1,0
"08_032",0.599282721814642,0.599282721814642,0.599282721814642,9,9.45197146634079e-15
"08_036",0.652975528574701,0.652975528574701,0.652975528574701,9,8.67475569754837e-15
"08_037",0.621203011288584,0.469777988439197,0.772628034137971,48,12.4367820688468
