"paso","anio","ponderacion_modelo","or","or_l","or_u","excluye_1"
"Diagnóstico (ESH)","2022","ponde_cal/media_municipal",0.835010897275041,0.724201551166199,0.962859189599031,TRUE
"Diagnóstico (ESH)","2023","ponde_cal/media_municipal",1.02012620738915,0.860043542782337,1.21012985729316,FALSE
"Diagnóstico (ESH)","2024","ponde_cal/media_municipal",1.43828860621907,1.22516714632675,1.68901960076362,TRUE
"Diagnóstico (AHA)","2022","ponde_cal/media_municipal",0.880768902746014,0.783169418484653,0.990625839908589,TRUE
"Diagnóstico (AHA)","2023","ponde_cal/media_municipal",1.05905559259122,0.922622250086137,1.21580433642458,FALSE
"Diagnóstico (AHA)","2024","ponde_cal/media_municipal",1.28730223764989,1.13386376951757,1.46179791589764,TRUE
"Tratamiento","2022","ponde_cal/media_municipal",1.05603065378759,0.835611861595635,1.33492143959353,FALSE
"Tratamiento","2023","ponde_cal/media_municipal",0.721371010417471,0.553040589739978,0.940554068088694,TRUE
"Tratamiento","2024","ponde_cal/media_municipal",0.737842387134864,0.580338267975438,0.937910407431795,TRUE
"Control (ESH)","2022","ponde_cal/media_municipal",0.96737826053871,0.813281946106253,1.15092610124288,FALSE
"Control (ESH)","2023","ponde_cal/media_municipal",0.920761090708124,0.750436954192396,1.12994513480656,FALSE
"Control (ESH)","2024","ponde_cal/media_municipal",1.42290905170581,1.17638508929884,1.7217982328117,TRUE
"Control (AHA)","2022","ponde_cal/media_municipal",1.03217783522246,0.867063035465175,1.22910035387015,FALSE
"Control (AHA)","2023","ponde_cal/media_municipal",1.07107259132924,0.871388962491511,1.31694203498896,FALSE
"Control (AHA)","2024","ponde_cal/media_municipal",1.56652381319339,1.30289315780227,1.88482733776087,TRUE
