"anio","estrato","sexo","grupo_edad","pob_elegible","n_elegible"
"2021","1",1,"20-39",3557107.64000072,507
"2021","1",1,"40-59",2873879.21586806,450
"2021","1",1,"60-79",1583709.81481538,261
"2021","1",1,"80+",280501.796269453,52
"2021","1",2,"20-39",3741248.22104353,770
"2021","1",2,"40-59",3102815.765395,729
"2021","1",2,"60-79",1250905.89216083,315
"2021","1",2,"80+",170539.024873693,52
"2021","2",1,"20-39",5674756.98253984,694
"2021","2",1,"40-59",3975667.98445309,564
"2021","2",1,"60-79",2015174.08560397,308
"2021","2",1,"80+",161957.213528554,35
"2021","2",2,"20-39",6147811.20887617,1003
"2021","2",2,"40-59",4545705.7545076,969
"2021","2",2,"60-79",1889177.85107425,443
"2021","2",2,"80+",202398.155930664,56
"2021","3",1,"20-39",9711253.87257039,1037
"2021","3",1,"40-59",6728999.50680754,806
"2021","3",1,"60-79",3535302.93157565,459
"2021","3",1,"80+",485844.269382589,59
"2021","3",2,"20-39",9447290.56235456,1325
"2021","3",2,"40-59",8081807.43208178,1440
"2021","3",2,"60-79",3936394.94447545,778
"2021","3",2,"80+",504661.467283452,85
"2022","1",1,"20-39",3871249.86608025,360
"2022","1",1,"40-59",2661639.08945408,458
"2022","1",1,"60-79",1427705.59059719,245
"2022","1",1,"80+",271808.613797724,55
"2022","1",2,"20-39",3807281.84359492,657
"2022","1",2,"40-59",2946845.85120616,632
"2022","1",2,"60-79",1700240.66185874,381
"2022","1",2,"80+",205097.661532377,59
"2022","2",1,"20-39",5534619.37636312,519
"2022","2",1,"40-59",4514138.71924409,517
"2022","2",1,"60-79",1858638.26579185,243
"2022","2",1,"80+",225033.788852148,31
"2022","2",2,"20-39",5629194.49688095,818
"2022","2",2,"40-59",4550351.73281996,781
"2022","2",2,"60-79",2012667.58645814,390
"2022","2",2,"80+",336735.388025285,53
"2022","3",1,"20-39",9211606.37447699,920
"2022","3",1,"40-59",7462843.67464915,899
"2022","3",1,"60-79",3547819.65290081,441
"2022","3",1,"80+",294471.350372363,35
"2022","3",2,"20-39",9499306.39336295,1179
"2022","3",2,"40-59",7586478.57271227,1223
"2022","3",2,"60-79",4692982.84918492,792
"2022","3",2,"80+",526933.48827148,82
"2023","1",1,"20-39",3807523.67131271,251
"2023","1",1,"40-59",2492828.94322453,252
"2023","1",1,"60-79",1616018.08840947,156
"2023","1",1,"80+",250092.124892241,28
"2023","1",2,"20-39",3852548.04422308,354
"2023","1",2,"40-59",3092585.85116932,386
"2023","1",2,"60-79",1505926.32251801,212
"2023","1",2,"80+",196454.807070841,29
"2023","2",1,"20-39",5980712.92745102,367
"2023","2",1,"40-59",3886733.89539747,330
"2023","2",1,"60-79",2266520.64801382,185
"2023","2",1,"80+",335966.710605337,21
"2023","2",2,"20-39",6032716.20262044,521
"2023","2",2,"40-59",4243968.50312896,538
"2023","2",2,"60-79",1883103.23088573,269
"2023","2",2,"80+",201632.791759717,29
"2023","3",1,"20-39",9287115.23484226,443
"2023","3",1,"40-59",6776369.08324423,413
"2023","3",1,"60-79",4142087.19894257,258
"2023","3",1,"80+",254006.823968762,19
"2023","3",2,"20-39",9563613.65541964,590
"2023","3",2,"40-59",8623672.64284908,659
"2023","3",2,"60-79",4168242.49680215,339
"2023","3",2,"80+",590501.064665448,48
"2024","1",1,"20-39",3889674.50905219,438
"2024","1",1,"40-59",2747255.81913195,546
"2024","1",1,"60-79",1584897.27420065,311
"2024","1",1,"80+",314939.497044745,57
"2024","1",2,"20-39",3358081.23125968,674
"2024","1",2,"40-59",2803864.73665782,682
"2024","1",2,"60-79",1435159.82964613,378
"2024","1",2,"80+",301582.174430073,63
"2024","2",1,"20-39",5350445.27902002,597
"2024","2",1,"40-59",4009771.52088501,592
"2024","2",1,"60-79",2002537.95863479,336
"2024","2",1,"80+",302786.599239158,55
"2024","2",2,"20-39",6022857.25225859,930
"2024","2",2,"40-59",4476245.53103798,864
"2024","2",2,"60-79",2147373.65451343,466
"2024","2",2,"80+",304918.761557302,54
"2024","3",1,"20-39",9169420.11855201,973
"2024","3",1,"40-59",6685009.27350199,899
"2024","3",1,"60-79",3699298.12989096,520
"2024","3",1,"80+",559683.717575157,68
"2024","3",2,"20-39",9911922.98856788,1232
"2024","3",2,"40-59",7538484.06539216,1245
"2024","3",2,"60-79",4267977.33701629,731
"2024","3",2,"80+",665265.248414161,87
