"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
1,0.767059170114072,0.41239445436154,-35.4664715752532,"01","005","Jesús María"
3,0.790018203874288,0.587690201755162,-20.2328002119126,"01","001","Aguascalientes"
4,0.58361486028286,0.31615319829095,-26.7461661991909,"01","004","Cosío"
6,0.703513479893499,0.456335742594317,-24.7177737299183,"01","006","Pabellón de Arteaga"
9,0.650642916712166,0.454030863788718,-19.6612052923448,"01","002","Asientos"
10,0.687787841327814,0.491963935863352,-19.5823905464461,"01","009","Tepezalá"
12,0.710645349990641,0.483281531230609,-22.7363818760031,"02","003","Tecate"
13,0.619415402877125,0.414170368121147,-20.5245034755978,"02","004","Tijuana"
14,0.64220024808652,0.377847724859727,-26.4352523226793,"02","001","Ensenada"
15,0.647018460385757,0.392436319799442,-25.4582140586315,"02","006","San Quintín"
17,0.611003605942233,0.394772526212421,-21.6231079729812,"02","002","Mexicali"
18,0.716977613901307,0.521801198128831,-19.5176415772476,"02","005","Playas de Rosarito"
19,0.608178149514342,0.360814727834545,-24.7363421679797,"03","002","Mulegé"
21,0.624437089524677,0.385900291722708,-23.853679780197,"03","008","Los Cabos"
22,0.695922469199266,0.477090323300636,-21.883214589863,"03","003","La Paz"
23,0.757119103664101,0.543416408507637,-21.3702695156463,"03","001","Comondú"
24,0.714044083623739,0.487783750552824,-22.6260333070916,"04","003","Carmen"
25,0.709121919125403,0.537436241039765,-17.1685678085638,"04","007","Palizada"
28,0.55058174940799,0.307668441577867,-24.2913307830123,"04","004","Champotón"
29,0.624020838374188,0.50161236598439,-12.2408472389798,"04","011","Candelaria"
31,0.638061574093617,0.460961687506817,-17.70998865868,"04","002","Campeche"
32,0.449212438182736,0.249555726630041,-19.9656711552695,"04","006","Hopelchén"
33,0.590390461337412,0.328851370532501,-26.153909080491,"04","001","Calkiní"
35,0.619364601399361,0.334697345875195,-28.4667255524166,"04","009","Escárcega"
36,0.521116214088989,0.32479672402305,-19.631949006594,"04","008","Tenabo"
38,0.698401228061065,0.441526842780802,-25.6874385280263,"05","017","Matamoros"
39,0.777121871158581,0.547613887931816,-22.9507983226765,"05","018","Monclova"
41,0.684981774841244,0.436512445564237,-24.8469329277007,"05","035","Torreón"
45,0.651787017654248,0.428784688798967,-22.3002328855281,"05","024","Parras"
46,0.66434982813084,0.419901459012282,-24.4448369118558,"05","026","Progreso"
47,0.574009854519652,0.300000223403429,-27.4009631116223,"05","027","Ramos Arizpe"
48,0.729140364406289,0.538371209272381,-19.0769155133908,"05","025","Piedras Negras"
50,0.656238106646002,0.42684668401819,-22.9391422627812,"05","030","Saltillo"
54,0.598342095180011,0.362949876084916,-23.5392219095095,"05","002","Acuña"
56,0.6776797716,0.48009981326813,-19.757995833187,"05","033","San Pedro"
70,0.535848551394868,0.294947738227726,-24.0900813167142,"05","038","Zaragoza"
76,0.729074267484535,0.385512823396008,-34.3561444088526,"06","002","Colima"
77,0.726902797440258,0.568604510644999,-15.8298286795258,"06","005","Cuauhtémoc"
78,0.708849714343003,0.522707168104181,-18.6142546238822,"06","008","Minatitlán"
79,0.713985326660999,0.477517974007255,-23.6467352653744,"06","001","Armería"
80,0.619974546644576,0.417445648020546,-20.2528898624031,"06","004","Coquimatlán"
81,0.669054504882551,0.429850071142341,-23.920443374021,"06","010","Villa de Álvarez"
82,0.661926079762041,0.467581112021387,-19.4344967740653,"06","003","Comala"
83,0.721618354567582,0.443367875118139,-27.8250479449443,"06","007","Manzanillo"
84,0.714769587822758,0.464653732861754,-25.0115854961004,"06","009","Tecomán"
85,0.634568830675084,0.422448865103896,-21.2119965571188,"07","019","Comitán de Domínguez"
87,0.563283573591174,0.382161753375165,-18.1121820216009,"07","020","La Concordia"
91,0.498893753074535,0.272820104987176,-22.6073648087359,"07","108","Villaflores"
92,0.548069925889367,0.344602819612458,-20.3467106276909,"07","107","Villa Corzo"
95,0.673222929449296,0.410679031584945,-26.2543897864352,"07","103","Tuzantán"
97,0.644228021666917,0.497479240118986,-14.674878154793,"07","101","Tuxtla Gutiérrez"
101,0.545719837872638,0.413641293765814,-13.2078544106824,"07","057","Motozintla"
105,0.604405391435721,0.439811678476676,-16.4593712959045,"07","076","Sabanilla"
109,0.569261407671042,0.357942858761231,-21.1318548909811,"07","051","Mapastepec"
113,0.447027302908403,0.272625312986242,-17.4401989922161,"07","022","Chalchihuitán"
127,0.50842607445114,0.307716721100638,-20.0709353350502,"07","052","Las Margaritas"
129,0.667830044467445,0.485370714318555,-18.245933014889,"07","083","Socoltenango"
131,0.519724643734746,0.356359377991374,-16.3365265743372,"07","089","Tapachula"
133,0.746360565833012,0.523201117276285,-22.3159448556727,"07","027","Chiapa de Corzo"
135,0.542630554230098,0.376032342215932,-16.6598212014166,"07","046","Jiquipilas"
146,0.410979664292214,0.219486099193205,-19.1493565099008,"07","008","Ángel Albino Corzo"
148,0.646294569625692,0.457584066604646,-18.8710503021046,"07","031","Chilón"
154,0.616241132840642,0.343850216044247,-27.2390916796395,"07","058","Nicolás Ruíz"
156,0.552769057072335,0.358975409661003,-19.3793647411332,"07","040","Huixtla"
158,0.564906611736038,0.308427376188318,-25.6479235547719,"07","039","Huitiupán"
159,0.493832914318475,0.318215911947526,-17.5617002370948,"07","099","La Trinitaria"
179,0.641411556539295,0.435002122595314,-20.6409433943981,"07","013","Bochil"
182,0.699787744831484,0.503397975776293,-19.6389769055191,"07","094","Teopisca"
188,0.693275149276622,0.466209345928021,-22.70658033486,"07","078","San Cristóbal de las Casas"
