"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
1,0.700853447638166,0.405144299978062,-29.5709147660103,"01","005","Jesús María"
3,0.718138534544649,0.492985085719218,-22.5153448825431,"01","001","Aguascalientes"
4,0.79550715945076,0.567535750301208,-22.7971409149552,"01","004","Cosío"
6,0.728929660873488,0.446433661615086,-28.2495999258402,"01","006","Pabellón de Arteaga"
9,0.68583766984247,0.49613346569968,-18.970420414279,"01","002","Asientos"
10,0.626574371137043,0.43883214157172,-18.7742229565323,"01","009","Tepezalá"
12,0.64366607235099,0.393567701192775,-25.0098371158216,"02","003","Tecate"
13,0.658981972409574,0.300409333075733,-35.8572639333841,"02","004","Tijuana"
14,0.565924825052092,0.322225504339291,-24.3699320712801,"02","001","Ensenada"
15,0.501630198747633,0.280825609705449,-22.0804589042185,"02","006","San Quintín"
17,0.600916478994095,0.33162621011498,-26.9290268879114,"02","002","Mexicali"
18,0.675381516822305,0.426019034509556,-24.9362482312748,"02","005","Playas de Rosarito"
19,0.560238695160169,0.280855607698284,-27.9383087461885,"03","002","Mulegé"
21,0.720527738964979,0.540926013345907,-17.9601725619072,"03","008","Los Cabos"
22,0.764968225945775,0.612168790293422,-15.2799435652353,"03","003","La Paz"
23,0.53071393410977,0.350346698266681,-18.036723584309,"03","001","Comondú"
24,0.529229559838281,0.269342753013659,-25.9886806824623,"04","003","Carmen"
25,0.632497585238672,0.420553308316232,-21.1944276922439,"04","007","Palizada"
28,0.555353199656027,0.315123270610857,-24.022992904517,"04","004","Champotón"
29,0.629081325542963,0.492945027454313,-13.613629808865,"04","011","Candelaria"
31,0.546072195771119,0.390356079254275,-15.5716116516845,"04","002","Campeche"
33,0.458817268776042,0.295202364716978,-16.3614904059064,"04","001","Calkiní"
35,0.492867034255518,0.311090970413568,-18.1776063841949,"04","009","Escárcega"
36,0.509714168410965,0.329966856835121,-17.9747311575844,"04","008","Tenabo"
38,0.69454910828142,0.440740774389173,-25.3808333892247,"05","017","Matamoros"
39,0.698663317743962,0.464281826648037,-23.4381491095924,"05","018","Monclova"
41,0.733586174650952,0.514576841633661,-21.9009333017291,"05","035","Torreón"
45,0.680813308273712,0.415017060760549,-26.5796247513163,"05","024","Parras"
46,0.560328439995255,0.307985691236885,-25.2342748758371,"05","026","Progreso"
47,0.675952325356585,0.370553392793751,-30.5398932562835,"05","027","Ramos Arizpe"
48,0.604049705715632,0.378155673356682,-22.5894032358949,"05","025","Piedras Negras"
50,0.758658063453295,0.449412435421332,-30.9245628031963,"05","030","Saltillo"
54,0.713391435630721,0.506475192611685,-20.6916243019036,"05","002","Acuña"
56,0.645445869441052,0.397145313580245,-24.8300555860807,"05","033","San Pedro"
70,0.613153592884093,0.314565560289824,-29.8588032594269,"05","038","Zaragoza"
