"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
1,0.763742487453196,0.712645554410499,3,-5.10969330426967,5,5,FALSE,"n<=9"
3,0.785289657937098,0.751858370624436,121,-3.34312873126613,5,5,FALSE,"n>=30"
4,0.464341174226757,0.53288234443203,3,6.85411702052738,1,1,FALSE,"n<=9"
6,0.503969158465364,0.566305031129432,9,6.23358726640688,1,1,FALSE,"n<=9"
9,0.641081598062581,0.622644035203128,10,-1.84375628594535,3,2,TRUE,"n=10-29"
10,0.725871116424897,0.653803252378337,24,-7.20678640465601,4,3,TRUE,"n=10-29"
12,0.671634278673226,0.63894290139076,8,-3.26913772824665,3,3,FALSE,"n<=9"
13,0.768356112336904,0.620504968209946,65,-14.7851144126958,5,2,TRUE,"n>=30"
14,0.617098134243013,0.62876734117899,18,1.16692069359773,2,3,TRUE,"n=10-29"
15,0.442007349196257,0.503031770950807,4,6.10244217545498,1,1,FALSE,"n<=9"
17,0.527631143738618,0.572735603237629,46,4.51044594990109,1,2,TRUE,"n>=30"
18,0.729517701264858,0.721485139267586,7,-0.80325619972722,4,5,TRUE,"n<=9"
19,0.565085339828105,0.566694736074825,13,0.160939624672007,2,1,TRUE,"n=10-29"
21,0.561096072213159,0.605477773911844,56,4.43817016986849,2,2,FALSE,"n>=30"
22,0.64293595979223,0.677909882450709,89,3.49739226584789,3,4,TRUE,"n>=30"
23,0.769160021583541,0.713523774918518,46,-5.56362466650232,5,5,FALSE,"n>=30"
24,0.669436382329299,0.638164518661302,45,-3.12718636679972,3,3,FALSE,"n>=30"
25,0.734446045976721,0.692090646088932,4,-4.23553998877888,4,4,FALSE,"n<=9"
28,0.469746442276293,0.516980420906545,17,4.72339786302519,1,1,FALSE,"n=10-29"
29,0.55787631248749,0.585687594881451,8,2.78112823939611,2,2,FALSE,"n<=9"
30,0.727525982157117,0.709381259942994,3,-1.81447222141234,4,4,FALSE,"n<=9"
31,0.628246834987093,0.595517331487108,89,-3.2729503499985,3,2,TRUE,"n>=30"
32,0.471182915417606,0.550267042554759,3,7.90841271371532,1,1,FALSE,"n<=9"
33,0.505638091894396,0.566957287461073,14,6.13191955666774,1,1,FALSE,"n=10-29"
35,0.727631073252534,0.636402677021227,12,-9.12283962313073,4,3,TRUE,"n=10-29"
36,0.415043334917295,0.503497722268736,7,8.84543873514408,1,1,FALSE,"n<=9"
38,0.57548905733046,0.625357100741111,23,4.98680434106509,2,2,FALSE,"n=10-29"
39,0.633410096128651,0.698912692144167,7,6.55025960155166,3,4,TRUE,"n<=9"
41,0.638151795655782,0.641799540062029,37,0.364774440624649,3,3,FALSE,"n>=30"
45,0.672469728317079,0.627930706841663,10,-4.45390214754159,3,3,FALSE,"n=10-29"
46,0.631971760502885,0.640274280476056,1,0.830251997317066,3,3,FALSE,"n<=9"
47,0.573611496391267,0.524371240854747,8,-4.92402555365193,2,1,TRUE,"n<=9"
48,0.755935007050848,0.725791857468205,5,-3.0143149582643,5,5,FALSE,"n<=9"
50,0.556035499851981,0.594270651745771,35,3.82351518937908,2,2,FALSE,"n>=30"
54,0.578841023566974,0.611449956989726,13,3.26089334227521,2,2,FALSE,"n=10-29"
56,0.630451163760011,0.668722732619402,9,3.82715688593908,3,4,TRUE,"n<=9"
70,0.461068308348877,0.532795842244475,6,7.17275338955976,1,1,FALSE,"n<=9"
76,0.711246426107024,0.700850888640508,13,-1.03955374665154,4,4,FALSE,"n=10-29"
77,0.704123562624065,0.718499044663753,3,1.43754820396875,4,5,TRUE,"n<=9"
78,0.6726640825185,0.678632837197865,2,0.59687546793652,3,4,TRUE,"n<=9"
79,0.697150310799761,0.71081123398967,4,1.36609231899084,4,5,TRUE,"n<=9"
80,0.659516242280061,0.627658478916312,1,-3.18577633637485,3,3,FALSE,"n<=9"
81,0.511087074393421,0.678367358205672,24,16.7280283812252,1,4,TRUE,"n=10-29"
82,0.681947807075394,0.646200834532937,16,-3.57469725424575,3,3,FALSE,"n=10-29"
83,0.719011955468251,0.683316525323916,32,-3.56954301443347,4,4,FALSE,"n>=30"
84,0.648825511310656,0.699452567660883,28,5.06270563502274,3,4,TRUE,"n=10-29"
85,0.586987449336363,0.646606585637822,7,5.96191363014591,2,3,TRUE,"n<=9"
87,0.595397737323482,0.564347867626173,4,-3.10498696973085,2,1,TRUE,"n<=9"
91,0.401674251883526,0.46747676981846,5,6.58025179349338,1,1,FALSE,"n<=9"
92,0.493462264398925,0.562087013507421,8,6.86247491084954,1,1,FALSE,"n<=9"
95,0.722779050207869,0.643061133932949,8,-7.97179162749202,4,3,TRUE,"n<=9"
97,0.641930868977538,0.622081191701917,14,-1.98496772756218,3,2,TRUE,"n=10-29"
101,0.414095893807871,0.530649972473586,7,11.6554078665715,1,1,FALSE,"n<=9"
105,0.688351248752758,0.658675791779576,1,-2.96754569731825,4,3,TRUE,"n<=9"
109,0.53116266652699,0.562685850074227,7,3.15231835472373,1,1,FALSE,"n<=9"
113,0.439923609097074,0.518070230230566,2,7.8146621133492,1,1,FALSE,"n<=9"
127,0.469501602669042,0.494375295995449,8,2.48736933264066,1,1,FALSE,"n<=9"
129,0.719278345646388,0.684737469894423,2,-3.45408757519646,4,4,FALSE,"n<=9"
131,0.545649309209165,0.527577630181815,5,-1.80716790273497,1,1,FALSE,"n<=9"
133,0.754207826081025,0.684742991716957,4,-6.94648343640676,5,4,TRUE,"n<=9"
135,0.459773636815406,0.484948727553054,3,2.51750907376487,1,1,FALSE,"n<=9"
146,0.315481198928833,0.409401760583482,6,9.3920561654649,1,1,FALSE,"n<=9"
148,0.75551370146834,0.713632988017396,9,-4.18807134509439,5,5,FALSE,"n<=9"
154,0.692621305973821,0.674531093831636,1,-1.80902121421846,4,4,FALSE,"n<=9"
156,0.483275678030112,0.511831663849628,8,2.85559858195157,1,1,FALSE,"n<=9"
158,0.599198409572676,0.587914295609899,11,-1.12841139627766,2,2,FALSE,"n=10-29"
159,0.48626020629745,0.502718392993174,14,1.64581866957244,1,1,FALSE,"n=10-29"
179,0.664095135327715,0.66468296262931,6,0.0587827301595012,3,3,FALSE,"n<=9"
182,0.783793600511109,0.713611591954288,7,-7.01820085568213,5,5,FALSE,"n<=9"
188,0.72559326900227,0.693777978836917,7,-3.18152901653529,4,4,FALSE,"n<=9"
191,0.685316111346565,0.709664569711124,4,2.43484583645589,4,5,TRUE,"n<=9"
199,0.647069576524083,0.659794723812771,3,1.27251472886881,3,3,FALSE,"n<=9"
201,0.552965078282644,0.56475190699528,4,1.17868287126356,2,1,TRUE,"n<=9"
221,0.612827547407577,0.559392829002648,21,-5.34347184049291,2,1,TRUE,"n=10-29"
222,0.697747983512345,0.7224991743663,3,2.47511908539547,4,5,TRUE,"n<=9"
223,0.436459878269083,0.504157415433725,1,6.76975371646425,1,1,FALSE,"n<=9"
224,0.55465747087551,0.646940289761745,3,9.22828188862344,2,3,TRUE,"n<=9"
225,0.513411073378264,0.500881334247374,4,-1.25297391308893,1,1,FALSE,"n<=9"
229,0.679783006448309,0.719892497346558,20,4.01094908982484,3,5,TRUE,"n=10-29"
231,0.734746667147589,0.675316365487053,7,-5.94303016605356,4,4,FALSE,"n<=9"
234,0.574016457906998,0.647070778499019,6,7.30543205920215,2,3,TRUE,"n<=9"
235,0.699672803100265,0.712461120054038,1,1.27883169537721,4,5,TRUE,"n<=9"
237,0.660156780398543,0.697484648185507,15,3.73278677869642,3,4,TRUE,"n=10-29"
241,0.839940674396649,0.834670310601491,1,-0.527036379515877,5,5,FALSE,"n<=9"
242,0.619532577168422,0.611049389010898,2,-0.848318815752369,2,2,FALSE,"n<=9"
244,0.794983804327857,0.739181632905376,9,-5.58021714224813,5,5,FALSE,"n<=9"
259,0.639764657264788,0.692145304104449,57,5.23806468396606,3,4,TRUE,"n>=30"
260,0.496706359256158,0.543639930409196,7,4.69335711530384,1,1,FALSE,"n<=9"
262,0.704263233644442,0.716047045552751,69,1.17838119083092,4,5,TRUE,"n>=30"
273,0.829208008846486,0.787333680919974,10,-4.18743279265118,5,5,FALSE,"n=10-29"
275,0.668474345757843,0.658519676132206,13,-0.995466962563618,3,3,FALSE,"n=10-29"
276,0.738900627636934,0.608036267483878,41,-13.0864360153056,5,2,TRUE,"n>=30"
277,0.769867547071479,0.649527790932773,15,-12.0339756138706,5,3,TRUE,"n=10-29"
278,0.775055507095001,0.710524156768671,16,-6.45313503263295,5,5,FALSE,"n=10-29"
279,0.813352132158214,0.697326342207972,138,-11.6025789950243,5,4,TRUE,"n>=30"
280,0.798285993582538,0.748538217277758,22,-4.97477763047798,5,5,FALSE,"n=10-29"
281,0.718026457022895,0.738737617470217,40,2.07111604473218,4,5,TRUE,"n>=30"
282,0.814603812389746,0.768589158778786,17,-4.60146536109605,5,5,FALSE,"n=10-29"
283,0.708569700191225,0.685925637568405,13,-2.26440626228205,4,4,FALSE,"n=10-29"
284,0.785904014147541,0.766648846288519,3,-1.92551678590218,5,5,FALSE,"n<=9"
285,0.750627347533072,0.684956972894459,34,-6.5670374638613,5,4,TRUE,"n>=30"
286,0.832010790639385,0.707198389457705,21,-12.481240118168,5,4,TRUE,"n=10-29"
287,0.524763018381704,0.559689715990871,28,3.49266976091677,1,1,FALSE,"n=10-29"
288,0.632389608380906,0.723106646014223,72,9.0717037633317,3,5,TRUE,"n>=30"
289,0.845849193361807,0.792738832856259,22,-5.3110360505548,5,5,FALSE,"n=10-29"
290,0.543641947244634,0.624287688313552,36,8.0645741068918,1,2,TRUE,"n>=30"
291,0.615888394156696,0.698802661587906,9,8.29142674312104,2,4,TRUE,"n<=9"
