"muni_idx","n","prev_sin","prev_con","dif_pp","quintil_sin","quintil_con","cambia_quintil"
1,2,0.813611451559245,0.825756339499689,1.21448879404438,2,3,TRUE
3,100,0.87175051730573,0.859973619688508,-1.17768976172213,4,3,TRUE
4,1,0.792566177282546,0.757966357202368,-3.4599820080177,2,2,FALSE
6,6,0.8764648225821,0.90701381002806,3.05489874459596,4,5,TRUE
9,7,0.800766651947854,0.844350104801626,4.35834528537722,2,3,TRUE
10,18,0.852831401658352,0.906231397273423,5.3399995615071,3,5,TRUE
12,7,0.918684142536704,0.953084268511388,3.44001259746833,5,5,FALSE
13,39,0.860781796785213,0.932416337154494,7.1634540369281,4,5,TRUE
14,10,0.904474434192584,0.942044459086863,3.75700248942782,5,5,FALSE
15,2,0.956602102693193,0.968433028106047,1.18309254128532,5,5,FALSE
17,28,0.912645978094099,0.949849848196944,3.72038701028443,5,5,FALSE
18,6,0.883757455095754,0.868897985451909,-1.48594696438447,4,4,FALSE
19,7,0.853637285837884,0.871274271211432,1.76369853735474,3,4,TRUE
21,34,0.800888851427324,0.790936347339097,-0.99525040882269,2,2,FALSE
22,62,0.90373172000364,0.889437825862244,-1.42938941413955,5,4,TRUE
23,39,0.90819393309863,0.942201336734203,3.40074036355723,5,5,FALSE
24,35,0.828133901942327,0.865766967461578,3.76330655192514,3,4,TRUE
25,3,0.824130943917753,0.853443391675194,2.93124477574409,3,3,FALSE
28,8,0.888579682418763,0.912032466771311,2.34527843525481,4,5,TRUE
29,6,0.908492064750745,0.90971055667164,0.121849192089474,5,5,FALSE
30,2,0.853226619567215,0.78151461445873,-7.17120051084847,3,2,TRUE
31,56,0.874786375692068,0.882054653032688,0.726827734062063,4,4,FALSE
33,6,0.926052111826619,0.926265999251966,0.021388742534767,5,5,FALSE
35,10,0.754933897312589,0.771303578358837,1.63696810462484,1,2,TRUE
36,2,0.86442048432808,0.890342420066045,2.59219357379651,4,4,FALSE
38,18,0.878882043578033,0.886927866934335,0.804582335630155,4,4,FALSE
39,6,0.948373114453214,0.953447146533579,0.507403208036528,5,5,FALSE
41,25,0.894450174418175,0.932668178168264,3.82180037500893,5,5,FALSE
45,7,0.84441051241743,0.878731796119261,3.43212837018311,3,4,TRUE
46,1,0.952763468866147,0.954211613436874,0.144814457072706,5,5,FALSE
47,7,0.672188874790036,0.667498535277788,-0.469033951224784,1,1,FALSE
48,5,0.81599038612988,0.745903583521189,-7.00868026086914,2,2,FALSE
50,21,0.83771218931077,0.84428680854374,0.65746192329702,3,3,FALSE
54,7,0.740954570727673,0.710331898650064,-3.06226720776088,1,1,FALSE
56,4,0.854735294735487,0.843732622011437,-1.10026727240495,3,3,FALSE
70,2,0.792647662851245,0.808942776702062,1.62951138508175,2,2,FALSE
76,11,0.830653824370934,0.812454823379905,-1.81990009910286,3,2,TRUE
77,2,0.946772961455779,0.945665256992613,-0.110770446316644,5,5,FALSE
78,1,0.954923274996404,0.953403938435909,-0.151933656049452,5,5,FALSE
79,3,0.832497507384688,0.818774087311963,-1.37234200727248,3,3,FALSE
80,1,0.766620066663527,0.777016051508064,1.03959848445372,2,2,FALSE
81,14,0.847989189769528,0.845830834952009,-0.215835481751869,3,3,FALSE
82,12,0.895079700965801,0.907272252661774,1.21925516959727,5,5,FALSE
83,24,0.875961255310289,0.916777591221083,4.08163359107933,4,5,TRUE
84,20,0.844871094923389,0.837450151131349,-0.742094379204006,3,3,FALSE
