"Sección","Ítem","Recomendación","Ubicación.en.el.manuscrito"
"Título y resumen","1a","Indique el diseño del estudio con un término de uso común en el título o el resumen.","Resumen (Materiales y métodos): ""Estudio transversal, análisis secundario de la ENSANUT Continua 2021-2024"""
"Título y resumen","1b","Proporcione en el resumen un resumen informativo y equilibrado de lo que se hizo y se encontró.","Resumen (español) y Abstract (inglés), estructurados en Objetivos/Materiales y métodos/Resultados/Conclusiones"
"Introducción","2","Explique los antecedentes científicos y la justificación de la investigación.","Introducción, párrafos 1-4 (vacío de conocimiento, antecedente INEGI, cascada nacional-estatal ya documentada)"
"Introducción","3","Indique los objetivos específicos, incluida cualquier hipótesis preespecificada.","Introducción, párrafo final"
"Métodos","4","Presente los elementos clave del diseño del estudio al inicio del artículo.","Materiales y métodos > Diseño y fuente de datos"
"Métodos","5","Describa el entorno, las ubicaciones y las fechas relevantes, incluidos los períodos de reclutamiento, exposición y recolección de datos.","Materiales y métodos > Diseño y fuente de datos (ENSANUT Continua 2021-2024, México)"
"Métodos","6a","Indique los criterios de elegibilidad y las fuentes y métodos de selección de los participantes.","Materiales y métodos > Diseño muestral complejo; Figura 1 (flujo STROBE)"
"Métodos","7","Defina claramente todos los desenlaces, exposiciones, predictores, posibles factores de confusión y modificadores de efecto. Indique los criterios diagnósticos, si corresponde.","Materiales y métodos > Definición operacional de la cascada; Covariables"
"Métodos","8*","Para cada variable de interés, indique las fuentes de datos y los detalles de los métodos de medición.","Materiales y métodos > Diseño y fuente de datos (metodología de la ENSANUT)"
"Métodos","9","Describa los esfuerzos realizados para abordar posibles fuentes de sesgo.","Discusión > Limitaciones (submuestra con presión arterial medida, 43,5% de los entrevistados); Materiales y métodos > Diseño muestral complejo (calibración del ponderador); Tabla S2, panel A (validación de la calibración contra el ponderador publicado para 2023)"
"Métodos","10","Explique cómo se determinó el tamaño del estudio.","Materiales y métodos > Diseño y fuente de datos; Resultados > Muestra (n=25 088)"
"Métodos","11","Explique cómo se manejaron las variables cuantitativas en los análisis; si corresponde, describa qué agrupaciones se eligieron y por qué.","Materiales y métodos > Covariables; Modelo estadístico"
"Métodos","12a","Describa todos los métodos estadísticos, incluidos los usados para controlar la confusión.","Materiales y métodos > Modelo estadístico (BYM2 vía INLA)"
"Métodos","12b","Describa cualquier método usado para examinar subgrupos e interacciones.","No aplica — no se examinaron subgrupos por interacción en el modelo principal (declarado como alcance del estudio)"
"Métodos","12c","Explique cómo se abordaron los datos faltantes.","Resultados > Muestra y Figura 1 (exclusión de presión arterial no válida, embarazo y ponderador faltante, cada una con su n); Materiales y métodos > Covariables (definición del nivel 'sin escolaridad')"
"Métodos","12d","Si corresponde, describa los métodos analíticos que tienen en cuenta la estrategia de muestreo.","Materiales y métodos > Diseño muestral complejo; Modelo estadístico (pseudo-verosimilitud con ponderador calibrado normalizado dentro de municipio)"
"Métodos","12e","Describa cualquier análisis de sensibilidad.","Materiales y métodos > Reclasificación y validación (sensibilidad a la matriz de vecindad y modelo sin ponderar); Tabla S2, panel B (ponderado frente a sin ponderar); Figura S1 (validación cruzada)"
"Resultados","13a","Reporte el número de individuos en cada etapa del estudio (elegibles, examinados, incluidos, analizados); considere un diagrama de flujo.","Figura 1 (diagrama de flujo STROBE completo)"
"Resultados","13b","Indique las razones de la no participación en cada etapa.","Figura 1 (cada exclusión con su n)"
"Resultados","13c","Considere el uso de un diagrama de flujo.","Figura 1"
"Resultados","14a","Dé las características de los participantes del estudio (demográficas, clínicas, sociales) e información sobre exposiciones y posibles factores de confusión.","Resultados > Muestra; Cuadro I"
"Resultados","14b","Indique el número de participantes con datos faltantes para cada variable de interés.","Resultados > Muestra; Figura 1 (flujo con el n de cada exclusión); Cuadro I"
"Resultados","15*","Reporte el número de eventos del desenlace o medidas resumen.","Resultados > Prevalencia nacional y comparación con literatura"
"Resultados","16a","Dé estimaciones no ajustadas y, si corresponde, ajustadas por factores de confusión, con su precisión (ej. intervalo de confianza/credibilidad del 95%).","Resultados > Modelos municipales; Figura 2; Cuadro II (IC95%/credibilidad)"
"Resultados","16b","Reporte los límites de categoría cuando las variables continuas fueron categorizadas.","Materiales y métodos > Definición operacional de la cascada (umbrales ESH/ACC-AHA)"
"Resultados","17","Reporte otros análisis realizados (subgrupos, interacciones, análisis de sensibilidad).","Resultados > Reclasificación ESH vs. ACC/AHA; Validación cruzada; Figura 3; Figura S1; Tabla S2"
"Discusión","18","Resuma los resultados clave en relación con los objetivos del estudio.","Discusión, primer párrafo"
"Discusión","19","Discuta las limitaciones del estudio, considerando fuentes de sesgo o imprecisión potenciales.","Discusión > Limitaciones"
"Discusión","20","Dé una interpretación general cautelosa de los resultados considerando objetivos, limitaciones, multiplicidad de análisis y evidencia de estudios similares.","Discusión (interpretación general, cierre de cada hallazgo)"
"Discusión","21","Discuta la generalizabilidad (validez externa) de los resultados del estudio.","Discusión > Limitaciones, punto sobre la especificidad del contexto mexicano y su aplicabilidad a otros sistemas de salud"
"Otra información","22","Indique la fuente de financiamiento y el papel de los financiadores en el presente estudio.","Primera página (Financiamiento: ""no se recibió financiamiento específico"")"
