"cve_ent","cve_mun","nomgeo","altitud_media_msnm","altitud_min_msnm","altitud_max_msnm","n_pixeles_dem"
"01","005","Jesús María",2059.7,1856,2598,711
"01","008","San José de Gracia",2355.3,1944,2938,1008
"01","001","Aguascalientes",1925.6,1768,2292,1481
"01","004","Cosío",2018.6,1930,2284,164
"01","011","San Francisco de los Romo",1951.3,1877,2056,180
"01","006","Pabellón de Arteaga",1970.9,1883,2280,244
"01","003","Calvillo",2032.9,1538,2784,1196
"01","010","El Llano",2053,1951,2468,651
"01","002","Asientos",2064.7,1942,2443,696
"01","009","Tepezalá",2039.6,1904,2391,305
"01","007","Rincón de Romos",2066.9,1905,2444,469
"02","003","Tecate",945.7,121,1535,3942
"02","004","Tijuana",347.5,18,1083,1450
"02","001","Ensenada",889.6,-4,2838,18425
"02","006","San Quintín",471.9,-10,2374,45187
"02","007","San Felipe",450.9,-6,2837,14836
"02","002","Mexicali",130.6,-14,1671,13639
"02","005","Playas de Rosarito",256.9,0,684,689
"03","002","Mulegé",252.1,-11,1838,39882
"03","009","Loreto",361.4,-202,1563,5745
"03","008","Los Cabos",323.2,0,1694,4499
"03","003","La Paz",254.2,-13,2020,19529
"03","001","Comondú",182.7,-10,942,22661
"04","003","Carmen",8.1,-8,84,8323
"04","007","Palizada",3.6,-4,19,2672
"04","013","Dzitbalché",46.9,7,117,463
"04","005","Hecelchakán",44.6,-2,143,1582
"04","004","Champotón",54.9,-6,223,8099
"04","011","Candelaria",69.9,8,202,6957
"04","012","Seybaplaya",23.4,-3,94,339
"04","002","Campeche",54.6,-3,194,4012
"04","006","Hopelchén",132.6,53,276,9627
"04","001","Calkiní",8.7,-2,75,2097
"04","010","Calakmul",216.5,43,385,17214
"04","009","Escárcega",85.5,15,236,5898
"04","008","Tenabo",32.2,-8,114,1314
"05","005","Candela",669.7,298,1964,2775
"05","017","Matamoros",1133.7,1104,1547,1028
"05","018","Monclova",717.9,454,2103,1643
"05","014","Jiménez",345.2,235,524,2923
"05","035","Torreón",1525.2,1111,2923,1653
"05","013","Hidalgo",198.4,143,276,1463
"05","015","Juárez",305.4,226,550,3237
"05","020","Múzquiz",965,380,2108,10998
"05","024","Parras",1444.5,1021,2814,13731
"05","026","Progreso",396.8,224,1681,3777
"05","027","Ramos Arizpe",1271.3,722,2951,8754
"05","025","Piedras Negras",252.9,216,290,616
"05","028","Sabinas",404.6,302,577,2617
"05","030","Saltillo",1976.3,1292,3339,7242
"05","031","San Buenaventura",1139.3,444,2214,8489
"05","016","Lamadrid",1354,563,2157,893
"05","004","Arteaga",2338.8,1392,3575,2119
"05","002","Acuña",811.3,264,2526,15250
"05","032","San Juan de Sabinas",434.5,353,576,1032
"05","033","San Pedro",1170,819,2169,9281
"05","009","Francisco I. Madero",1270.8,1067,2230,3678
"05","012","Guerrero",266,167,479,3858
"05","006","Castaños",1116.8,703,2296,4335
"05","003","Allende",445.5,327,577,337
"05","023","Ocampo",1242.5,552,2849,34372
"05","008","Escobedo",513,348,1275,1359
"05","022","Nava",289.9,202,348,1216
"05","019","Morelos",474.6,339,661,847
"05","007","Cuatro Ciénegas",1245.1,642,2800,13938
"05","034","Sierra Mojada",1298.6,1031,2337,10421
"05","037","Villa Unión",470.9,297,708,2443
"05","029","Sacramento",901.5,568,1615,388
"05","001","Abasolo",510,387,1708,970
"05","038","Zaragoza",683.5,243,1620,10584
"05","021","Nadadores",914.3,503,2075,949
"05","010","Frontera",624,458,1074,592
"05","011","General Cepeda",1441.8,1104,3215,3415
"05","036","Viesca",1361,1089,2352,5676
"06","006","Ixtlahuacán",365.6,24,1324,481
"06","002","Colima",499.9,77,1256,913
"06","005","Cuauhtémoc",978.7,471,2342,502
"06","008","Minatitlán",1157.7,406,2344,516
"06","001","Armería",199.7,-5,1163,516
"06","004","Coquimatlán",603.5,174,1725,616
"06","010","Villa de Álvarez",800.2,379,1744,368
"06","003","Comala",1144,464,3250,397
"06","007","Manzanillo",314.1,-12,1719,1669
"06","009","Tecomán",147.2,0,1221,1113
"07","019","Comitán de Domínguez",1782.8,617,2556,1175
"07","090","Tapalapa",1635.3,1019,2195,78
"07","020","La Concordia",848.5,507,2323,3130
"07","021","Copainalá",873,174,1653,438
"07","079","San Fernando",976.1,188,1547,441
"07","109","Yajalón",1266.3,375,2394,258
"07","108","Villaflores",870.2,409,2057,2314
"07","107","Villa Corzo",921.7,503,2386,2906
"07","106","Venustiano Carranza",721.5,416,2226,1662
"07","104","Tzimol",938,520,1833,454
"07","103","Tuzantán",325.6,19,1320,222
"07","102","Tuxtla Chico",215.3,33,478,195
"07","101","Tuxtla Gutiérrez",733.9,393,1330,416
"07","120","Capitán Luis Ángel Vidal",1815.6,939,2709,279
"07","074","Reforma",34.8,12,65,550
"07","075","Las Rosas",1530.7,902,2273,286
"07","057","Motozintla",1646.6,455,2765,714
"07","007","Amatenango del Valle",2089.1,923,2538,190
"07","111","Zinacantán",1853.8,814,2517,234
"07","054","Mazatán",13.2,0,37,452
"07","076","Sabanilla",648.5,77,1540,304
"07","081","Simojovel",868.1,270,2079,387
"07","063","Osumacinta",854.2,368,1513,107
"07","110","San Lucas",970.2,470,1505,120
"07","051","Mapastepec",455.9,4,2561,1466
"07","070","El Porvenir",2424.3,1446,3001,107
"07","112","San Juan Cancuc",1231.4,525,2092,212
"07","050","La Libertad",32.4,-1,73,555
"07","022","Chalchihuitán",1263.9,313,2171,232
"07","053","Mazapa de Madero",1670.6,988,2715,121
"07","080","Siltepec",1838.4,668,2965,464
"07","049","Larráinzar",1917.9,878,2381,181
"07","065","Palenque",159.9,-4,783,3523
"07","086","Suchiapa",817.4,422,1300,344
"07","062","Ostuacán",213,43,873,730
"07","077","Salto de Agua",236.5,9,1046,1553
"07","082","Sitalá",968.5,475,1590,137
"07","024","Chanal",2109.8,1189,2617,498
"07","121","Rincón Chamula San Pedro",1872.3,1322,2402,102
"07","042","Ixhuatán",1075.9,480,1940,113
"07","025","Chapultenango",792.7,304,1582,224
"07","018","Coapilla",1373.8,496,2076,189
"07","052","Las Margaritas",1278.5,198,2458,3657
"07","026","Chenalhó",1513.9,549,2168,296
"07","083","Socoltenango",634.8,497,1372,768
"07","084","Solosuchiapa",596.6,124,1456,202
"07","089","Tapachula",419.7,0,2596,1145
"07","068","Pichucalco",170.3,15,1032,715
"07","027","Chiapa de Corzo",689.8,388,1635,934
"07","048","Juárez",46.3,7,244,913
"07","046","Jiquipilas",720.6,494,1753,1573
"07","105","Unión Juárez",1303.9,658,3272,71
"07","100","Tumbalá",749.8,61,1587,474
"07","045","Ixtapangajoya",361.7,31,761,140
"07","114","Benemérito de las Américas",156,113,243,1281
"07","028","Chiapilla",496.2,408,760,63
"07","029","Chicoasén",629.6,195,1206,135
"07","091","Tapilula",937.9,602,1313,44
"07","073","Rayón",1556.3,1025,2046,88
"07","030","Chicomuselo",869.5,544,2067,1206
"07","044","Ixtapa",1312.6,899,1957,355
"07","008","Ángel Albino Corzo",1154.7,589,2266,706
"07","009","Arriaga",248.4,1,1519,986
"07","031","Chilón",988.8,76,2105,2047
"07","043","Ixtacomitán",345.6,44,912,152
"07","017","Cintalapa de Figueroa",766.1,213,1625,2977
"07","119","Santiago el Pinar",1588.3,1111,2004,20
"07","116","Marqués de Comillas",166.4,119,222,1103
"07","060","Ocotepec",1418.5,767,1870,70
"07","058","Nicolás Ruíz",699.9,558,876,38
"07","041","La Independencia",1405.9,725,1761,606
"07","040","Huixtla",184.5,4,1374,468
"07","056","Mitontic",1995.8,1626,2278,48
"07","039","Huitiupán",710.2,146,1706,408
"07","099","La Trinitaria",1065.7,464,1855,1938
"07","097","Tonalá",281.1,-12,1977,1995
"07","096","Tila",726.2,21,1993,986
"07","118","San Andrés Duraznal",1308.4,499,2135,44
"07","122","El Parral",713.3,515,1294,474
"07","038","Huixtán",2116.8,1597,2567,387
"07","001","Acacoyagua",694.2,32,2298,308
"07","036","La Grandeza",2182.7,1619,2618,59
"07","002","Acala",542.3,405,1151,369
"07","003","Acapetahua",23,3,820,654
"07","011","Bella Vista",1514.4,620,2529,260
"07","012","Berriozábal",837.3,189,1191,434
"07","072","Pueblo Nuevo Solistahuacán",1360,467,2202,220
"07","037","Huehuetán",99.8,5,650,376
"07","023","Chamula",2277.9,1384,2775,409
"07","010","Bejucal de Ocampo",2044.1,784,2710,94
"07","004","Altamirano",1242.1,305,2045,1177
"07","005","Amatán",662.7,64,1786,395
"07","035","Frontera Hidalgo",47.8,22,85,125
"07","032","Escuintla",794.6,16,2264,503
"07","013","Bochil",1308.8,464,1994,447
"07","014","El Bosque",1125.6,503,1686,192
"07","069","Pijijiapan",303.7,0,2349,2131
"07","094","Teopisca",1859.1,955,2580,346
"07","092","Tecpatán",420.2,117,957,642
"07","015","Cacahoatán",1278.1,443,3744,216
"07","016","Catazajá",11.4,-11,57,755
"07","047","Jitotol",1550.7,782,2350,284
"07","006","Amatenango de la Frontera",1156.8,657,2238,303
"07","078","San Cristóbal de las Casas",2203,1044,2751,474
"07","033","Francisco León",610.7,252,1550,252
"07","117","Montecristo de Guerrero",1373.1,834,2607,242
"07","115","Maravilla Tenejapa",373,177,988,647
"07","071","Villa Comaltitlán",100,0,861,542
"07","066","Pantelhó",934.6,333,1803,235
"07","113","Aldama",1664.1,915,2121,25
"07","098","Totolapa",705.7,415,1155,212
"07","093","Tenejapa",1943.1,907,2481,241
"07","064","Oxchuc",1813,1048,2359,517
"07","059","Ocosingo",609.1,80,1917,11645
"07","061","Ocozocoautla de Espinosa",780.6,172,1671,2506
"07","088","Sunuapa",289.1,81,795,102
"07","087","Suchiate",15.8,5,41,283
"07","085","Soyaló",1174.1,475,1714,126
"07","124","Mezcalapa",249.6,81,703,910
"07","067","Pantepec",1487.6,899,2132,126
"07","125","Honduras de la Sierra",1544,871,2453,320
"07","055","Metapa",95.8,74,129,20
"07","123","Emiliano Zapata",581.7,402,837,268
"07","034","Frontera Comalapa",689.2,535,1428,930
"08","067","Valle de Zaragoza",1503.6,1298,1908,3881
"08","043","Matachí",2074.7,1884,2580,964
"08","058","San Francisco de Conchos",1349.1,1234,1509,1154
"08","056","Rosario",1680.7,1381,2628,1537
"08","054","Riva Palacio",2132.9,1686,2773,3023
"08","018","Cusihuiriachi",2101.1,1688,2623,2126
"08","007","Balleza",2266.3,1406,2940,7014
"08","001","Ahumada",1376.2,1169,2349,22839
"08","041","Maguarichi",2075.1,1015,2622,1313
"08","057","San Francisco de Borja",1892.5,1575,2514,1734
"08","053","Praxedis G. Guerrero",1194.4,1064,1695,498
"08","051","Ocampo",2046.3,604,2815,2390
"08","050","Nuevo Casas Grandes",1557.7,1314,2382,3519
"08","031","Guerrero",2249.3,1784,2998,7588
"08","055","Rosales",1351.4,1101,2202,2578
"08","025","Gómez Farías",2225.2,2130,2846,1152
"08","023","Galeana",1538.3,1336,2458,2348
"08","022","Dr. Belisario Domínguez",1731.2,1443,2287,1368
"08","014","Coronado",1621.3,1460,2035,2460
"08","003","Allende",1532.9,1352,1876,2789
"08","021","Delicias",1225.8,1151,1335,722
"08","020","Chínipas",1169.2,266,2319,2632
"08","017","Cuauhtémoc",2120.2,1909,2757,4784
"08","016","La Cruz",1325.1,1187,1691,1400
"08","015","Coyame del Sotol",1290.5,872,2185,15666
"08","052","Ojinaga",1194.6,753,1953,9015
"08","013","Casas Grandes",1899.3,1395,2651,5056
"08","012","Carichí",2221.4,1675,2958,3466
"08","011","Camargo",1437.8,1210,2288,18191
"08","010","Buenaventura",1562.3,1188,2762,10652
"08","009","Bocoyna",2379.7,1303,2850,3567
"08","008","Batopilas de Manuel Gómez Morín",1404.2,298,2274,2802
"08","006","Bachíniva",2138.1,1885,2849,1272
"08","004","Aquiles Serdán",1503,1183,2140,659
"08","005","Ascensión",1292.9,1168,2280,17535
"08","032","Hidalgo del Parral",1685,1387,2251,2517
"08","042","Manuel Benavides",1261.5,617,2282,6660
"08","040","Madera",1966.5,702,2763,11676
"08","039","López",1499.3,1403,1900,1760
"08","038","Julimes",1353.4,1074,2138,5446
"08","035","Janos",1590.5,1307,2586,10077
"08","034","Ignacio Zaragoza",2102.6,1484,2875,3845
"08","033","Huejotitán",1853.4,1485,2450,1135
"08","063","Temósachic",2064.4,1445,2829,5651
"08","061","Satevó",1617.9,1310,2339,4698
"08","062","Saucillo",1325.5,1131,1774,4006
"08","030","Guazapares",1456.3,249,2534,2400
"08","028","Guadalupe",1383.1,1015,2093,8099
"08","027","Guachochi",2229,463,2629,9129
"08","026","Gran Morelos",1817.3,1615,2199,664
"08","019","Chihuahua",1684.9,1236,2724,11160
"08","064","El Tule",1724.4,1503,2235,622
"08","024","Santa Isabel",1721.2,1494,2146,878
"08","037","Juárez",1250,1093,1782,4840
"08","059","San Francisco del Oro",2055.8,1740,2836,629
"08","066","Uruachi",1361.2,291,2712,3488
"08","065","Urique",1529.7,237,2519,4331
"08","060","Santa Bárbara",2016.8,1762,2763,446
"08","044","Matamoros",1766.6,1570,2290,1550
"08","045","Meoqui",1160,1116,1377,568
"08","046","Morelos",1462.6,373,2414,2837
"08","047","Moris",1358.4,515,2238,2393
"08","048","Namiquipa",2061.3,1668,2954,6499
"08","029","Guadalupe y Calvo",2021.9,305,3224,12494
"08","036","Jiménez",1420.1,1094,2180,14105
"08","049","Nonoava",1952.2,1464,2644,2599
"08","002","Aldama",1290.8,959,2105,12323
"09","012","Tlalpan",2953,2238,3785,384
