package,recorded_version
DBI,1.3.0
INLA,25.10.19
KernSmooth,2.23-26
Matrix,1.7-5
MatrixModels,0.5-4
R6,2.6.1
RColorBrewer,1.1-3
Rcpp,1.1.2
S7,0.2.2
askpass,1.2.1
bit,4.6.0
bit64,4.8.2
boot,1.3-32
cellranger,1.1.0
class,7.3-23
classInt,0.4-11
cli,3.6.6
compiler,4.6.0
crayon,1.5.3
deldir,2.0-4
digest,0.6.39
dplyr,1.2.1
e1071,1.7-17
farver,2.1.2
fastmap,1.2.0
fmesher,0.8.0
fontBitstreamVera,0.1.1
fontLiberation,0.1.0
fontquiver,0.2.1
forcats,1.0.1
gdtools,0.5.1
generics,0.1.4
ggplot2,4.0.3
ggspatial,1.1.10
glue,1.8.1
gtable,0.3.6
haven,2.5.5
hms,1.1.4
htmltools,0.5.9
jsonlite,2.0.0
labeling,0.4.3
lattice,0.22-9
lifecycle,1.0.5
magrittr,2.0.5
mitools,2.4
mnormt,2.1.2
numDeriv,2016.8-1.1
officer,0.7.6
openssl,2.4.2
parallel,4.6.0
patchwork,1.3.2
pillar,1.11.1
pkgconfig,2.0.3
proxy,0.4-29
purrr,1.2.2
ragg,1.5.2
readr,2.2.0
readxl,1.5.0
rlang,1.3.0
rvg,0.4.2
s2,1.1.11
scales,1.4.0
sf,1.1-2
sn,2.1.3
sp,2.2-3
spData,2.3.5
spdep,1.4-2
splines,4.6.0
stats4,4.6.0
survey,4.5
survival,3.8-6
svglite,2.2.2
systemfonts,1.3.2
textshaping,1.0.5
tibble,3.3.1
tidyr,1.3.2
tidyselect,1.2.1
tools,4.6.0
tzdb,0.5.0
units,1.0-1
utf8,1.2.6
uuid,1.2-2
vctrs,0.7.3
viridisLite,0.4.3
vroom,1.7.1
withr,3.0.3
wk,0.9.5
writexl,1.5.4
xml2,1.6.0
zip,3.0.2
