"muni_idx","prev","prev_q025","prev_q975","n_directo","fuente","suprimir_privacidad","ancho_ic95","cve_ent","cve_mun","nomgeo"
1,0.66964115755045,0.429759418623772,0.86257591020029,2,"muestra_directa",TRUE,0.432816491576518,"01","005","Jesús María"
2,0.66928231141863,0.398036843046016,0.870853605579541,NA,"sintetico_postestratificado",FALSE,0.472816762533525,"01","008","San José de Gracia"
3,0.673733528661511,0.582706837213958,0.761742119293894,100,"muestra_directa",FALSE,0.179035282079936,"01","001","Aguascalientes"
4,0.705097592152429,0.459726955607697,0.890104766802024,1,"muestra_directa",TRUE,0.430377811194327,"01","004","Cosío"
5,0.717500917683076,0.46369096102459,0.905605299608141,NA,"sintetico_postestratificado",FALSE,0.441914338583552,"01","011","San Francisco de los Romo"
6,0.764615484509846,0.561935906000259,0.91445046825898,6,"muestra_directa",TRUE,0.35251456225872,"01","006","Pabellón de Arteaga"
7,0.675420896784254,0.448569818370002,0.87079259057392,NA,"sintetico_postestratificado",FALSE,0.422222772203918,"01","003","Calvillo"
8,0.659574402120214,0.405509622388386,0.875465417967507,NA,"sintetico_postestratificado",FALSE,0.469955795579121,"01","010","El Llano"
9,0.765956377293044,0.579675870553783,0.905456832478744,7,"muestra_directa",TRUE,0.325780961924961,"01","002","Asientos"
10,0.795910745879444,0.631662071188201,0.922237688560055,18,"muestra_directa",FALSE,0.290575617371855,"01","009","Tepezalá"
11,0.67087418599601,0.441792275278587,0.864416445732223,NA,"sintetico_postestratificado",FALSE,0.422624170453635,"01","007","Rincón de Romos"
12,0.847901406685656,0.648444739601137,0.961891424901867,7,"muestra_directa",TRUE,0.31344668530073,"02","003","Tecate"
13,0.848992461842745,0.710224132093237,0.940740122949086,39,"muestra_directa",FALSE,0.230515990855849,"02","004","Tijuana"
14,0.842254755338036,0.633331199501426,0.950071293087467,10,"muestra_directa",FALSE,0.316740093586041,"02","001","Ensenada"
15,0.748230775173289,0.451723757324315,0.939209808125285,2,"muestra_directa",TRUE,0.48748605080097,"02","006","San Quintín"
17,0.887650673621499,0.76209881049094,0.965943228533675,28,"muestra_directa",FALSE,0.203844418042735,"02","002","Mexicali"
18,0.691275436003273,0.423596169368665,0.898368214607813,6,"muestra_directa",TRUE,0.474772045239148,"02","005","Playas de Rosarito"
19,0.767856173996927,0.558005987403883,0.922087306605579,7,"muestra_directa",TRUE,0.364081319201696,"03","002","Mulegé"
20,0.783896117550771,0.512631913658358,0.956686293191079,NA,"sintetico_postestratificado",FALSE,0.44405437953272,"03","009","Loreto"
21,0.701461956218775,0.539966141808625,0.834754539358423,34,"muestra_directa",FALSE,0.294788397549798,"03","008","Los Cabos"
22,0.730294301563882,0.614970345266989,0.833694645680393,62,"muestra_directa",FALSE,0.218724300413404,"03","003","La Paz"
23,0.828847375172101,0.69220537692145,0.92522500330318,39,"muestra_directa",FALSE,0.233019626381729,"03","001","Comondú"
24,0.707864366384158,0.558710541572503,0.832673476375299,35,"muestra_directa",FALSE,0.273962934802796,"04","003","Carmen"
25,0.697039266761387,0.472402669452964,0.879864002067597,3,"muestra_directa",TRUE,0.407461332614632,"04","007","Palizada"
27,0.686709006628237,0.406594566891403,0.885387263766387,NA,"sintetico_postestratificado",FALSE,0.478792696874983,"04","005","Hecelchakán"
28,0.702374953346678,0.484109256274198,0.870159663644591,8,"muestra_directa",TRUE,0.386050407370393,"04","004","Champotón"
29,0.683565147226821,0.423182995292902,0.874455110395184,6,"muestra_directa",TRUE,0.451272115102282,"04","011","Candelaria"
30,0.555236747249935,0.276338279355305,0.810402320157451,2,"muestra_directa",TRUE,0.534064040802146,"04","012","Seybaplaya"
31,0.692085743955092,0.55338499949096,0.812821133933119,56,"muestra_directa",FALSE,0.259436134442159,"04","002","Campeche"
32,0.687693068185561,0.449986448558323,0.874729861468728,NA,"sintetico_postestratificado",FALSE,0.424743412910405,"04","006","Hopelchén"
33,0.702384109525834,0.445822691832969,0.887961854299358,6,"muestra_directa",TRUE,0.442139162466388,"04","001","Calkiní"
34,0.678190471383023,0.434688759328466,0.874420923767331,NA,"sintetico_postestratificado",FALSE,0.439732164438864,"04","010","Calakmul"
35,0.710259850362906,0.521514252592946,0.86695510082053,10,"muestra_directa",FALSE,0.345440848227584,"04","009","Escárcega"
36,0.68139941177111,0.395902334848739,0.896057952427686,2,"muestra_directa",TRUE,0.500155617578947,"04","008","Tenabo"
37,0.690888721699453,0.412083597949239,0.888522974010707,NA,"sintetico_postestratificado",FALSE,0.476439376061468,"05","005","Candela"
38,0.795024012693084,0.649113463647025,0.901401906384677,18,"muestra_directa",FALSE,0.252288442737652,"05","017","Matamoros"
39,0.720890192407662,0.48322586243929,0.899548624151922,6,"muestra_directa",TRUE,0.416322761712632,"05","018","Monclova"
40,0.652332307404641,0.344541348065032,0.885098594300917,NA,"sintetico_postestratificado",FALSE,0.540557246235885,"05","014","Jiménez"
41,0.78432534403476,0.610582779190058,0.901852939263219,25,"muestra_directa",FALSE,0.291270160073161,"05","035","Torreón"
42,0.692088164885196,0.399969522388572,0.900790892458169,NA,"sintetico_postestratificado",FALSE,0.500821370069597,"05","013","Hidalgo"
43,0.736261179774533,0.469575331523772,0.914535684838098,NA,"sintetico_postestratificado",FALSE,0.444960353314327,"05","015","Juárez"
44,0.69105470345058,0.434266103024174,0.874363451369656,NA,"sintetico_postestratificado",FALSE,0.440097348345482,"05","020","Múzquiz"
45,0.763849275556987,0.574792498426972,0.911010440587367,7,"muestra_directa",TRUE,0.336217942160395,"05","024","Parras"
46,0.733835725858074,0.474682034349947,0.913597164968759,1,"muestra_directa",TRUE,0.438915130618811,"05","026","Progreso"
47,0.740309908218826,0.574751880497825,0.873367270960443,7,"muestra_directa",TRUE,0.298615390462618,"05","027","Ramos Arizpe"
48,0.540095492447296,0.283262828423121,0.791416014184212,5,"muestra_directa",TRUE,0.508153185761091,"05","025","Piedras Negras"
49,0.707888263096114,0.44502535268264,0.900197346154863,NA,"sintetico_postestratificado",FALSE,0.455171993472223,"05","028","Sabinas"
50,0.661888512535488,0.515186725896077,0.800390308223468,21,"muestra_directa",FALSE,0.285203582327391,"05","030","Saltillo"
51,0.678198640292242,0.422590551059537,0.883599816171296,NA,"sintetico_postestratificado",FALSE,0.461009265111759,"05","031","San Buenaventura"
52,0.710941367956453,0.463258649355362,0.897280337473151,NA,"sintetico_postestratificado",FALSE,0.434021688117789,"05","016","Lamadrid"
53,0.679579880010301,0.421029337640364,0.884391157315424,NA,"sintetico_postestratificado",FALSE,0.46336181967506,"05","004","Arteaga"
54,0.631857716409724,0.437557497033029,0.803021572013499,7,"muestra_directa",TRUE,0.36546407498047,"05","002","Acuña"
55,0.668739134145802,0.359953690163356,0.903825385625092,NA,"sintetico_postestratificado",FALSE,0.543871695461736,"05","032","San Juan de Sabinas"
56,0.699579284190429,0.472794403722352,0.880844401029842,4,"muestra_directa",TRUE,0.40804999730749,"05","033","San Pedro"
57,0.741196042358301,0.50969408826902,0.912348224882317,NA,"sintetico_postestratificado",FALSE,0.402654136613297,"05","009","Francisco I. Madero"
58,0.680852731113574,0.384556184660645,0.884588239885445,NA,"sintetico_postestratificado",FALSE,0.5000320552248,"05","012","Guerrero"
59,0.671254267534896,0.42413501197933,0.874324229147807,NA,"sintetico_postestratificado",FALSE,0.450189217168477,"05","006","Castaños"
