"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
1,-27.6883261076883,-53.9263452541454,-1.56745701424392,0.585038302716184,"muestra_directa",TRUE,0.3081550416393,"muestra_directa",TRUE,TRUE,TRUE,"01","005","Jesús María"
2,-20.9429381995616,-49.7030270019606,10.4843299089851,0.546005795022455,"sintetico_postestratificado",FALSE,0.336576413026839,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","008","San José de Gracia"
3,-20.3200105655947,-30.5166754609481,-9.2581283562135,0.707706584250422,"muestra_directa",FALSE,0.504506478594475,"muestra_directa",FALSE,TRUE,FALSE,"01","001","Aguascalientes"
4,-16.5809422326593,-42.595109614381,12.1967578603452,0.483057973472414,"muestra_directa",TRUE,0.31724855114582,"muestra_directa",TRUE,TRUE,TRUE,"01","004","Cosío"
5,-20.1179870867459,-48.1055316155926,12.7457428756191,0.56890754166285,"sintetico_postestratificado",FALSE,0.367727670795391,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","011","San Francisco de los Romo"
6,-19.9692066263884,-43.1164856264603,4.34918267825883,0.515273480097047,"muestra_directa",TRUE,0.315581413833163,"muestra_directa",FALSE,TRUE,TRUE,"01","006","Pabellón de Arteaga"
7,-20.5909268879753,-49.3541919319176,10.3039048848571,0.561644966238266,"sintetico_postestratificado",FALSE,0.355735697358513,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","003","Calvillo"
8,-22.0093954030512,-52.6937240850317,8.77514144879096,0.547430472191122,"sintetico_postestratificado",FALSE,0.32733651816061,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","010","El Llano"
9,-20.0729413154152,-41.433957471342,4.313665376404,0.621394352846846,"muestra_directa",FALSE,0.420664939692694,"muestra_directa",FALSE,TRUE,FALSE,"01","002","Asientos"
10,-32.1392444914257,-48.8242183077669,-13.4080569520907,0.671807667220891,"muestra_directa",FALSE,0.350415222306634,"muestra_directa",FALSE,TRUE,FALSE,"01","009","Tepezalá"
11,-24.6024256448666,-51.8538296784057,8.59470499580472,0.571197030007612,"sintetico_postestratificado",FALSE,0.325172773558946,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","007","Rincón de Romos"
12,-22.4241792152551,-46.9079295761242,1.90148107124157,0.636133178568478,"muestra_directa",TRUE,0.411891386415927,"muestra_directa",FALSE,TRUE,TRUE,"02","003","Tecate"
