"muni_idx","diferencia_pp","dif_q025","dif_q975","prev_ESH","fuente_ESH","priv_ESH","prev_AHA","fuente_AHA","priv_AHA","ambos_directos","suprimir_privacidad","cve_ent","cve_mun","nomgeo"
1,-29.6133580081625,-53.9959396569126,-0.899741012080221,0.723010307176633,"muestra_directa",TRUE,0.426876727095008,"muestra_directa",TRUE,TRUE,TRUE,"01","005","Jesús María"
2,-27.5367652856795,-52.1850936394792,-0.257367060706253,0.682327878898833,"sintetico_postestratificado",FALSE,0.406960226042038,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","008","San José de Gracia"
3,-24.8793648872996,-39.1177126482754,-11.2589584060324,0.678035836371355,"muestra_directa",FALSE,0.429242187498358,"muestra_directa",FALSE,TRUE,FALSE,"01","001","Aguascalientes"
4,-25.0798474947207,-51.8929373364934,4.9511480054344,0.664154377744272,"muestra_directa",TRUE,0.413355902797066,"muestra_directa",TRUE,TRUE,TRUE,"01","004","Cosío"
5,-26.7056633377552,-53.538403409848,1.95389765294473,0.667462813005675,"sintetico_postestratificado",FALSE,0.400406179628123,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","011","San Francisco de los Romo"
6,-30.0796096585852,-52.9875318223613,-4.0586420217158,0.64198402403092,"muestra_directa",TRUE,0.341187927445068,"muestra_directa",TRUE,TRUE,TRUE,"01","006","Pabellón de Arteaga"
7,-27.1299695679019,-53.7270638276766,0.130110896444843,0.650729601476694,"sintetico_postestratificado",FALSE,0.379429905797675,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","003","Calvillo"
8,-27.2889700487386,-53.5626458335376,1.66425343407155,0.661382408073663,"sintetico_postestratificado",FALSE,0.388492707586277,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","010","El Llano"
9,-18.5276036555184,-40.1751618803962,4.72811158943896,0.727059827450842,"muestra_directa",TRUE,0.541783790895657,"muestra_directa",TRUE,TRUE,TRUE,"01","002","Asientos"
10,-20.3059142866227,-39.7931586151093,1.72571195894221,0.630646282042956,"muestra_directa",FALSE,0.427587139176729,"muestra_directa",FALSE,TRUE,FALSE,"01","009","Tepezalá"
11,-26.1276382298009,-52.6544030175047,1.94563085425267,0.692654751613906,"sintetico_postestratificado",FALSE,0.431378369315897,"sintetico_postestratificado",FALSE,FALSE,FALSE,"01","007","Rincón de Romos"
12,-25.8493479785211,-51.5958900431431,1.40837633895502,0.622047698346802,"muestra_directa",TRUE,0.363554218561591,"muestra_directa",TRUE,TRUE,TRUE,"02","003","Tecate"
13,-36.8223441707976,-54.788871167726,-18.2445921684741,0.689998395494282,"muestra_directa",FALSE,0.321774953786306,"muestra_directa",FALSE,TRUE,FALSE,"02","004","Tijuana"
14,-27.289129275199,-50.2586971917895,-1.09944644658295,0.600716946666669,"muestra_directa",FALSE,0.327825653914679,"muestra_directa",FALSE,TRUE,FALSE,"02","001","Ensenada"
15,-27.0852154623397,-54.5113327272406,2.6957346177876,0.595912709895051,"muestra_directa",TRUE,0.325060555271654,"muestra_directa",TRUE,TRUE,TRUE,"02","006","San Quintín"
17,-27.7187417727762,-46.0977837054665,-6.71437615953065,0.628802185665752,"muestra_directa",FALSE,0.35161476793799,"muestra_directa",FALSE,TRUE,FALSE,"02","002","Mexicali"
18,-28.7219706595338,-55.2508991773923,1.36955077442406,0.638860639742909,"muestra_directa",TRUE,0.35164093314757,"muestra_directa",TRUE,TRUE,TRUE,"02","005","Playas de Rosarito"
19,-26.9400287588134,-52.8747628580358,1.74236431544596,0.566350443393662,"muestra_directa",TRUE,0.296950155805528,"muestra_directa",TRUE,TRUE,TRUE,"03","002","Mulegé"
