"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,0.778468351272433,0.748508380372335,0.659216888047456,3,2.26840018627381,2,"1-2"
3,0.802731621640099,0.674340311996215,0.659216888047456,121,21.1445000174801,3,"3+"
4,0.136077205487929,0.546628827688096,0.659216888047456,3,1.8686409696728,2,"1-2"
6,0.40508467499952,0.579543746499106,0.659216888047456,9,4.17959634163221,3,"3+"
9,0.716721899334667,0.583143399458047,0.659216888047456,10,9.13482298446056,5,"3+"
10,0.799516916921446,0.611834963181737,0.659216888047456,24,19.2926056580378,2,"1-2"
12,0.770357032618781,0.615617782847713,0.659216888047456,8,5.17656853996746,3,"3+"
13,0.797956657559792,0.643137940664539,0.659216888047456,65,16.7034993803107,3,"3+"
14,0.579507941169547,0.670935983003211,0.659216888047456,18,14.3468987725832,4,"3+"
15,0.228836476083107,0.544869273896436,0.659216888047456,4,2.25635544755035,2,"1-2"
17,0.513593180247007,0.566464970428357,0.659216888047456,46,27.7038869401198,2,"1-2"
18,0.72068155851895,0.726073835201403,0.659216888047456,7,6.02048036789341,1,"1-2"
19,0.566081485329404,0.546513464800063,0.659216888047456,13,9.54264541867261,2,"1-2"
21,0.545019734012009,0.615279728588507,0.659216888047456,56,44.9216025376183,1,"1-2"
22,0.639885806371152,0.677380445667626,0.659216888047456,89,27.2249739143876,2,"1-2"
23,0.820972839753599,0.615904325782015,0.659216888047456,46,34.0423391536406,2,"1-2"
24,0.704605975880967,0.57987712036393,0.659216888047456,45,11.2746653830502,6,"3+"
25,0.751173616521504,0.725070066067515,0.659216888047456,4,3.72408239903556,2,"1-2"
28,0.413736074119365,0.534737922594569,0.659216888047456,17,11.6020795244114,5,"3+"
29,0.53651385482081,0.572921710045,0.659216888047456,8,5.76412203209053,3,"3+"
30,0.656467607244043,0.746356761753012,0.659216888047456,3,2.87111160212219,2,"1-2"
31,0.63324955799919,0.597375785279193,0.659216888047456,89,60.8770362750232,2,"1-2"
32,0,0.563618265772381,0.659216888047456,3,1.88815975580466,5,"3+"
33,0.401131972474088,0.617740836130157,0.659216888047456,14,12.2289864718968,0,"0"
35,0.922845169489744,0.550077837905373,0.659216888047456,12,5.88463705350733,3,"3+"
36,0.175398110685206,0.567298607929916,0.659216888047456,7,6.29993865523452,0,"0"
38,0.584201876091527,0.565232848752828,0.659216888047456,23,12.2540075355179,4,"3+"
39,0.542220051030444,0.693269308884494,0.659216888047456,7,3.78796986962076,0,"0"
41,0.635769127359711,0.648968257436978,0.659216888047456,37,17.6094859784196,4,"3+"
45,0.741590715839581,0.623102422840101,0.659216888047456,10,7.80152418679072,3,"3+"
