"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,0,0.473474722222041,0.40651292513075,1,1,2,"1-2"
3,0.498094551727517,0.472247433261403,0.40651292513075,88,15.1023346752692,3,"3+"
4,1,0.552226175880167,0.40651292513075,1,1,2,"1-2"
6,0.2018805103163,0.526698277401858,0.40651292513075,6,4.34711671323842,2,"1-2"
9,0.879077561944352,0.358232202633482,0.40651292513075,7,6.21058744287783,4,"3+"
10,0.456699080469791,0.417869974113099,0.40651292513075,17,13.9178093914527,3,"3+"
12,0.401660883573839,0.398895302025754,0.40651292513075,7,4.22557935321607,3,"3+"
13,0.26989105611129,0.355948973802256,0.40651292513075,32,10.1014628574974,3,"3+"
14,0.259685077075598,0.400848771422833,0.40651292513075,10,8.3652728302015,5,"3+"
15,0,0.318249639071936,0.40651292513075,2,1.66783679105255,2,"1-2"
17,0.333789151092762,0.327607563657082,0.40651292513075,27,17.9703187198085,3,"3+"
18,0.486261782110794,0.400807008626828,0.40651292513075,4,3.93216565397808,2,"1-2"
19,0.0419216141032504,0.397611066286824,0.40651292513075,6,3.71899521441228,1,"1-2"
21,0.566888273758469,0.503098409145179,0.40651292513075,26,20.109579008353,1,"1-2"
22,0.653594470634224,0.425813549856653,0.40651292513075,57,27.9361368643239,2,"1-2"
23,0.334169057176073,0.430190650775075,0.40651292513075,36,27.0260205712439,1,"1-2"
24,0.177521865859882,0.383697157343844,0.40651292513075,31,7.35650049529823,3,"3+"
25,0.52770750857964,0.408870346836698,0.40651292513075,3,2.73107493083872,0,"0"
28,0.343531005202972,0.320394102261595,0.40651292513075,8,6.08358198424557,3,"3+"
29,0.847552267332413,0.37170803247378,0.40651292513075,6,5.31643882967629,2,"1-2"
31,0.399473843762308,0.376085985828697,0.40651292513075,50,32.4049058230086,2,"1-2"
33,0.171026755579582,0.335108564753765,0.40651292513075,5,4.86699241362966,0,"0"
35,0.335751473609327,0.288125803975478,0.40651292513075,8,3.92539404022218,3,"3+"
36,0.402722424888515,0.341739637713083,0.40651292513075,2,1.92705758203795,1,"1-2"
38,0.459490960138354,0.404848889558372,0.40651292513075,17,13.804792758509,4,"3+"
39,0.508013113546581,0.44892915926146,0.40651292513075,6,5.40136435350483,0,"0"
41,0.578326465779244,0.456883962815179,0.40651292513075,23,11.6248978110363,3,"3+"
45,0.380985407087547,0.4489856611106,0.40651292513075,7,5.44439060140925,2,"1-2"
46,0,0.327538053568801,0.40651292513075,1,1,1,"1-2"
47,0.241320990754132,0.439502901209412,0.40651292513075,5,4.46920767853735,2,"1-2"
48,0.189066881919265,0.416629623063595,0.40651292513075,3,2.30800445133069,0,"0"
50,0.43455802273709,0.481291127223336,0.40651292513075,18,12.9909482103525,2,"1-2"
54,0.865658246389158,0.443248263281558,0.40651292513075,4,3.23644011732774,1,"1-2"
56,0.135169050417711,0.460839088626586,0.40651292513075,3,2.54946055905865,2,"1-2"
70,0,0.363344960620094,0.40651292513075,2,1.99780411363504,1,"1-2"
76,0.719445035475078,0.470872415361703,0.40651292513075,9,6.29340055781677,4,"3+"
77,0.282996055205058,0.429394776675913,0.40651292513075,2,1.68298765228581,2,"1-2"
78,1,0.575244967940513,0.40651292513075,1,1,3,"3+"
