"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,1,0.743772715135007,0.640306708611525,1,1,2,"1-2"
3,0.72225215193613,0.712371783571642,0.640306708611525,88,15.1023346752692,3,"3+"
4,1,0.80367670424447,0.640306708611525,1,1,2,"1-2"
6,0.596903273450056,0.759090385672955,0.640306708611525,6,4.34711671323842,2,"1-2"
9,0.879077561944352,0.641923026002109,0.640306708611525,7,6.21058744287783,4,"3+"
10,0.538419612292162,0.677849573517707,0.640306708611525,17,13.9178093914527,3,"3+"
12,0.597057897998215,0.685656763223334,0.640306708611525,7,4.22557935321607,3,"3+"
13,0.703635239013211,0.546588437039692,0.640306708611525,32,10.1014628574974,3,"3+"
14,0.461676072132705,0.635995680434469,0.640306708611525,10,8.3652728302015,5,"3+"
15,0,0.57937941271813,0.640306708611525,2,1.66783679105255,2,"1-2"
17,0.608689774124973,0.541535220259343,0.640306708611525,27,17.9703187198085,3,"3+"
18,0.766677488806351,0.658275616711446,0.640306708611525,4,3.93216565397808,2,"1-2"
19,0.357140457511386,0.688246824534163,0.640306708611525,6,3.71899521441228,1,"1-2"
21,0.750862445842867,0.687054224912563,0.640306708611525,26,20.109579008353,1,"1-2"
22,0.811652493396438,0.629690574523306,0.640306708611525,57,27.9361368643239,2,"1-2"
23,0.486163860438769,0.66514467757429,0.640306708611525,36,27.0260205712439,1,"1-2"
24,0.458921548232398,0.59527650640148,0.640306708611525,31,7.35650049529823,3,"3+"
25,0.52770750857964,0.63997819894475,0.640306708611525,3,2.73107493083872,0,"0"
28,0.718908575626049,0.497924135676883,0.640306708611525,8,6.08358198424557,3,"3+"
29,0.847552267332413,0.569525813086369,0.640306708611525,6,5.31643882967629,2,"1-2"
31,0.526110116768314,0.606872571154547,0.640306708611525,50,32.4049058230086,2,"1-2"
33,0.35365508890269,0.473543289041209,0.640306708611525,5,4.86699241362966,0,"0"
35,0.415303866931192,0.49396177430059,0.640306708611525,8,3.92539404022218,3,"3+"
36,0.402722424888515,0.531895700270715,0.640306708611525,2,1.92705758203795,1,"1-2"
38,0.731173811812782,0.667445204300417,0.640306708611525,17,13.804792758509,4,"3+"
39,0.771254971741072,0.681603902581446,0.640306708611525,6,5.40136435350483,0,"0"
41,0.795567771631451,0.698030181568358,0.640306708611525,23,11.6248978110363,3,"3+"
45,0.647107573839567,0.699719091646666,0.640306708611525,7,5.44439060140925,2,"1-2"
46,0,0.583599700730239,0.640306708611525,1,1,1,"1-2"
47,0.50845231871461,0.725830756245339,0.640306708611525,5,4.46920767853735,2,"1-2"
48,0.409165994002291,0.629344580803946,0.640306708611525,3,2.30800445133069,0,"0"
50,0.805842914707134,0.736855018943998,0.640306708611525,18,12.9909482103525,2,"1-2"
54,0.865658246389158,0.715279253854783,0.640306708611525,4,3.23644011732774,1,"1-2"
56,0.568784824469458,0.672803086903748,0.640306708611525,3,2.54946055905865,2,"1-2"
70,0.516576715497301,0.637538979826959,0.640306708611525,2,1.99780411363504,1,"1-2"
76,1,0.712943676160761,0.640306708611525,9,6.29340055781677,4,"3+"
77,1,0.658750966281881,0.640306708611525,2,1.68298765228581,2,"1-2"
78,1,0.75385007769485,0.640306708611525,1,1,3,"3+"
79,1,0.660669004513184,0.640306708611525,2,1.99997964180726,2,"1-2"
80,1,0.731837020260436,0.640306708611525,1,1,5,"3+"
81,0.743121875250072,0.762876307732154,0.640306708611525,12,10.8616880081898,4,"3+"
82,0.519822094818139,0.603126261385294,0.640306708611525,11,6.58243805760174,2,"1-2"
83,0.760521392304892,0.712149465051492,0.640306708611525,23,15.7679383649463,3,"3+"
84,0.777474663266737,0.699952452714821,0.640306708611525,15,13.2499280481586,3,"3+"
85,0,0.576190001451726,0.640306708611525,4,3.63823760048748,2,"1-2"
87,0,0.48659783473649,0.640306708611525,1,1,0,"0"
91,0,0.532994366399438,0.640306708611525,1,1,4,"3+"
92,0.51911807079113,0.539794943880876,0.640306708611525,2,1.99708026361576,1,"1-2"
95,1,0.678838528144379,0.640306708611525,3,2.98961410619796,2,"1-2"
97,0.506700967661934,0.652145539738531,0.640306708611525,9,6.90964712836075,1,"1-2"
101,0,0.543033613755221,0.640306708611525,1,1,2,"1-2"
105,0,0.450928374266362,0.640306708611525,1,1,1,"1-2"
127,0.422967222130193,0.511049690565916,0.640306708611525,3,2.89532236161448,1,"1-2"
131,1,0.638851258897175,0.640306708611525,2,1.95971358448551,3,"3+"
133,0.829468578333756,0.679547647330245,0.640306708611525,3,1.60603457687841,2,"1-2"
135,0,0.502732470358787,0.640306708611525,1,1,2,"1-2"
148,0.587491177271526,0.574055085699705,0.640306708611525,6,4.82652101561557,0,"0"
156,0.67657286553873,0.507618922433219,0.640306708611525,3,2.97980777221722,2,"1-2"
158,0.829204442003744,0.420200545651467,0.640306708611525,4,3.47505067145598,1,"1-2"
159,0.504400372502013,0.501566635157507,0.640306708611525,3,2.64928099074868,1,"1-2"
179,1,0.609895308469466,0.640306708611525,1,1,0,"0"
182,0.913671115906326,0.580221462292222,0.640306708611525,5,3.90252550627465,1,"1-2"
188,1,0.652329262589563,0.640306708611525,2,1.77897349709708,1,"1-2"
199,0,0.596628288316362,0.640306708611525,1,1,2,"1-2"
201,1,0.666076553472384,0.640306708611525,2,1.62742264718569,1,"1-2"
221,0.600436339304407,0.616354359722313,0.640306708611525,11,7.72636763021291,2,"1-2"
222,1,0.633899347091578,0.640306708611525,1,1,2,"1-2"
224,1,0.714295230620378,0.640306708611525,2,1.84020268487986,0,"0"
225,1,0.600869408263512,0.640306708611525,1,1,1,"1-2"
229,0.420100899775133,0.57724636109021,0.640306708611525,14,10.2504357790309,0,"0"
231,0.810579535179556,0.739032662037154,0.640306708611525,3,2.60805631685359,2,"1-2"
234,0.295011741399509,0.639204864830375,0.640306708611525,2,1.71221040082172,1,"1-2"
235,1,0.597573193138702,0.640306708611525,1,1,1,"1-2"
237,0.563608278593751,0.606760974374219,0.640306708611525,9,6.08785584653299,2,"1-2"
241,1,0.754614765179893,0.640306708611525,1,1,2,"1-2"
244,0.599282721814642,0.615621088460059,0.640306708611525,9,7.37653789404368,0,"0"
259,0.726877476837856,0.631893989481205,0.640306708611525,34,19.6422323413528,0,"0"
260,0.264162848704128,0.549719708717719,0.640306708611525,3,2.55120877671567,0,"0"
262,0.621203011288584,0.666385589328041,0.640306708611525,48,35.4487302218455,0,"0"
273,0.652975528574701,0.702305649398449,0.640306708611525,9,6.10717790070672,2,"1-2"
275,0.364890788262145,0.601951917059767,0.640306708611525,8,7.1267903098939,0,"0"
276,0.661208602707243,0.708340035030345,0.640306708611525,19,3.88067918321886,4,"3+"
277,0.920896240875768,0.697102981072003,0.640306708611525,10,5.94309621272138,5,"3+"
278,0.798782904636254,0.714459682330929,0.640306708611525,11,6.5383930523253,6,"3+"
279,0.675213866560739,0.682353603199264,0.640306708611525,90,20.7247847972447,7,"3+"
280,0.789702896824411,0.648577995933145,0.640306708611525,17,9.04567945058073,2,"1-2"
281,0.574830286243684,0.656814645942325,0.640306708611525,28,16.0411350948226,6,"3+"
282,0.930582854312158,0.760135208939403,0.640306708611525,9,2.08823964035076,4,"3+"
283,0.6169696244795,0.705609682986864,0.640306708611525,8,6.6037901810481,6,"3+"
284,0.736182713708451,0.673577488898958,0.640306708611525,3,2.80405929890786,2,"1-2"
285,0.753036901771767,0.678702500629527,0.640306708611525,19,8.23278743184907,4,"3+"
286,0.965527981524725,0.679568794329818,0.640306708611525,12,3.4643612316573,5,"3+"
287,0.643364750863999,0.677922497514151,0.640306708611525,11,7.50064655806611,5,"3+"
288,0.782536857511979,0.63932273018512,0.640306708611525,46,18.4157097704493,7,"3+"
289,0.764496912260496,0.718314844469138,0.640306708611525,12,4.47964184851242,4,"3+"
290,0.537074975479791,0.654246157271698,0.640306708611525,21,11.5048903220306,4,"3+"
291,0.766077632765433,0.640229336794451,0.640306708611525,4,3.61411788361524,6,"3+"
292,0.342946397987588,0.709566715571033,0.640306708611525,11,8.70322926472306,1,"1-2"
293,0.562719585043679,0.634321509566665,0.640306708611525,11,8.7928957338391,3,"3+"
299,0.816319159201346,0.625303402068438,0.640306708611525,4,2.66673760083832,2,"1-2"
303,0,0.622498804808027,0.640306708611525,1,1,1,"1-2"
305,0.636767589375609,0.602851471344172,0.640306708611525,24,8.29398417997032,3,"3+"
308,0.733718188558354,0.660122010580467,0.640306708611525,3,2.85324580044199,4,"3+"
309,0.361874509491287,0.576300800461215,0.640306708611525,7,6.10504394360941,1,"1-2"
312,0.808486268902082,0.674884593209563,0.640306708611525,51,37.51972309353,3,"3+"
314,0.694760946305413,0.617892776978064,0.640306708611525,6,5.66435780244464,2,"1-2"
316,0.644656231851694,0.661140125625307,0.640306708611525,26,18.0028457585651,4,"3+"
321,1,0.735543396977199,0.640306708611525,3,2.95927607926267,3,"3+"
322,0.667827212657191,0.686074658445774,0.640306708611525,8,6.00019960302087,3,"3+"
326,1,0.692885308349589,0.640306708611525,3,2.70156373058585,1,"1-2"
327,0,0.649516786531834,0.640306708611525,1,1,2,"1-2"
331,0.623790369240031,0.576338738879381,0.640306708611525,7,6.38098271923215,4,"3+"
332,0.675299094885263,0.612460632131591,0.640306708611525,110,69.0087644327483,5,"3+"
334,0.224426718059507,0.642116829269225,0.640306708611525,12,3.40675688147371,3,"3+"
336,0.514393225525527,0.584112938939118,0.640306708611525,9,7.16365647512777,6,"3+"
338,0.753144627675488,0.605085298899758,0.640306708611525,6,4.96008152967505,1,"1-2"
339,0.61477726812427,0.559027319124418,0.640306708611525,8,6.47586426619365,2,"1-2"
340,1,0.538136636244164,0.640306708611525,2,1.54560400583511,3,"3+"
341,0.644828374594392,0.643499805386938,0.640306708611525,6,5.64438329995059,1,"1-2"
342,0.841928192152553,0.610272930894913,0.640306708611525,14,11.2884109620643,6,"3+"
343,0.928970085439052,0.58815462923021,0.640306708611525,9,6.40552928189981,1,"1-2"
345,0.734593954549945,0.631581801478658,0.640306708611525,11,7.74448974591439,7,"3+"
347,0.738909528565172,0.61771058216622,0.640306708611525,33,23.4766498141757,5,"3+"
348,0.425978349778249,0.637684908554948,0.640306708611525,10,7.88916291138987,8,"3+"
349,0.630925253146291,0.570428479493887,0.640306708611525,2,1.8716678095911,4,"3+"
350,1,0.647776686000753,0.640306708611525,2,1.88186617807694,5,"3+"
351,0.755636057054841,0.646056795489023,0.640306708611525,5,4.65083145972528,4,"3+"
352,0.841572007303269,0.554978942445517,0.640306708611525,7,6.04892250563241,4,"3+"
353,1,0.681656403619046,0.640306708611525,2,1.40717590894444,6,"3+"
354,0.880410195697869,0.609254826726687,0.640306708611525,4,2.34350916736683,4,"3+"
355,1,0.611518842285868,0.640306708611525,2,1.50112713626518,2,"1-2"
356,0.310507513031969,0.642544754957704,0.640306708611525,4,2.39675819432725,2,"1-2"
357,0.698613657194705,0.608752246111026,0.640306708611525,4,3.68749736731683,2,"1-2"
359,0.542168989766744,0.677522324420276,0.640306708611525,14,4.66634895689532,4,"3+"
360,0.730867005727778,0.577640383672316,0.640306708611525,13,9.31741522060711,3,"3+"
361,0,0.612746067293627,0.640306708611525,1,1,2,"1-2"
363,0.628793217430497,0.626499941241748,0.640306708611525,7,5.68677223187717,3,"3+"
364,0.280017021541111,0.658482112029723,0.640306708611525,3,2.67186588426599,3,"3+"
365,0.242068499694319,0.579192582132808,0.640306708611525,4,3.99843879300546,6,"3+"
366,0.282128371173176,0.618917034517472,0.640306708611525,7,5.6744173094927,5,"3+"
367,0.622356474403648,0.575429382930371,0.640306708611525,10,7.51151641043666,3,"3+"
368,0.58807604485111,0.669392531493926,0.640306708611525,13,10.9118413827888,5,"3+"
370,1,0.693054966200732,0.640306708611525,1,1,4,"3+"
371,0.792088084006897,0.557238907866394,0.640306708611525,6,2.3811479316677,4,"3+"
373,0.781147309507368,0.641601613116745,0.640306708611525,18,14.7884884832071,5,"3+"
374,0.672421646877032,0.524561763778432,0.640306708611525,6,4.30175876374253,1,"1-2"
375,0.657631263866659,0.64814161560627,0.640306708611525,32,24.5296724467455,4,"3+"
376,0.31913853659025,0.596377341720048,0.640306708611525,8,6.81974604002474,4,"3+"
378,0,0.589332266829197,0.640306708611525,1,1,1,"1-2"
385,1,0.550719764910668,0.640306708611525,1,1,3,"3+"
388,0.272075024117014,0.598249038372238,0.640306708611525,5,3.7999513421681,1,"1-2"
389,1,0.684005719192422,0.640306708611525,4,3.04979591828727,2,"1-2"
392,0.848821664051709,0.56118412269853,0.640306708611525,2,1.34525569489056,2,"1-2"
393,0.518732014157529,0.54557784290655,0.640306708611525,6,4.70461411527848,2,"1-2"
395,0.161495094646059,0.596487335993253,0.640306708611525,5,3.36489043910772,4,"3+"
398,0.47725110192789,0.639081471964767,0.640306708611525,6,5.78952586615658,5,"3+"
399,0.846970486485253,0.624688472993021,0.640306708611525,7,5.13447965802929,0,"0"
404,0.579455510291508,0.668671272285455,0.640306708611525,15,11.1917169004647,3,"3+"
412,1,0.711775825465301,0.640306708611525,4,2.99433164813081,1,"1-2"
415,0.632546117173427,0.642451456803428,0.640306708611525,4,3.64342587922251,3,"3+"
