"muni_idx","obs","pred_bym2","pred_naive","n","n_efectivo","vecinos_retenidos","estrato_vecinos"
1,0.770610273855346,0.813909976166819,0.809635758707129,2,1.54688649958854,0,"0"
3,0.790535884832409,0.770395151328918,0.809635758707129,100,15.7142707913825,0,"0"
4,1,0.694570361332255,0.809635758707129,1,1,0,"0"
6,1,0.792076863970638,0.809635758707129,6,4.34711671323842,0,"0"
9,1,0.731654563068018,0.809635758707129,7,6.21058744287783,0,"0"
10,0.982439204282245,0.746660026285461,0.809635758707129,18,14.3559710608114,0,"0"
12,1,0.764026781059131,0.809635758707129,7,4.22557935321607,0,"0"
13,0.939426544744114,0.752712888332344,0.809635758707129,39,11.3544838344121,0,"0"
14,1,0.801765376929741,0.809635758707129,10,8.3652728302015,0,"0"
15,1,0.8456115282191,0.809635758707129,2,1.66783679105255,0,"0"
17,0.97465446409292,0.794209699330402,0.809635758707129,28,18.6899687005336,0,"0"
18,0.652380197043466,0.791734436302748,0.809635758707129,6,5.89664550956755,0,"0"
19,0.79890180394539,0.68529587014149,0.809635758707129,7,4.71569473737092,0,"0"
21,0.775661432997049,0.719677531242367,0.809635758707129,34,26.9288801899692,0,"0"
22,0.851747682576309,0.765547987555744,0.809635758707129,62,25.4906765880753,0,"0"
23,0.95007569306187,0.759473431667215,0.809635758707129,39,29.1544308153508,0,"0"
24,0.833621590254547,0.728865635433173,0.809635758707129,35,9.409546663597,0,"0"
25,1,0.770724433349034,0.809635758707129,3,2.73107493083872,0,"0"
28,1,0.873135335676315,0.809635758707129,8,6.08358198424557,1,"1-2"
29,1,0.898314143293974,0.809635758707129,6,5.31643882967629,0,"0"
30,0.368925920289059,0.853693637687643,0.809635758707129,2,1.87139465733334,1,"1-2"
31,0.867429363541975,0.828091513051349,0.809635758707129,56,37.4269137540748,2,"1-2"
33,0.885004867298536,0.921683522080375,0.809635758707129,6,5.74212606684417,0,"0"
35,0.851938948101612,0.775593948117792,0.809635758707129,10,5.10152144288183,0,"0"
36,1,0.861593269342908,0.809635758707129,2,1.92705758203795,0,"0"
38,0.914642764786269,0.833293081425713,0.809635758707129,18,14.730593762105,1,"1-2"
39,1,0.931605694262805,0.809635758707129,6,5.40136435350483,0,"0"
41,0.949671443768887,0.829546369674942,0.809635758707129,25,12.6794824909231,3,"3+"
45,1,0.812773896557419,0.809635758707129,7,5.44439060140925,1,"1-2"
46,1,0.948608080592355,0.809635758707129,1,1,0,"0"
47,0.622918241642312,0.629222217133074,0.809635758707129,7,6.07982542828861,3,"3+"
48,0.517338301115378,0.840672033804294,0.809635758707129,5,4.11941750627798,0,"0"
50,0.809978743721877,0.76096625471242,0.809635758707129,21,15.0082395262057,2,"1-2"
54,0.698392427645512,0.78699844524743,0.809635758707129,7,4.8859332976023,0,"0"
56,0.767023022523241,0.818934805513566,0.809635758707129,4,3.50824867607013,0,"0"
70,1,0.790597476073241,0.809635758707129,2,1.99780411363504,0,"0"
76,0.717066642050309,0.759007174336543,0.809635758707129,11,7.88688351055461,0,"0"
77,1,0.919788556510904,0.809635758707129,2,1.68298765228581,0,"0"
78,1,0.935576582731355,0.809635758707129,1,1,0,"0"
79,0.666329075705365,0.818995742810712,0.809635758707129,3,2.9999781238094,0,"0"
80,1,0.717662388285699,0.809635758707129,1,1,0,"0"
81,0.850171645100365,0.803711864139246,0.809635758707129,14,12.603541353154,0,"0"
82,0.9701622477742,0.885779915179025,0.809635758707129,12,6.95028116430298,0,"0"
83,0.974092748356815,0.815963068665331,0.809635758707129,24,16.4345243667323,0,"0"
84,0.818890659541465,0.840359639362889,0.809635758707129,20,17.0897891493238,0,"0"
85,1,0.903376400303768,0.809635758707129,4,3.63823760048748,0,"0"
87,0.558634033252013,0.883839211275389,0.809635758707129,2,1.97286949442765,0,"0"
91,1,0.959750824493563,0.809635758707129,1,1,0,"0"
92,0.384636819677071,0.694685850020593,0.809635758707129,3,2.20871112614254,0,"0"
95,0.286433475027876,0.628971835470294,0.809635758707129,7,5.65108292298955,0,"0"
97,1,0.806018472517585,0.809635758707129,9,6.90964712836075,0,"0"
101,1,0.964834749356387,0.809635758707129,1,1,0,"0"
105,1,0.941524051721658,0.809635758707129,1,1,0,"0"
109,0,0.514101576329051,0.809635758707129,3,1.78856436742167,0,"0"
127,0.776086364587576,0.844504583703817,0.809635758707129,4,3.87347704020733,0,"0"
