"muni_idx","fold_aleatorio","fold_contiguo"
1,2,1
3,1,1
4,2,1
6,1,1
9,3,1
10,1,1
12,3,4
13,1,4
14,2,4
15,4,4
17,3,4
18,1,4
19,5,4
21,2,4
22,1,4
23,4,4
24,2,2
25,3,2
28,3,2
29,4,2
30,3,2
31,3,2
32,4,2
33,1,2
35,4,2
36,1,2
38,1,1
39,2,1
41,4,1
45,3,1
46,4,1
47,5,1
48,2,1
50,1,1
54,2,1
56,5,1
70,4,1
76,2,4
77,1,4
78,5,4
79,2,4
80,1,4
81,2,4
82,2,4
83,1,4
84,4,2
85,3,5
87,3,5
91,1,5
92,4,5
95,2,5
97,3,5
101,1,5
105,3,5
109,1,5
113,4,5
127,3,5
129,2,5
131,5,5
133,1,5
135,4,5
146,2,5
148,1,5
154,3,5
156,4,5
158,2,5
159,1,5
179,5,5
182,3,5
184,1,5
188,4,5
191,3,5
199,2,5
201,3,5
221,1,4
222,2,4
223,1,4
224,5,4
225,5,4
229,1,4
231,3,4
234,5,4
235,4,4
237,5,4
241,1,4
242,5,4
244,5,4
259,2,4
260,5,4
262,3,4
273,2,1
275,1,4
276,5,3
277,2,3
278,3,4
279,1,3
280,2,3
281,4,3
282,1,3
283,3,4
284,4,3
285,5,4
286,2,3
287,3,3
288,5,4
289,2,4
290,1,4
291,3,3
292,1,1
293,1,4
299,4,4
303,5,4
305,5,1
308,3,4
309,2,4
312,4,4
314,4,4
316,2,1
321,3,1
322,4,4
326,3,4
327,1,1
331,2,2
332,4,1
334,1,2
336,4,5
338,3,5
339,1,2
340,3,1
341,5,1
342,5,1
343,5,1
345,4,1
347,2,5
348,4,1
349,1,1
350,4,5
351,5,1
352,5,1
353,1,1
354,2,2
355,2,1
356,5,1
357,5,1
359,3,1
360,5,1
361,5,1
363,3,1
364,3,5
365,4,1
366,4,1
367,5,2
368,1,1
370,2,1
371,2,1
373,1,1
374,5,1
375,5,1
376,5,1
378,2,3
385,4,3
388,3,3
389,5,3
392,2,3
393,5,3
395,4,3
398,5,3
399,4,4
402,3,4
404,2,3
412,3,3
415,5,3
423,2,3
427,1,4
435,1,3
437,3,3
440,3,3
450,4,3
455,1,3
463,1,5
466,5,5
468,3,5
474,1,5
475,1,2
477,2,5
482,1,5
488,3,5
491,4,2
492,5,2
495,4,2
498,4,2
501,2,5
503,4,2
504,1,5
506,3,2
507,1,2
510,3,5
523,2,2
527,1,2
530,1,5
532,2,4
542,5,4
543,2,2
549,4,4
559,2,4
570,3,4
580,1,4
588,4,1
591,5,4
596,3,4
597,5,4
603,2,4
607,3,4
616,3,4
625,3,4
634,4,4
640,4,1
647,3,1
662,3,4
666,4,1
671,4,3
677,1,3
678,5,3
681,2,4
682,1,3
683,2,2
688,5,4
692,4,3
694,3,4
695,5,3
698,1,2
699,3,3
705,1,5
707,5,4
708,1,5
709,2,5
710,1,5
713,2,4
718,4,4
719,2,3
720,3,2
724,5,3
725,2,2
726,1,2
734,2,3
736,4,3
738,4,3
743,4,5
749,5,5
750,5,3
751,5,3
759,5,3
760,4,2
761,1,3
766,1,4
770,3,3
771,4,4
774,5,3
776,3,2
777,2,5
778,4,2
788,3,4
789,4,2
792,1,3
793,3,3
795,5,5
802,2,5
809,1,5
819,2,2
821,2,5
824,5,2
828,2,2
837,2,5
839,5,2
850,2,2
851,4,4
852,4,5
854,1,5
858,1,2
867,1,5
873,4,2
877,5,4
883,1,5
885,3,5
886,2,2
889,4,5
892,1,2
894,4,2
902,1,2
906,4,5
910,3,3
911,4,3
915,5,3
916,1,3
917,1,3
919,5,3
921,4,3
926,5,3
928,1,3
931,2,3
933,3,3
934,5,3
935,3,3
936,4,3
937,1,3
938,5,3
939,4,3
940,1,3
941,5,3
943,2,3
948,5,4
949,5,4
952,5,4
953,2,4
954,1,4
956,2,4
957,5,4
958,4,1
959,3,1
960,1,4
963,3,1
964,5,1
966,4,1
967,5,1
970,2,1
971,5,1
972,5,1
973,5,1
974,1,1
975,2,1
978,2,1
980,5,1
981,2,1
982,5,1
984,2,1
985,3,1
986,5,1
990,1,1
995,1,1
996,1,1
998,5,1
1007,5,1
1031,3,2
1056,3,3
1062,5,2
1077,5,2
1086,5,5
1113,4,3
1117,4,3
1126,2,5
1139,1,5
1175,4,5
1188,4,5
1192,1,5
1193,2,5
1224,5,3
1232,3,3
1248,4,2
1276,3,5
1346,2,5
1349,3,3
1356,4,5
1374,1,3
1433,5,3
1474,2,5
1475,1,3
1483,4,3
1500,1,2
1512,5,2
1515,2,3
1517,2,2
1520,3,5
1531,4,5
1565,3,2
1566,5,3
1569,3,5
1592,3,5
1598,4,2
1602,4,3
1608,1,3
1620,2,3
1623,2,3
1626,5,5
1629,1,3
1632,3,2
1636,4,5
1640,3,3
1654,2,3
1666,3,3
1678,1,3
1695,3,5
1722,1,3
1732,2,3
1735,5,3
1751,3,3
1755,1,5
1756,2,2
1757,3,3
1758,4,3
1763,2,5
1774,3,5
1780,4,3
1785,4,4
1792,5,3
1798,4,2
1800,4,2
1803,1,1
1805,2,2
1807,3,1
1808,1,1
1810,2,5
1812,4,1
1814,2,2
1815,2,1
1817,2,5
1819,3,2
1821,2,2
1823,4,2
1824,5,2
1825,4,2
1827,3,2
1829,5,2
1830,5,2
1831,5,2
1832,2,1
1833,2,1
1834,1,2
1839,3,5
1846,3,1
1848,4,1
1853,4,2
1856,4,1
1865,5,1
1869,3,1
1876,2,1
1882,1,5
1887,1,1
1890,5,1
1891,2,4
1892,5,4
1894,2,4
1897,1,4
1898,5,4
1901,3,4
1902,4,4
1903,4,4
1904,1,4
1905,4,4
1907,5,4
1908,5,4
1909,5,4
1910,3,4
1913,3,4
1924,3,4
1925,4,4
1928,3,4
1932,1,4
1933,5,4
1935,5,4
1940,2,4
1942,2,4
1946,4,4
1955,1,4
1966,1,4
1967,5,4
1968,2,4
1971,5,4
1983,1,5
1984,3,2
1985,4,5
1988,3,5
1989,4,5
1991,5,5
1992,2,5
1993,1,5
1994,2,5
1995,4,5
1996,5,2
1997,3,2
