"muni_idx","fold_aleatorio","fold_contiguo"
1,5,3
3,3,3
4,1,3
6,3,3
9,2,3
10,5,3
12,3,2
13,2,2
14,5,2
15,1,2
17,4,2
18,5,2
19,2,2
21,4,2
22,1,2
23,4,2
24,1,4
25,1,4
28,2,4
29,2,4
30,3,4
31,5,4
32,5,4
33,1,4
35,4,4
36,5,4
38,4,2
39,3,2
41,1,3
45,5,2
46,1,2
47,1,2
48,5,2
50,3,3
54,2,2
56,2,2
70,3,2
76,3,5
77,4,4
78,3,4
79,2,5
80,3,4
81,3,5
82,1,4
83,5,5
84,1,4
85,2,5
87,4,5
91,3,5
92,4,5
95,1,5
97,1,5
101,3,5
105,5,5
109,3,5
113,3,5
127,1,5
129,2,5
131,1,5
133,3,5
135,2,5
146,1,5
148,2,5
154,2,5
156,5,5
158,3,5
159,4,5
179,4,5
182,5,5
188,5,5
191,3,5
199,4,5
201,2,5
221,3,2
222,1,2
223,5,2
224,5,2
225,1,2
229,2,2
231,2,2
234,3,2
235,4,2
237,2,2
241,1,2
242,2,2
244,3,2
259,1,2
260,3,2
262,3,2
273,4,2
275,1,2
276,4,1
277,5,1
278,5,1
279,5,1
280,3,1
281,3,1
282,5,1
283,5,1
284,4,1
285,5,1
286,2,1
287,5,1
288,5,1
289,3,1
290,4,1
291,3,1
292,5,3
293,3,2
299,3,2
303,5,2
305,2,2
308,2,2
309,2,2
312,5,2
314,5,2
316,5,2
321,4,2
322,1,2
326,4,2
327,4,2
331,1,4
332,3,3
334,1,3
336,4,4
338,5,5
339,2,5
340,1,3
341,3,3
342,1,3
343,1,3
345,1,3
347,3,3
348,2,3
349,4,3
350,5,3
351,5,3
352,4,3
353,4,3
354,4,5
355,5,3
356,1,3
357,5,3
359,5,3
360,3,3
361,3,3
363,3,3
364,5,4
365,1,3
366,3,3
367,3,3
368,4,3
370,3,3
371,2,3
373,5,3
374,4,3
375,5,3
376,3,3
378,4,1
385,5,5
388,2,1
389,5,4
392,3,2
393,2,1
395,4,1
398,1,5
399,5,2
402,3,2
404,2,1
412,4,1
415,3,1
423,1,5
427,1,2
435,4,1
437,1,4
440,5,1
450,3,5
455,3,2
463,2,5
466,1,5
468,3,5
474,4,5
475,5,2
477,4,4
482,1,2
488,2,4
491,1,2
492,3,4
495,4,2
498,3,4
501,1,4
503,2,5
504,4,2
506,4,2
507,2,5
510,5,5
523,5,5
527,2,2
530,3,2
532,1,5
543,1,2
549,4,3
559,3,3
570,3,3
580,3,3
588,3,3
591,2,4
596,3,3
597,3,3
603,2,3
607,5,3
616,2,3
625,1,3
634,2,3
640,5,3
647,5,3
662,1,3
666,1,3
671,3,1
677,1,1
678,1,1
681,2,2
682,3,1
683,4,5
688,3,1
692,1,1
694,4,1
695,5,1
698,4,2
699,5,1
705,2,2
707,4,2
708,4,2
709,2,4
710,2,2
713,5,1
718,1,2
719,3,1
720,4,4
724,2,1
725,4,2
726,2,5
734,5,2
736,1,1
738,3,1
743,2,2
749,2,5
750,2,1
751,5,1
759,4,1
760,1,4
761,1,1
766,2,2
770,5,1
771,4,1
774,2,1
776,5,5
777,2,4
778,4,2
788,1,1
789,5,2
792,3,1
793,2,1
795,2,5
802,3,4
809,2,5
819,4,4
821,4,5
824,5,4
828,4,4
837,1,5
839,2,5
850,3,4
851,1,2
852,1,4
854,3,4
858,2,5
867,2,3
873,1,5
877,2,2
883,1,5
885,4,4
886,5,3
889,3,4
892,4,4
894,3,5
902,4,5
906,4,4
910,2,1
911,5,1
915,3,1
916,4,1
917,3,1
919,4,1
921,4,1
926,3,1
928,1,1
931,4,1
933,2,1
934,5,1
935,4,1
936,4,1
937,2,1
938,2,1
939,1,1
940,2,1
941,4,1
943,1,1
948,3,3
949,4,3
952,5,3
953,5,3
954,5,3
956,1,3
957,3,3
958,2,3
959,2,3
960,3,3
963,4,3
964,3,3
966,2,3
967,5,2
971,2,3
972,5,3
973,3,3
974,4,2
975,1,3
978,5,3
980,4,3
981,5,3
982,1,3
985,4,3
986,2,3
990,4,3
995,2,3
996,4,3
998,3,3
1007,3,4
1031,4,5
1056,3,1
1062,2,5
1077,1,4
1086,2,5
1113,3,4
1117,3,1
1126,5,5
1139,5,5
1175,4,5
