"muni_idx","fold_aleatorio","fold_contiguo"
1,2,3
3,1,3
4,2,3
6,1,3
9,3,3
10,1,3
12,3,2
13,1,2
14,2,2
15,3,2
17,1,2
18,5,2
19,2,2
21,1,2
22,4,2
23,2,2
24,3,4
25,3,4
28,4,4
29,3,4
31,3,4
33,4,4
35,1,4
36,4,4
38,1,3
39,1,3
41,2,3
45,4,3
46,3,3
47,4,3
48,5,3
50,2,3
54,4,3
56,2,3
70,5,3
76,4,2
77,2,2
78,1,2
79,5,2
80,5,2
81,1,2
82,2,2
83,2,2
84,1,2
85,4,5
87,3,5
91,4,5
92,3,5
95,5,5
97,1,5
101,5,5
105,1,5
127,3,5
131,3,5
133,5,5
135,2,5
148,4,5
156,1,5
158,3,5
159,3,5
179,2,5
182,1,5
188,3,5
199,1,5
201,4,5
221,4,2
222,5,2
224,2,2
225,5,2
229,1,2
231,2,2
234,4,2
235,5,2
237,1,2
241,3,2
244,4,2
259,4,2
260,3,2
262,2,2
273,5,3
275,4,2
276,4,1
277,2,1
278,1,5
279,5,4
280,3,1
281,1,1
282,4,1
283,3,1
284,2,1
285,5,5
286,3,4
287,1,1
288,5,5
289,3,1
290,3,4
291,2,5
292,2,3
293,1,2
299,4,2
303,2,2
305,5,3
308,2,2
309,1,2
312,5,2
314,1,2
316,5,3
321,1,3
322,4,2
326,3,2
327,5,3
331,1,5
332,2,3
334,2,5
336,3,4
338,3,5
339,1,4
340,4,4
341,5,3
342,1,3
343,5,3
345,3,3
347,2,5
348,4,4
349,2,3
350,1,4
351,3,3
352,1,3
353,2,3
354,4,5
355,5,3
356,5,3
357,5,3
359,1,3
360,3,5
361,1,3
363,1,5
364,4,4
365,5,4
366,5,3
367,2,4
368,5,5
370,4,4
371,1,3
373,2,3
374,3,4
375,4,3
376,3,5
378,4,1
385,2,1
388,4,1
389,1,1
392,4,1
393,3,1
395,3,1
398,4,1
399,5,2
404,5,1
412,4,1
415,4,1
423,4,1
427,1,1
435,2,1
437,5,1
440,5,1
450,3,1
455,2,1
463,2,5
466,1,4
468,5,5
474,3,5
475,5,5
477,5,4
482,3,4
488,3,5
491,2,2
492,4,5
495,5,4
498,5,5
501,2,4
503,5,5
504,1,2
506,5,4
507,2,4
510,4,4
523,3,4
527,5,5
532,1,4
543,5,5
549,4,2
559,4,2
570,3,2
580,2,2
588,5,3
591,2,4
596,4,5
597,3,2
603,4,4
607,4,4
616,1,2
634,1,3
640,5,3
647,3,3
662,1,3
666,2,3
671,2,1
677,1,1
678,3,1
681,4,1
682,5,1
683,4,2
688,2,4
692,1,5
694,3,4
695,3,1
698,2,5
699,2,1
705,1,2
707,2,1
708,4,2
709,4,2
710,1,2
718,5,1
719,5,1
720,5,1
725,3,2
734,4,1
736,2,1
738,1,4
743,4,2
749,5,1
750,2,1
751,2,5
759,2,4
760,5,2
761,4,5
766,5,1
770,1,4
771,4,5
774,4,1
776,5,5
777,2,5
778,1,2
788,4,1
789,2,1
792,1,1
793,1,1
795,2,2
802,2,2
809,5,2
819,4,1
821,4,2
824,4,2
828,5,2
837,5,2
839,5,2
850,4,2
851,1,2
852,4,2
854,1,2
858,3,2
867,2,4
873,4,2
877,5,2
883,5,5
885,3,2
886,2,5
889,2,2
894,1,2
902,2,2
906,5,1
910,2,1
911,1,1
915,2,1
916,3,1
917,4,1
919,2,1
921,4,1
926,5,1
928,3,1
931,1,1
933,2,1
934,4,1
935,1,1
936,2,1
937,1,1
938,4,1
939,3,1
940,3,1
941,1,1
943,1,1
948,4,3
949,4,3
952,3,3
953,3,3
954,5,3
956,3,3
957,1,3
958,5,3
959,2,3
960,1,2
963,3,3
964,3,3
966,4,3
967,2,3
971,2,3
972,4,3
973,5,3
974,5,3
975,2,3
980,3,3
981,4,3
985,4,3
986,1,3
990,2,3
995,4,3
996,5,3
998,2,3
1031,4,4
1056,4,4
1062,1,4
1077,3,1
1086,5,5
1113,5,1
1126,2,5
1139,1,5
1175,1,5
1188,3,5
1192,4,5
1193,4,1
1224,2,1
1248,3,5
1276,1,5
1346,3,4
1356,2,4
1374,5,1
1433,1,1
1474,2,4
1475,2,1
1483,4,1
1500,5,5
1512,4,4
1515,5,1
1517,5,4
1520,2,5
1531,5,4
1565,2,4
1566,5,1
1569,3,5
1592,4,4
1598,3,5
1602,3,1
1608,3,1
1620,5,1
1623,1,1
1626,1,5
1629,2,1
1632,3,4
1640,5,1
1654,3,1
1666,5,5
1678,5,1
1695,4,5
1735,2,1
1751,2,1
1756,2,4
1757,1,1
1758,4,4
1763,4,4
1774,4,5
1780,3,1
1785,2,5
1792,4,1
1798,5,4
1800,4,5
1803,2,5
1805,2,4
1807,2,3
1808,5,4
1810,2,5
1812,3,5
1814,3,4
1815,1,4
1817,4,5
1819,3,4
1821,4,4
1823,1,4
1824,2,4
1825,1,4
1827,1,4
1829,3,4
1830,2,4
1831,4,4
1832,4,3
1833,1,3
1834,5,5
1839,3,5
1846,1,3
1848,5,3
1853,3,4
1856,1,3
1865,1,3
1869,2,3
1876,5,3
1882,3,4
1887,3,3
1890,1,3
1891,4,2
1892,5,2
1894,3,2
1897,4,2
1898,2,2
1901,2,2
1902,3,2
1903,3,2
1904,1,2
1905,2,2
1907,5,2
1908,2,2
1909,1,2
1910,2,2
1913,1,2
1924,3,2
1925,3,2
1928,1,2
1932,3,2
1933,5,2
1935,2,2
1940,1,2
1942,1,2
1946,4,2
1955,3,2
1966,1,2
1967,2,2
1968,4,2
1971,1,2
1983,2,5
1984,4,4
1985,3,5
1988,5,5
1989,1,5
1991,1,5
1992,4,5
1993,3,5
1994,2,5
1995,3,5
1996,5,4
1997,3,4
1998,3,4
2000,2,3
2001,3,3
2010,1,5
2012,3,3
2014,4,3
2015,3,3
2016,4,3
2020,1,3
2023,5,4
2026,5,3
2030,5,3
2032,1,3
2038,4,5
2042,3,3
2043,2,1
2046,2,1
2048,3,1
2051,3,1
2056,4,1
2057,4,1
2058,2,4
2059,1,1
2062,4,1
2066,1,1
2067,1,1
2068,5,1
2072,4,1
2073,2,1
2076,3,1
2077,5,1
2078,3,1
2080,3,1
2081,5,1
2084,5,1
2085,3,4
2088,1,1
2089,5,1
2091,1,1
2112,1,4
2113,3,5
2118,1,5
2123,4,5
2127,1,5
2134,5,4
2155,5,4
2157,5,5
2163,4,5
2166,3,5
2168,2,5
2169,1,4
2187,1,5
2202,3,5
2205,1,4
2214,3,5
2222,3,4
2227,2,4
2229,4,4
2233,1,5
2243,3,4
2250,3,5
2277,5,5
2280,5,5
2281,3,5
2288,2,4
2291,2,5
2298,4,5
2299,4,5
2303,5,4
2307,3,4
2311,1,4
2314,2,5
2318,5,4
2333,3,4
2335,5,4
2348,2,4
2349,2,4
2363,5,4
2365,1,4
2374,5,4
2376,4,4
2378,3,4
2383,4,4
2385,1,4
2387,4,4
2404,2,4
2408,1,4
2409,5,4
2410,2,4
2414,5,4
2422,5,3
2425,3,3
2426,1,3
2428,4,3
2430,5,3
2431,2,3
2433,2,3
2436,3,3
2439,5,3
2441,4,3
2451,5,3
2455,2,3
2463,4,3
2464,3,3
2466,5,3
2467,1,3
2468,4,3
2469,5,3
2471,4,3
2473,3,3
