"muni_idx","fold_aleatorio","fold_contiguo"
1,2,3
3,1,3
4,2,3
6,1,3
9,3,3
10,1,3
12,3,2
13,1,2
14,2,2
15,3,2
17,1,2
18,5,2
19,2,2
21,1,2
22,4,2
23,2,2
24,3,1
25,3,1
28,4,1
29,3,1
30,3,1
31,4,5
33,1,5
35,4,1
36,1,5
38,1,2
39,2,2
41,4,3
45,3,2
46,4,2
47,5,2
48,2,2
50,2,1
54,2,2
56,5,2
70,4,2
76,2,5
77,1,5
78,5,5
79,3,5
80,1,5
81,2,5
82,2,5
83,1,5
84,4,5
85,3,1
87,3,1
91,1,1
92,4,1
95,2,1
97,3,1
101,1,1
105,3,1
109,1,1
127,4,1
129,3,1
131,2,1
133,5,1
135,1,1
148,4,1
154,3,1
156,1,1
158,3,1
159,4,1
179,4,1
182,1,1
188,2,1
191,5,1
199,4,1
201,4,1
221,2,2
222,1,2
224,5,2
225,3,2
229,1,2
231,4,2
234,3,2
235,2,2
237,5,2
241,2,2
242,3,2
244,1,2
259,5,2
260,3,2
262,3,2
273,2,2
275,2,2
276,1,4
277,4,4
278,2,4
279,5,4
280,2,4
281,1,4
282,5,4
283,1,4
284,5,4
285,1,4
286,2,4
287,3,4
288,5,4
289,1,4
290,2,4
291,2,4
292,5,3
293,1,2
299,1,2
303,5,2
305,5,2
308,1,2
309,5,2
312,3,2
314,2,2
316,2,2
321,1,2
322,5,2
326,3,2
327,1,2
331,2,3
332,4,3
334,3,3
336,4,3
338,5,3
339,4,3
340,3,3
341,4,3
342,2,3
343,1,3
345,2,3
347,1,3
348,1,3
349,4,3
350,5,3
351,4,3
352,1,3
353,2,3
354,4,3
355,4,3
356,2,3
357,3,3
359,4,3
360,3,3
361,2,3
363,2,3
364,4,3
365,1,3
366,3,3
367,3,3
368,1,3
370,3,3
371,1,3
373,4,3
374,5,3
375,4,3
376,2,3
378,4,4
385,1,1
388,5,2
389,5,1
392,5,2
393,2,4
395,2,4
398,2,4
399,5,5
402,5,2
404,3,4
412,5,4
415,5,4
423,3,1
427,3,5
435,5,4
437,4,4
440,5,4
450,1,4
455,2,2
463,3,5
466,1,5
468,5,5
474,5,5
475,1,2
477,4,5
482,3,2
488,5,4
491,3,2
492,5,5
495,4,2
498,4,5
501,3,5
503,2,1
504,3,2
506,5,2
507,2,5
510,1,5
523,2,5
527,3,2
532,4,4
543,4,2
549,1,3
559,1,3
570,5,3
580,3,3
588,1,3
591,1,5
596,2,3
597,1,3
603,3,3
607,4,3
616,5,2
634,4,2
640,2,3
647,4,3
662,1,3
666,3,3
671,3,2
677,5,4
678,1,5
681,2,5
682,2,4
683,2,5
688,4,4
692,2,4
694,3,4
695,3,4
698,5,4
699,5,4
705,5,2
707,5,5
708,3,2
709,4,5
710,5,4
713,4,4
718,4,4
719,2,4
720,5,4
724,5,4
725,3,4
726,2,5
734,5,4
736,4,4
738,3,4
743,1,4
749,4,4
750,2,4
751,5,4
759,1,4
760,2,5
761,1,4
766,4,4
770,2,4
771,4,4
774,3,4
776,2,5
777,2,3
778,3,2
788,4,4
789,4,4
792,4,4
793,5,4
795,4,5
802,5,1
809,5,3
819,3,5
821,1,3
824,4,1
828,2,3
837,3,3
839,2,5
850,4,1
851,2,5
852,5,5
854,3,5
858,2,5
867,1,3
873,2,5
877,2,5
883,5,3
885,2,3
886,5,3
889,4,1
892,2,5
894,4,5
902,4,3
906,1,5
910,4,4
911,5,4
915,5,4
916,4,4
917,2,4
919,4,4
921,5,4
926,5,4
928,5,4
931,4,4
933,1,4
934,1,4
935,1,4
936,1,4
937,4,4
938,4,4
939,1,4
940,3,4
941,3,4
943,3,4
948,1,2
949,5,2
952,3,3
953,1,3
954,1,3
956,1,3
957,5,3
958,5,3
959,2,3
960,1,2
963,2,3
964,5,3
966,4,1
967,4,2
971,1,5
972,3,1
973,5,1
974,4,2
975,4,5
978,2,1
980,2,5
981,2,1
982,2,5
985,2,1
986,5,5
990,2,5
995,2,1
996,1,3
998,4,5
1031,4,1
1056,5,1
1062,4,1
1077,1,1
1086,2,1
1113,2,1
1126,1,1
1139,4,1
1175,4,1
1188,2,1
1192,5,1
1193,2,1
1224,3,1
1248,2,1
1276,3,1
1346,5,1
1356,5,1
1374,1,1
1433,1,1
1474,5,1
1475,5,1
1483,5,1
1500,3,1
1512,5,1
1515,5,1
1517,4,1
1520,3,1
1531,2,1
1565,3,1
1566,1,1
1569,1,1
1592,1,2
1598,2,5
1602,1,4
1608,1,4
1620,4,5
1623,4,1
1626,4,5
1629,4,4
1632,1,5
1640,3,1
1654,3,4
1666,3,5
1678,1,4
1695,2,5
1722,2,4
1735,3,4
1751,2,4
1756,2,1
1757,4,4
1758,5,5
1763,1,5
1774,4,5
1780,1,4
1785,2,2
1792,5,4
1798,2,2
1800,4,2
1803,4,3
1805,4,3
1807,5,3
1808,2,3
1810,1,3
1812,4,3
1814,3,3
1815,2,3
1817,1,3
1819,5,3
1821,5,5
1823,1,5
1824,4,5
1825,4,5
1827,5,5
1829,3,5
1830,3,5
1831,3,5
1832,4,3
1833,5,3
1834,5,5
1839,3,5
1846,3,3
1848,5,3
1853,1,5
1856,4,3
1865,4,3
1869,2,3
1876,3,3
1882,3,5
1887,3,3
1890,4,3
1891,4,2
1892,5,2
1894,5,2
1897,4,2
1898,3,2
1901,1,2
1902,2,2
1903,2,2
1904,2,2
1905,3,2
1907,4,2
1908,5,2
1909,5,2
1910,5,2
1913,3,2
1924,1,2
1925,2,2
1928,4,2
1932,5,2
1933,2,2
1935,4,2
1940,5,2
1942,3,2
1946,4,2
1955,1,2
1966,1,2
1967,5,2
1968,3,2
1971,1,2
1983,5,1
1984,3,1
1985,4,1
1988,5,1
1989,4,1
1991,3,1
1992,5,1
1993,1,1
1994,3,1
1995,2,1
1996,2,1
1997,3,1
1998,5,1
1999,3,1
2000,1,5
2001,1,5
2010,4,5
2012,2,5
2014,1,5
2015,3,5
2016,1,5
2020,3,5
2023,3,5
2026,5,2
2030,1,5
2032,3,5
2038,1,5
2042,5,5
2043,3,4
2046,3,4
2048,4,4
2051,2,4
2056,2,4
2057,3,4
2058,1,4
2059,5,4
2062,1,4
2066,3,4
2067,5,4
2068,5,4
2072,3,4
2073,3,4
2076,3,4
2077,5,4
2078,2,4
2079,3,4
2080,1,4
2081,5,4
2084,2,4
2085,4,4
2088,4,4
2089,3,4
2091,3,4
2096,1,4
2100,2,4
2112,5,5
2113,4,2
2118,1,1
2123,5,1
2127,2,2
2134,4,2
2155,2,1
2157,4,1
2163,5,2
2166,3,1
2168,3,1
2169,3,5
2187,3,5
2202,3,1
2205,4,5
2214,3,1
2222,1,1
2227,2,1
2229,5,2
2233,5,1
2243,3,1
2250,2,1
2277,2,1
2280,5,5
2281,2,2
2288,5,1
2291,5,2
2298,3,1
2299,1,1
2303,4,5
2307,3,5
2311,2,1
2314,3,5
2318,3,5
2333,1,5
2335,2,5
2348,1,5
2349,1,5
2363,4,5
2365,5,5
2374,1,5
2376,1,5
2378,1,5
2383,2,5
2385,5,5
2387,2,5
2404,3,5
2408,1,5
2409,4,5
2410,1,5
2414,5,5
2422,4,3
2425,2,3
2426,4,3
2428,5,3
2430,5,3
2431,4,3
2433,1,3
2436,5,3
2439,4,3
2441,1,3
2451,1,3
2455,3,3
2463,3,3
2464,4,3
2466,4,3
2467,4,3
2468,1,3
2469,2,3
2471,2,3
2473,4,3
