"muni_id","motivo","nomgeo"
"02007","sin_celdas_censo","San Felipe"
"04013","sin_celdas_censo","Dzitbalché"
"12082","sin_celdas_censo","Las Vigas"
"12083","sin_celdas_censo","Ñuu Savi"
"12084","sin_celdas_censo","Santa Cruz del Rincón"
"12085","sin_celdas_censo","San Nicolás"
"24059","sin_celdas_censo","Villa de Pozos"
"25019","sin_celdas_censo","Eldorado"
"25020","sin_celdas_censo","Juan José Ríos"
"04012","sin_pobreza_coneval","Seybaplaya"
"07125","sin_pobreza_coneval","Honduras de la Sierra"
"29048","sin_pobreza_coneval","La Magdalena Tlaltelulco"
