"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
1,0.763745221548363,0.246729510937822,-51.7015710610541,"01","005","Jesús María"
3,0.785291442781253,0.543187590227546,-24.2103852553707,"01","001","Aguascalientes"
4,0.464328107689322,0.243441715681996,-22.0886392007325,"01","004","Cosío"
6,0.503966444247677,0.28100077162781,-22.2965672619867,"01","006","Pabellón de Arteaga"
9,0.641086268692792,0.471393920856262,-16.9692347836529,"01","002","Asientos"
10,0.725876955596469,0.417121173931868,-30.8755781664601,"01","009","Tepezalá"
12,0.671648281382595,0.424387702572585,-24.726057881001,"02","003","Tecate"
13,0.768361808591136,0.553444743930148,-21.4917064660988,"02","004","Tijuana"
14,0.61709893675428,0.320429748170094,-29.6669188584186,"02","001","Ensenada"
15,0.442008012917982,0.262086643070273,-17.9921369847709,"02","006","San Quintín"
17,0.527630100662974,0.318630474697462,-20.8999625965512,"02","002","Mexicali"
18,0.729524483313959,0.573962885887288,-15.5561597426671,"02","005","Playas de Rosarito"
19,0.565094872278831,0.346608129920634,-21.8486742358197,"03","002","Mulegé"
21,0.561091394405782,0.346856338313783,-21.4235056091999,"03","008","Los Cabos"
22,0.642935869605814,0.377294259879685,-26.5641609726129,"03","003","La Paz"
23,0.769170180247732,0.491832341341556,-27.7337838906176,"03","001","Comondú"
24,0.669440085543052,0.48398060766898,-18.5459477874072,"04","003","Carmen"
25,0.734456323236417,0.5372677816472,-19.7188541589217,"04","007","Palizada"
28,0.469732217011753,0.214698561783988,-25.5033655227765,"04","004","Champotón"
29,0.55787599533437,0.435195815700299,-12.2680179634071,"04","011","Candelaria"
30,0.727501620857143,0.597241330311448,-13.0260290545694,"04","012","Seybaplaya"
31,0.628241596571297,0.448381839291552,-17.9859757279746,"04","002","Campeche"
32,0.471137012294043,0.249482410782065,-22.1654601511978,"04","006","Hopelchén"
33,0.505600825480766,0.227260425517789,-27.8340399962978,"04","001","Calkiní"
35,0.727639212703724,0.322374101780083,-40.5265110923641,"04","009","Escárcega"
36,0.414998020215279,0.245005286671896,-16.9992733543383,"04","008","Tenabo"
38,0.575489377278302,0.348142707961831,-22.734666931647,"05","017","Matamoros"
39,0.633390852510196,0.389708904379713,-24.3681948130483,"05","018","Monclova"
41,0.638151690716846,0.356422579296205,-28.1729111420641,"05","035","Torreón"
45,0.672469486639383,0.445580128339644,-22.6889358299739,"05","024","Parras"
46,0.631955381660044,0.23173045359835,-40.0224928061694,"05","026","Progreso"
47,0.573610810043826,0.326499670243194,-24.7111139800632,"05","027","Ramos Arizpe"
48,0.755930711860628,0.542801720987896,-21.3128990872732,"05","025","Piedras Negras"
50,0.556029323318724,0.364747443442629,-19.1281879876095,"05","030","Saltillo"
54,0.578829160068839,0.361149719730949,-21.7679440337889,"05","002","Acuña"
56,0.630439949102669,0.373656381626188,-25.6783567476481,"05","033","San Pedro"
70,0.461051232837258,0.234157179166979,-22.6894053670279,"05","038","Zaragoza"
76,0.711243248116586,0.291913305069531,-41.9329943047054,"06","002","Colima"
77,0.704114059809424,0.55016738677558,-15.3946673033844,"06","005","Cuauhtémoc"
78,0.672651975013515,0.451873616864899,-22.0778358148616,"06","008","Minatitlán"
79,0.697141204601819,0.411043392327773,-28.6097812274046,"06","001","Armería"
80,0.659509097169036,0.457595920940745,-20.1913176228291,"06","004","Coquimatlán"
81,0.51107046440063,0.348813977043611,-16.2256487357018,"06","010","Villa de Álvarez"
82,0.681945749487665,0.511940428425308,-17.0005321062358,"06","003","Comala"
83,0.719009769702421,0.321601900916027,-39.7407868786394,"06","007","Manzanillo"
84,0.648820677269794,0.381529140447793,-26.7291536822001,"06","009","Tecomán"
85,0.586963603422575,0.410090162230315,-17.687344119226,"07","019","Comitán de Domínguez"
87,0.595376706167694,0.315755438346649,-27.9621267821044,"07","020","La Concordia"
91,0.401657265123207,0.198620046199459,-20.3037218923748,"07","108","Villaflores"
92,0.493438214864838,0.308121288410816,-18.5316926454022,"07","107","Villa Corzo"
95,0.722766463562572,0.360085287949029,-36.2681175613543,"07","103","Tuzantán"
97,0.641925528035824,0.504710253205847,-13.7215274829977,"07","101","Tuxtla Gutiérrez"
101,0.414054559020487,0.317722933000719,-9.63316260197681,"07","057","Motozintla"
105,0.688357120753291,0.515744992646304,-17.2612128106987,"07","076","Sabanilla"
109,0.531131826076851,0.337799050207725,-19.3332775869125,"07","051","Mapastepec"
113,0.439913370806438,0.276073883198276,-16.3839487608162,"07","022","Chalchihuitán"
127,0.469488387466679,0.23906689126103,-23.042149620565,"07","052","Las Margaritas"
129,0.719261435930345,0.522958321502093,-19.6303114428252,"07","083","Socoltenango"
131,0.545619961123904,0.335633453209759,-20.9986507914144,"07","089","Tapachula"
133,0.754207172744099,0.477413860229135,-27.6793312514965,"07","027","Chiapa de Corzo"
135,0.459754824731105,0.291384973524743,-16.8369851206362,"07","046","Jiquipilas"
146,0.315443910139067,0.169556086552755,-14.5887823586312,"07","008","Ángel Albino Corzo"
148,0.755520721513399,0.556105940558704,-19.9414780954695,"07","031","Chilón"
154,0.692614750320302,0.319656137338056,-37.2958612982246,"07","058","Nicolás Ruíz"
156,0.483248038353099,0.308411097998484,-17.4836940354615,"07","040","Huixtla"
158,0.599205177445511,0.267087208858771,-33.211796858674,"07","039","Huitiupán"
159,0.486242844587252,0.30447019614784,-18.1772648439411,"07","099","La Trinitaria"
179,0.664092642238506,0.452023557102695,-21.2069085135812,"07","013","Bochil"
182,0.783797693606736,0.519275140993001,-26.4522552613735,"07","094","Teopisca"
188,0.725586514984243,0.518467462339787,-20.7119052644456,"07","078","San Cristóbal de las Casas"
191,0.685295174270354,0.539585720537003,-14.5709453733351,"07","115","Maravilla Tenejapa"
199,0.647058380571156,0.459171077505652,-18.7887303065504,"07","061","Ocozocoautla de Espinosa"
201,0.552932293474073,0.320406116323973,-23.2526177150099,"07","087","Suchiate"
221,0.612829784205113,0.519488313383614,-9.33414708214993,"08","050","Nuevo Casas Grandes"
222,0.69774241256629,0.551894931836262,-14.5847480730028,"08","031","Guerrero"
223,0.436451298688646,0.363825082271488,-7.26262164171581,"08","055","Rosales"
224,0.554642939970998,0.321319502945677,-23.3323437025321,"08","025","Gómez Farías"
225,0.513413445769776,0.242153215354558,-27.1260230415218,"08","023","Galeana"
229,0.679781109980012,0.521240819376768,-15.8540290603244,"08","021","Delicias"
231,0.734750806919807,0.413702512645695,-32.1048294274112,"08","017","Cuauhtémoc"
234,0.574005639318936,0.379735734209305,-19.4269905109631,"08","052","Ojinaga"
235,0.699667369545475,0.303361999623493,-39.6305369921982,"08","013","Casas Grandes"
237,0.660154428315698,0.453773375420265,-20.6381052895433,"08","011","Camargo"
241,0.839939071056987,0.53887234257999,-30.1066728476996,"08","006","Bachíniva"
242,0.619530669267627,0.3778988348496,-24.1631834418028,"08","004","Aquiles Serdán"
244,0.794993894311065,0.709885047250702,-8.51088470603629,"08","032","Hidalgo del Parral"
259,0.639761666845459,0.416066404244094,-22.3695262601366,"08","019","Chihuahua"
260,0.496704612129774,0.336563824932646,-16.0140787197128,"08","064","El Tule"
262,0.704263176519041,0.425360787617676,-27.8902388901365,"08","037","Juárez"
273,0.829214347671661,0.61529143577058,-21.3922911901081,"08","036","Jiménez"
275,0.668474857971996,0.557586086796924,-11.0888771175072,"08","002","Aldama"
276,0.738913771012982,0.600473617454168,-13.8440153558813,"09","012","Tlalpan"
277,0.769890561884038,0.566896437519203,-20.2994124364835,"09","009","Milpa Alta"
278,0.775073526627799,0.505288082179767,-26.9785444448032,"09","015","Cuauhtémoc"
279,0.813357816229962,0.582012895555821,-23.1344920674141,"09","007","Iztapalapa"
280,0.798304836551413,0.592901800692597,-20.5403035858816,"09","008","La Magdalena Contreras"
281,0.718035286182653,0.475313909336482,-24.2721376846172,"09","010","Álvaro Obregón"
282,0.814618869172449,0.456361416143032,-35.8257453029417,"09","003","Coyoacán"
283,0.708585084286685,0.394875881754237,-31.3709202532449,"09","016","Miguel Hidalgo"
284,0.785927742094688,0.408207190965071,-37.7720551129617,"09","004","Cuajimalpa de Morelos"
285,0.750639186899258,0.601569794421987,-14.906939247727,"09","006","Iztacalco"
286,0.832030440934237,0.6897434587197,-14.2286982214537,"09","011","Tláhuac"
287,0.524770945818733,0.351206375726146,-17.3564570092586,"09","013","Xochimilco"
288,0.632392651048386,0.414893782996485,-21.7498868051902,"09","005","Gustavo A. Madero"
289,0.845861494988377,0.72358837966238,-12.2273115325997,"09","002","Azcapotzalco"
290,0.543645016733804,0.36684909370713,-17.6795923026675,"09","017","Venustiano Carranza"
291,0.615896140643919,0.403245184422286,-21.2650956221633,"09","014","Benito Juárez"
292,0.755904337273865,0.598570102960035,-15.733423431383,"10","006","General Simón Bolívar"
293,0.621483370867763,0.35356106581729,-26.7922305050473,"10","008","Guadalupe Victoria"
299,0.665088990597483,0.419333503334539,-24.5755487262944,"10","038","Vicente Guerrero"
303,0.653419633263413,0.526529286484895,-12.6890346778518,"10","032","Santiago Papasquiaro"
305,0.637521501016658,0.452453349849713,-18.5068151166945,"10","007","Gómez Palacio"
308,0.741712386102366,0.483128729194905,-25.8583656907461,"10","022","Poanas"
309,0.738703471832396,0.409501204137315,-32.920226769508,"10","028","San Juan del Río"
312,0.722355725329982,0.500819935223278,-22.1535790106704,"10","005","Durango"
314,0.651686592217981,0.494637161370704,-15.7049430847277,"10","033","Súchil"
316,0.697790950589926,0.438329127050662,-25.9461823539264,"10","012","Lerdo"
321,0.604247063429546,0.396732041941402,-20.7515021488144,"10","013","Mapimí"
322,0.806006103604056,0.494061490669416,-31.194461293464,"10","016","Nombre de Dios"
326,0.581562000491546,0.395032039176594,-18.6529961314952,"10","039","Nuevo Ideal"
327,0.675453413629972,0.343697279659052,-33.175613397092,"10","021","Peñón Blanco"
331,0.487536795888836,0.336314894900674,-15.1221900988163,"11","019","Jerécuaro"
332,0.75394758848939,0.481172361666057,-27.2775226823333,"11","020","León"
334,0.700497220098658,0.504593706164901,-19.5903513933757,"11","023","Pénjamo"
336,0.70990825568439,0.57229950528124,-13.760875040315,"11","039","Tarimoro"
338,0.593846688127431,0.398681789558378,-19.5164898569053,"11","041","Uriangato"
339,0.699518196352908,0.445482343659615,-25.4035852693293,"11","002","Acámbaro"
340,0.456233397914298,0.251944524747787,-20.4288873166511,"11","012","Cuerámaro"
341,0.569308135607518,0.407741060456733,-16.1567075150785,"11","013","Doctor Mora"
342,0.80210749739699,0.411501033143618,-39.0606464253373,"11","014","Dolores Hidalgo Cuna de la Independencia Nacional"
343,0.593671092527594,0.334961041700204,-25.871005082739,"11","022","Ocampo"
345,0.601074259963956,0.42911081414056,-17.1963445823396,"11","030","San Felipe"
347,0.599612532461541,0.325036642975374,-27.4575889486167,"11","007","Celaya"
348,0.473875997259757,0.297320979393355,-17.6555017866402,"11","027","Salamanca"
349,0.673311234558923,0.31272720147826,-36.0584033080663,"11","035","Santa Cruz de Juventino Rosas"
350,0.781290730487523,0.632227210257673,-14.9063520229851,"11","011","Cortazar"
