muni_idx,prev_ESH,prev_AHA,diferencia_pp,cve_ent,cve_mun,nomgeo,suprimir_privacidad
1,,,,01,005,Jesús María,TRUE
3,0.718138534544649,0.492985085719218,-22.5153448825431,01,001,Aguascalientes,FALSE
4,,,,01,004,Cosío,TRUE
6,,,,01,006,Pabellón de Arteaga,TRUE
9,,,,01,002,Asientos,TRUE
10,0.626574371137043,0.43883214157172,-18.7742229565323,01,009,Tepezalá,FALSE
12,,,,02,003,Tecate,TRUE
13,0.658981972409574,0.300409333075733,-35.8572639333841,02,004,Tijuana,FALSE
14,0.565924825052092,0.322225504339291,-24.3699320712801,02,001,Ensenada,FALSE
15,,,,02,006,San Quintín,TRUE
17,0.600916478994095,0.33162621011498,-26.9290268879114,02,002,Mexicali,FALSE
18,,,,02,005,Playas de Rosarito,TRUE
19,,,,03,002,Mulegé,TRUE
21,0.720527738964979,0.540926013345907,-17.9601725619072,03,008,Los Cabos,FALSE
22,0.764968225945775,0.612168790293422,-15.2799435652353,03,003,La Paz,FALSE
23,0.53071393410977,0.350346698266681,-18.036723584309,03,001,Comondú,FALSE
24,0.529229559838281,0.269342753013659,-25.9886806824623,04,003,Carmen,FALSE
25,,,,04,007,Palizada,TRUE
28,,,,04,004,Champotón,TRUE
29,,,,04,011,Candelaria,TRUE
31,0.546072195771119,0.390356079254275,-15.5716116516845,04,002,Campeche,FALSE
33,,,,04,001,Calkiní,TRUE
35,,,,04,009,Escárcega,TRUE
36,,,,04,008,Tenabo,TRUE
38,0.69454910828142,0.440740774389173,-25.3808333892247,05,017,Matamoros,FALSE
39,,,,05,018,Monclova,TRUE
41,0.733586174650952,0.514576841633661,-21.9009333017291,05,035,Torreón,FALSE
45,,,,05,024,Parras,TRUE
46,,,,05,026,Progreso,TRUE
47,,,,05,027,Ramos Arizpe,TRUE
48,,,,05,025,Piedras Negras,TRUE
50,0.758658063453295,0.449412435421332,-30.9245628031963,05,030,Saltillo,FALSE
54,,,,05,002,Acuña,TRUE
56,,,,05,033,San Pedro,TRUE
70,,,,05,038,Zaragoza,TRUE
76,,,,06,002,Colima,TRUE
77,,,,06,005,Cuauhtémoc,TRUE
78,,,,06,008,Minatitlán,TRUE
79,,,,06,001,Armería,TRUE
80,,,,06,004,Coquimatlán,TRUE
81,0.748405001808136,0.566453249385523,-18.1951752422613,06,010,Villa de Álvarez,FALSE
82,0.585514015872825,0.365344764299838,-22.0169251572987,06,003,Comala,FALSE
