muni_idx,prev_principal_ponderado,prev_sensibilidad_sin_ponderar,n,dif_sin_menos_principal_pp,quintil_principal,quintil_sin_ponderar,cambia_quintil,estrato_n,suprimir_privacidad
1,,,,,,,,,TRUE
3,0.543187554740316,0.48366898591689,162,-5.95185688234254,5,5,FALSE,n>=30,FALSE
4,,,,,,,,,TRUE
6,0.281000833166804,0.333806729406938,14,5.28058962401335,1,2,TRUE,n=10-29,FALSE
9,0.471393829742802,0.439608164205151,12,-3.17856655376508,4,4,FALSE,n=10-29,FALSE
10,0.417121169437038,0.459588010149837,31,4.24668407127993,3,4,TRUE,n>=30,FALSE
12,0.424387712700001,0.402627730115059,12,-2.17599825849421,3,3,FALSE,n=10-29,FALSE
13,0.553444718013767,0.384180051085347,101,-16.926466692842,5,3,TRUE,n>=30,FALSE
14,0.32042982877105,0.338282473929847,34,1.78526451587967,2,2,FALSE,n>=30,FALSE
15,0.262086767855455,0.299625129982655,10,3.75383621271995,1,1,FALSE,n=10-29,FALSE
17,0.318630494572254,0.348628819567802,72,2.99983249955477,2,2,FALSE,n>=30,FALSE
18,,,,,,,,,TRUE
19,0.346608159791235,0.337364877884422,22,-0.924328190681384,2,2,FALSE,n=10-29,FALSE
21,0.346856344357627,0.356042051470183,90,0.918570711255656,2,2,FALSE,n>=30,FALSE
22,0.37729427034314,0.422939785571474,129,4.56455152283335,3,3,FALSE,n>=30,FALSE
23,0.491832317320164,0.467193256601357,64,-2.46390607188067,4,4,FALSE,n>=30,FALSE
24,0.483980546688171,0.398553956600813,65,-8.54265900873571,4,3,TRUE,n>=30,FALSE
25,,,,,,,,,TRUE
28,0.214698618942779,0.253957281653642,38,3.92586627108626,1,1,FALSE,n>=30,FALSE
29,0.435195885266194,0.459473084590265,12,2.42771993240708,4,4,FALSE,n=10-29,FALSE
30,,,,,,,,,TRUE
31,0.448381805159585,0.399628069263925,120,-4.87537358956598,4,3,TRUE,n>=30,FALSE
32,,,,,,,,,TRUE
33,0.227260448863316,0.266786639094036,30,3.95261902307204,1,1,FALSE,n>=30,FALSE
35,0.322374080989147,0.305527380065123,28,-1.68467009240244,2,1,TRUE,n=10-29,FALSE
36,0.245005306024535,0.287432384897687,12,4.24270788731521,1,1,FALSE,n=10-29,FALSE
38,0.348142721432376,0.365827903190266,39,1.768518175789,2,2,FALSE,n>=30,FALSE
39,0.389708936905484,0.43575492752183,10,4.60459906163462,3,4,TRUE,n=10-29,FALSE
41,0.356422631591669,0.385472152405479,66,2.90495208138093,2,3,TRUE,n>=30,FALSE
45,0.445580097694998,0.42129275306084,14,-2.42873446341588,4,3,TRUE,n=10-29,FALSE
46,,,,,,,,,TRUE
47,0.326499498916849,0.272016090936844,12,-5.44834079800056,2,1,TRUE,n=10-29,FALSE
48,,,,,,,,,TRUE
50,0.364747449543747,0.358589566304092,53,-0.615788323965449,2,2,FALSE,n>=30,FALSE
54,0.361149692523143,0.35884165335576,19,-0.230803916738287,2,2,FALSE,n=10-29,FALSE
56,0.373656486706344,0.39649241910647,12,2.28359324001262,3,3,FALSE,n=10-29,FALSE
70,0.234157269683142,0.298703938872738,14,6.45466691895956,1,1,FALSE,n=10-29,FALSE
76,0.291913283500028,0.305124255928328,26,1.32109724283,1,1,FALSE,n=10-29,FALSE
77,,,,,,,,,TRUE
78,,,,,,,,,TRUE
79,,,,,,,,,TRUE
80,,,,,,,,,TRUE
81,0.348814019002309,0.433248510198441,36,8.44344911961317,2,4,TRUE,n>=30,FALSE
82,0.511940310285504,0.462530102329011,22,-4.94102079564923,5,4,TRUE,n=10-29,FALSE
83,0.321601898299597,0.351903115200754,55,3.03012169011564,2,2,FALSE,n>=30,FALSE
84,0.381529133668138,0.410598242450251,43,2.90691087821132,3,3,FALSE,n>=30,FALSE
85,0.410090155511847,0.4243154863549,10,1.42253308430531,3,4,TRUE,n=10-29,FALSE
87,,,,,,,,,TRUE
91,,,,,,,,,TRUE
92,0.308121363591195,0.353376069183485,15,4.52547055922902,1,2,TRUE,n=10-29,FALSE
95,0.360085093639363,0.325748180190292,12,-3.43369134490718,2,1,TRUE,n=10-29,FALSE
97,0.504710162525263,0.444823266894058,15,-5.98868956312045,5,4,TRUE,n=10-29,FALSE
101,0.317722981652577,0.393070412242398,10,7.53474305898217,2,3,TRUE,n=10-29,FALSE
105,,,,,,,,,TRUE
109,0.337798980028966,0.323643272347262,11,-1.41557076817042,2,1,TRUE,n=10-29,FALSE
113,,,,,,,,,TRUE
127,0.239066911415119,0.263546184364492,15,2.44792729493724,1,1,FALSE,n=10-29,FALSE
129,,,,,,,,,TRUE
131,0.335633327517539,0.325064336264161,12,-1.05689912533784,2,1,TRUE,n=10-29,FALSE
133,,,,,,,,,TRUE
135,,,,,,,,,TRUE
146,0.169556105828058,0.211429817147518,11,4.187371131946,1,1,FALSE,n=10-29,FALSE
148,0.556105865323795,0.511891868318322,10,-4.42139970054726,5,5,FALSE,n=10-29,FALSE
154,,,,,,,,,TRUE
156,0.308410992997719,0.305098006013972,14,-0.331298698374699,1,1,FALSE,n=10-29,FALSE
158,0.267087250384005,0.300190728473116,20,3.31034780891118,1,1,FALSE,n=10-29,FALSE
159,0.304470196875395,0.316496784066399,19,1.20265871910042,1,1,FALSE,n=10-29,FALSE
179,,,,,,,,,TRUE
182,,,,,,,,,TRUE
184,,,,,,,,,TRUE
188,0.518467408360515,0.471328890078169,10,-4.71385182823463,5,4,TRUE,n=10-29,FALSE
191,,,,,,,,,TRUE
199,,,,,,,,,TRUE
201,,,,,,,,,TRUE
221,0.519488223838876,0.431185929207196,22,-8.830229463168,5,4,TRUE,n=10-29,FALSE
222,,,,,,,,,TRUE
223,,,,,,,,,TRUE
224,,,,,,,,,TRUE
225,,,,,,,,,TRUE
229,0.521240857411057,0.568688233911592,27,4.7447376500535,5,5,FALSE,n=10-29,FALSE
231,0.413702502697054,0.381174661005314,13,-3.252784169174,3,3,FALSE,n=10-29,FALSE
234,,,,,,,,,TRUE
235,,,,,,,,,TRUE
237,0.453773417979774,0.481006956168993,21,2.72335381892188,4,5,TRUE,n=10-29,FALSE
241,,,,,,,,,TRUE
242,,,,,,,,,TRUE
244,,,,,,,,,TRUE
259,0.416066430566968,0.450981174569502,83,3.49147440025342,3,4,TRUE,n>=30,FALSE
260,,,,,,,,,TRUE
262,0.425360792637256,0.455705786677178,103,3.03449940399225,4,4,FALSE,n>=30,FALSE
273,0.615291408887745,0.563689889872655,14,-5.16015190150901,5,5,FALSE,n=10-29,FALSE
275,0.557586064055525,0.543568968723071,15,-1.40170953324535,5,5,FALSE,n=10-29,FALSE
276,0.6004735370557,0.399953807469646,56,-20.0519729586054,5,3,TRUE,n>=30,FALSE
277,0.566896339933019,0.41304350987874,20,-15.3852830054279,5,3,TRUE,n=10-29,FALSE
278,0.505288108390646,0.450305496393714,27,-5.49826119969317,5,4,TRUE,n=10-29,FALSE
279,0.582012877084478,0.448877858818552,201,-13.3135018265926,5,4,TRUE,n>=30,FALSE
280,0.592901790615448,0.516572029833159,35,-7.63297607822884,5,5,FALSE,n>=30,FALSE
281,0.475313966337631,0.491158606469666,65,1.5844640132035,4,5,TRUE,n>=30,FALSE
282,0.456361526568419,0.472240014095059,28,1.58784875266401,4,4,FALSE,n=10-29,FALSE
283,0.394875959238475,0.387867741624812,20,-0.700821761366238,3,3,FALSE,n=10-29,FALSE
284,,,,,,,,,TRUE
285,0.601569755174187,0.480949457921359,43,-12.0620297252828,5,5,FALSE,n>=30,FALSE
286,0.689743400704522,0.550341822039383,28,-13.9401578665138,5,5,FALSE,n=10-29,FALSE
287,0.35120646992301,0.357474491744854,43,0.626802182184444,2,2,FALSE,n>=30,FALSE
288,0.414893816554307,0.477171512067928,99,6.22776955136215,3,5,TRUE,n>=30,FALSE
289,0.723588316177381,0.600558412717083,28,-12.3029903460298,5,5,FALSE,n=10-29,FALSE
290,0.366849179857643,0.414594795212978,51,4.77456153553352,2,3,TRUE,n>=30,FALSE
291,0.403245412940239,0.477330069558261,14,7.40846566180218,3,5,TRUE,n=10-29,FALSE
292,0.598569941854527,0.498407849469423,14,-10.0162092385104,5,5,FALSE,n=10-29,FALSE
293,0.353561099529611,0.375873258940086,24,2.23121594104754,2,2,FALSE,n=10-29,FALSE
299,0.419333541128653,0.434583393214732,10,1.52498520860798,3,4,TRUE,n=10-29,FALSE
303,,,,,,,,,TRUE
305,0.452453363009153,0.436156919958096,66,-1.62964430510573,4,4,FALSE,n>=30,FALSE
308,,,,,,,,,TRUE
309,0.40950116135286,0.399769210421296,15,-0.973195093156448,3,3,FALSE,n=10-29,FALSE
312,0.500819911427104,0.468940391959952,102,-3.18795194671522,5,4,TRUE,n>=30,FALSE
314,0.494637116765156,0.473969669956722,14,-2.06674468084337,4,5,TRUE,n=10-29,FALSE
316,0.438329114088233,0.454646494683898,41,1.63173805956647,4,4,FALSE,n>=30,FALSE
321,,,,,,,,,TRUE
322,0.494061544269462,0.510951063572075,14,1.68895193026136,4,5,TRUE,n=10-29,FALSE
326,,,,,,,,,TRUE
327,,,,,,,,,TRUE
331,0.3363149241992,0.346089584127947,14,0.97746599287476,2,2,FALSE,n=10-29,FALSE
332,0.481172350755962,0.446792375480275,257,-3.43799752756873,4,4,FALSE,n>=30,FALSE
334,0.504593669944641,0.449136918045922,38,-5.54567518987185,5,4,TRUE,n>=30,FALSE
336,0.57229943293879,0.525263912974548,12,-4.70355199642422,5,5,FALSE,n=10-29,FALSE
338,0.398681780067189,0.356616158716543,27,-4.20656213506451,3,2,TRUE,n=10-29,FALSE
339,0.445482342349999,0.417205943306405,20,-2.82763990435934,4,3,TRUE,n=10-29,FALSE
340,0.251944635078139,0.293503311472615,11,4.15586763944759,1,1,FALSE,n=10-29,FALSE
341,0.407741062436847,0.417233491005401,13,0.94924285685532,3,3,FALSE,n=10-29,FALSE
342,0.411501011015018,0.421725607363753,29,1.02245963487351,3,3,FALSE,n=10-29,FALSE
343,0.334961044641388,0.364369903975352,17,2.94088593339641,2,2,FALSE,n=10-29,FALSE
345,0.429110779890211,0.390639060683631,29,-3.84717192065797,4,3,TRUE,n=10-29,FALSE
347,0.325036682692926,0.361672250278583,92,3.66355675856572,2,2,FALSE,n>=30,FALSE
348,0.297321072516536,0.353130068462127,43,5.58089959455911,1,2,TRUE,n>=30,FALSE
349,,,,,,,,,TRUE
350,,,,,,,,,TRUE
351,0.516600043299183,0.466939777788925,13,-4.96602655102585,5,4,TRUE,n=10-29,FALSE
352,0.352835461262954,0.378595219427085,20,2.57597581641309,2,3,TRUE,n=10-29,FALSE
353,,,,,,,,,TRUE
354,0.339399760587334,0.349252214103031,16,0.985245351569708,2,2,FALSE,n=10-29,FALSE
355,,,,,,,,,TRUE
356,0.421908781984523,0.386811981543809,23,-3.50968004407139,3,3,FALSE,n=10-29,FALSE
357,0.359025264953753,0.361900417696068,16,0.28751527423152,2,2,FALSE,n=10-29,FALSE
359,0.57511159286539,0.470882892498536,41,-10.4228700366855,5,4,TRUE,n>=30,FALSE
360,0.455652731373941,0.440360229183411,25,-1.52925021905296,4,4,FALSE,n=10-29,FALSE
361,,,,,,,,,TRUE
363,0.377030967686598,0.357088105495226,21,-1.99428621913723,3,2,TRUE,n=10-29,FALSE
364,0.354739286355918,0.376724388086968,10,2.19851017310494,2,2,FALSE,n=10-29,FALSE
365,0.340533946574179,0.351493709203223,15,1.09597626290434,2,2,FALSE,n=10-29,FALSE
366,0.260237594138581,0.336320053833203,25,7.60824596946216,1,2,TRUE,n=10-29,FALSE
367,0.562737454834391,0.481394366922162,16,-8.13430879122292,5,5,FALSE,n=10-29,FALSE
368,0.417461207353339,0.415859246286638,27,-0.16019610667008,3,3,FALSE,n=10-29,FALSE
370,,,,,,,,,TRUE
371,0.429742573727425,0.374418819827113,13,-5.53237539003123,4,2,TRUE,n=10-29,FALSE
373,0.483925999111626,0.433830651024921,40,-5.00953480867046,4,4,FALSE,n>=30,FALSE
374,0.458291582936863,0.473748590582552,13,1.54570076456888,4,4,FALSE,n=10-29,FALSE
375,0.411739455284357,0.407658337972973,85,-0.408111731138333,3,3,FALSE,n>=30,FALSE
376,0.35961532064424,0.360744511759826,19,0.112919111558613,2,2,FALSE,n=10-29,FALSE
378,,,,,,,,,TRUE
385,,,,,,,,,TRUE
388,0.383417028965596,0.348178100539638,14,-3.52389284259578,3,2,TRUE,n=10-29,FALSE
389,0.321393017310192,0.308677107974824,10,-1.27159093353686,2,1,TRUE,n=10-29,FALSE
392,0.397568144020621,0.404422080334964,10,0.685393631434272,3,3,FALSE,n=10-29,FALSE
393,0.506604242410526,0.427796522427172,13,-7.88077199833533,5,4,TRUE,n=10-29,FALSE
395,0.387337078110401,0.385908018239557,18,-0.14290598708448,3,3,FALSE,n=10-29,FALSE
398,0.521745442799782,0.499050472363891,11,-2.26949704358914,5,5,FALSE,n=10-29,FALSE
399,0.442643068384807,0.397773500981776,13,-4.48695674030315,4,3,TRUE,n=10-29,FALSE
402,,,,,,,,,TRUE
404,0.383409440580908,0.35178692480204,61,-3.16225157788685,3,2,TRUE,n>=30,FALSE
412,,,,,,,,,TRUE
415,0.356062712366406,0.364263236034457,13,0.820052366805057,2,2,FALSE,n=10-29,FALSE
423,,,,,,,,,TRUE
