muni_idx,prev_principal_ponderado,prev_sensibilidad_sin_ponderar,n,dif_sin_menos_principal_pp,quintil_principal,quintil_sin_ponderar,cambia_quintil,estrato_n,suprimir_privacidad
1,,,,,,,,,TRUE
3,0.785289657937098,0.751858370624436,121,-3.34312873126613,5,5,FALSE,n>=30,FALSE
4,,,,,,,,,TRUE
6,,,,,,,,,TRUE
9,0.641081598062581,0.622644035203128,10,-1.84375628594535,3,2,TRUE,n=10-29,FALSE
10,0.725871116424897,0.653803252378337,24,-7.20678640465601,4,3,TRUE,n=10-29,FALSE
12,,,,,,,,,TRUE
13,0.768356112336904,0.620504968209946,65,-14.7851144126958,5,2,TRUE,n>=30,FALSE
14,0.617098134243013,0.62876734117899,18,1.16692069359773,2,3,TRUE,n=10-29,FALSE
15,,,,,,,,,TRUE
17,0.527631143738618,0.572735603237629,46,4.51044594990109,1,2,TRUE,n>=30,FALSE
18,,,,,,,,,TRUE
19,0.565085339828105,0.566694736074825,13,0.160939624672007,2,1,TRUE,n=10-29,FALSE
21,0.561096072213159,0.605477773911844,56,4.43817016986849,2,2,FALSE,n>=30,FALSE
22,0.64293595979223,0.677909882450709,89,3.49739226584789,3,4,TRUE,n>=30,FALSE
23,0.769160021583541,0.713523774918518,46,-5.56362466650232,5,5,FALSE,n>=30,FALSE
24,0.669436382329299,0.638164518661302,45,-3.12718636679972,3,3,FALSE,n>=30,FALSE
25,,,,,,,,,TRUE
28,0.469746442276293,0.516980420906545,17,4.72339786302519,1,1,FALSE,n=10-29,FALSE
29,,,,,,,,,TRUE
30,,,,,,,,,TRUE
31,0.628246834987093,0.595517331487108,89,-3.2729503499985,3,2,TRUE,n>=30,FALSE
32,,,,,,,,,TRUE
33,0.505638091894396,0.566957287461073,14,6.13191955666774,1,1,FALSE,n=10-29,FALSE
35,0.727631073252534,0.636402677021227,12,-9.12283962313073,4,3,TRUE,n=10-29,FALSE
36,,,,,,,,,TRUE
38,0.57548905733046,0.625357100741111,23,4.98680434106509,2,2,FALSE,n=10-29,FALSE
39,,,,,,,,,TRUE
41,0.638151795655782,0.641799540062029,37,0.364774440624649,3,3,FALSE,n>=30,FALSE
45,0.672469728317079,0.627930706841663,10,-4.45390214754159,3,3,FALSE,n=10-29,FALSE
46,,,,,,,,,TRUE
47,,,,,,,,,TRUE
48,,,,,,,,,TRUE
50,0.556035499851981,0.594270651745771,35,3.82351518937908,2,2,FALSE,n>=30,FALSE
54,0.578841023566974,0.611449956989726,13,3.26089334227521,2,2,FALSE,n=10-29,FALSE
56,,,,,,,,,TRUE
70,,,,,,,,,TRUE
76,0.711246426107024,0.700850888640508,13,-1.03955374665154,4,4,FALSE,n=10-29,FALSE
77,,,,,,,,,TRUE
78,,,,,,,,,TRUE
79,,,,,,,,,TRUE
80,,,,,,,,,TRUE
81,0.511087074393421,0.678367358205672,24,16.7280283812252,1,4,TRUE,n=10-29,FALSE
82,0.681947807075394,0.646200834532937,16,-3.57469725424575,3,3,FALSE,n=10-29,FALSE
83,0.719011955468251,0.683316525323916,32,-3.56954301443347,4,4,FALSE,n>=30,FALSE
84,0.648825511310656,0.699452567660883,28,5.06270563502274,3,4,TRUE,n=10-29,FALSE
85,,,,,,,,,TRUE
87,,,,,,,,,TRUE
91,,,,,,,,,TRUE
92,,,,,,,,,TRUE
95,,,,,,,,,TRUE
97,0.641930868977538,0.622081191701917,14,-1.98496772756218,3,2,TRUE,n=10-29,FALSE
101,,,,,,,,,TRUE
105,,,,,,,,,TRUE
109,,,,,,,,,TRUE
113,,,,,,,,,TRUE
127,,,,,,,,,TRUE
129,,,,,,,,,TRUE
131,,,,,,,,,TRUE
133,,,,,,,,,TRUE
135,,,,,,,,,TRUE
146,,,,,,,,,TRUE
148,,,,,,,,,TRUE
154,,,,,,,,,TRUE
156,,,,,,,,,TRUE
158,0.599198409572676,0.587914295609899,11,-1.12841139627766,2,2,FALSE,n=10-29,FALSE
159,0.48626020629745,0.502718392993174,14,1.64581866957244,1,1,FALSE,n=10-29,FALSE
179,,,,,,,,,TRUE
182,,,,,,,,,TRUE
188,,,,,,,,,TRUE
191,,,,,,,,,TRUE
199,,,,,,,,,TRUE
201,,,,,,,,,TRUE
221,0.612827547407577,0.559392829002648,21,-5.34347184049291,2,1,TRUE,n=10-29,FALSE
222,,,,,,,,,TRUE
223,,,,,,,,,TRUE
224,,,,,,,,,TRUE
225,,,,,,,,,TRUE
229,0.679783006448309,0.719892497346558,20,4.01094908982484,3,5,TRUE,n=10-29,FALSE
231,,,,,,,,,TRUE
234,,,,,,,,,TRUE
235,,,,,,,,,TRUE
237,0.660156780398543,0.697484648185507,15,3.73278677869642,3,4,TRUE,n=10-29,FALSE
241,,,,,,,,,TRUE
242,,,,,,,,,TRUE
244,,,,,,,,,TRUE
259,0.639764657264788,0.692145304104449,57,5.23806468396606,3,4,TRUE,n>=30,FALSE
260,,,,,,,,,TRUE
262,0.704263233644442,0.716047045552751,69,1.17838119083092,4,5,TRUE,n>=30,FALSE
273,0.829208008846486,0.787333680919974,10,-4.18743279265118,5,5,FALSE,n=10-29,FALSE
275,0.668474345757843,0.658519676132206,13,-0.995466962563618,3,3,FALSE,n=10-29,FALSE
276,0.738900627636934,0.608036267483878,41,-13.0864360153056,5,2,TRUE,n>=30,FALSE
277,0.769867547071479,0.649527790932773,15,-12.0339756138706,5,3,TRUE,n=10-29,FALSE
