muni_idx,prev_principal_ponderado,prev_sensibilidad_sin_ponderar,n,dif_sin_menos_principal_pp,quintil_principal,quintil_sin_ponderar,cambia_quintil,estrato_n,suprimir_privacidad
1,,,,,,,,,TRUE
3,0.492985090986029,0.531211635585988,88,3.82265445999587,5,5,FALSE,n>=30,FALSE
4,,,,,,,,,TRUE
6,,,,,,,,,TRUE
9,,,,,,,,,TRUE
10,0.438832155449648,0.442439567444336,17,0.360741199468845,4,4,FALSE,n=10-29,FALSE
12,,,,,,,,,TRUE
13,0.300409304648035,0.368879389421118,32,6.84700847730829,1,2,TRUE,n>=30,FALSE
14,0.322225469579599,0.350191026886084,10,2.79655573064849,1,2,TRUE,n=10-29,FALSE
15,,,,,,,,,TRUE
17,0.331626204020996,0.333163953296542,27,0.153774927554534,2,1,TRUE,n=10-29,FALSE
18,,,,,,,,,TRUE
19,,,,,,,,,TRUE
21,0.540926028652849,0.48118933207657,26,-5.97366965762791,5,5,FALSE,n=10-29,FALSE
22,0.612168822072417,0.528898119589198,57,-8.32707024832199,5,5,FALSE,n>=30,FALSE
23,0.350346682289117,0.370346703159325,36,2.00000208702081,2,2,FALSE,n>=30,FALSE
24,0.269342696734274,0.385309029807701,31,11.5966333073427,1,2,TRUE,n>=30,FALSE
25,,,,,,,,,TRUE
28,,,,,,,,,TRUE
29,,,,,,,,,TRUE
31,0.390356085392604,0.427106087860678,50,3.67500024680735,3,4,TRUE,n>=30,FALSE
33,,,,,,,,,TRUE
35,,,,,,,,,TRUE
36,,,,,,,,,TRUE
38,0.440740785396037,0.440128977966048,17,-0.0611807429989286,4,4,FALSE,n=10-29,FALSE
39,,,,,,,,,TRUE
41,0.514576877842891,0.443043429963198,23,-7.15334478796933,5,4,TRUE,n=10-29,FALSE
45,,,,,,,,,TRUE
46,,,,,,,,,TRUE
47,,,,,,,,,TRUE
48,,,,,,,,,TRUE
50,0.449412423966632,0.482385745333771,18,3.29733213671389,4,5,TRUE,n=10-29,FALSE
54,,,,,,,,,TRUE
56,,,,,,,,,TRUE
70,,,,,,,,,TRUE
76,,,,,,,,,TRUE
77,,,,,,,,,TRUE
78,,,,,,,,,TRUE
79,,,,,,,,,TRUE
80,,,,,,,,,TRUE
81,0.566453293733017,0.539036542788921,12,-2.74167509440962,5,5,FALSE,n=10-29,FALSE
82,0.365344754447929,0.38127545438874,11,1.59306999408103,2,2,FALSE,n=10-29,FALSE
83,0.530920721823471,0.495348303763528,23,-3.55724180599435,5,5,FALSE,n=10-29,FALSE
84,0.482340785026916,0.47695023930529,15,-0.539054572162556,4,5,TRUE,n=10-29,FALSE
85,,,,,,,,,TRUE
87,,,,,,,,,TRUE
91,,,,,,,,,TRUE
92,,,,,,,,,TRUE
95,,,,,,,,,TRUE
97,,,,,,,,,TRUE
101,,,,,,,,,TRUE
105,,,,,,,,,TRUE
127,,,,,,,,,TRUE
131,,,,,,,,,TRUE
133,,,,,,,,,TRUE
135,,,,,,,,,TRUE
148,,,,,,,,,TRUE
156,,,,,,,,,TRUE
158,,,,,,,,,TRUE
159,,,,,,,,,TRUE
179,,,,,,,,,TRUE
182,,,,,,,,,TRUE
188,,,,,,,,,TRUE
199,,,,,,,,,TRUE
201,,,,,,,,,TRUE
221,0.361317557909127,0.353482828517224,11,-0.78347293919025,2,2,FALSE,n=10-29,FALSE
222,,,,,,,,,TRUE
224,,,,,,,,,TRUE
225,,,,,,,,,TRUE
229,0.36635427569881,0.389706421926762,14,2.33521462279516,2,2,FALSE,n=10-29,FALSE
231,,,,,,,,,TRUE
234,,,,,,,,,TRUE
235,,,,,,,,,TRUE
237,,,,,,,,,TRUE
241,,,,,,,,,TRUE
244,,,,,,,,,TRUE
259,0.516413382473364,0.433831023572492,34,-8.25823589008715,5,4,TRUE,n>=30,FALSE
260,,,,,,,,,TRUE
262,0.300007706221633,0.345504826376325,48,4.54971201546926,1,1,FALSE,n>=30,FALSE
273,,,,,,,,,TRUE
275,,,,,,,,,TRUE
276,0.556044524815655,0.457087910854863,19,-9.89566139607915,5,4,TRUE,n=10-29,FALSE
277,0.461444775951267,0.478359827312558,10,1.69150513612907,4,5,TRUE,n=10-29,FALSE
278,0.565152324330163,0.500558633930374,11,-6.45936903997889,5,5,FALSE,n=10-29,FALSE
279,0.49882729897321,0.437364226362744,90,-6.14630726104665,5,4,TRUE,n>=30,FALSE
280,0.56943948645719,0.452888603655161,17,-11.6550882802028,5,4,TRUE,n=10-29,FALSE
281,0.372929322452074,0.394564406214211,28,2.16350837621372,2,3,TRUE,n=10-29,FALSE
282,,,,,,,,,TRUE
283,,,,,,,,,TRUE
284,,,,,,,,,TRUE
285,0.530826360480385,0.502324664002772,19,-2.85016964776126,5,5,FALSE,n=10-29,FALSE
286,0.524189678745705,0.459278605184345,12,-6.49110735613592,5,4,TRUE,n=10-29,FALSE
287,0.442258812623102,0.419080398378639,11,-2.31784142444627,4,3,TRUE,n=10-29,FALSE
288,0.613313103932814,0.50036031303372,46,-11.2952790899094,5,5,FALSE,n>=30,FALSE
289,0.505961237357963,0.512603401294227,12,0.664216393626438,5,5,FALSE,n=10-29,FALSE
290,0.375306537446229,0.434273863100315,21,5.89673256540859,2,4,TRUE,n=10-29,FALSE
291,,,,,,,,,TRUE
292,0.368226100489302,0.416906385781952,11,4.86802852926497,2,3,TRUE,n=10-29,FALSE
293,0.36070978769777,0.38713546082867,11,2.64256731308996,2,2,FALSE,n=10-29,FALSE
299,,,,,,,,,TRUE
303,,,,,,,,,TRUE
305,0.365744832876768,0.392420100313366,24,2.66752674365989,2,3,TRUE,n=10-29,FALSE
308,,,,,,,,,TRUE
309,,,,,,,,,TRUE
312,0.547674120637544,0.48683747428236,51,-6.08366463551839,5,5,FALSE,n>=30,FALSE
314,,,,,,,,,TRUE
316,0.398013534556294,0.431030568358252,26,3.3017033801958,3,4,TRUE,n=10-29,FALSE
321,,,,,,,,,TRUE
322,,,,,,,,,TRUE
326,,,,,,,,,TRUE
327,,,,,,,,,TRUE
331,,,,,,,,,TRUE
332,0.4636839587662,0.436405128617484,110,-2.7278830148716,4,4,FALSE,n>=30,FALSE
334,0.302217979624735,0.40183511869213,12,9.96171390673952,1,3,TRUE,n=10-29,FALSE
336,,,,,,,,,TRUE
338,,,,,,,,,TRUE
339,,,,,,,,,TRUE
340,,,,,,,,,TRUE
341,,,,,,,,,TRUE
342,0.534518171457582,0.433985133715663,14,-10.0533037741919,5,4,TRUE,n=10-29,FALSE
343,,,,,,,,,TRUE
345,0.394771627920258,0.39132984466478,11,-0.344178325547734,3,3,FALSE,n=10-29,FALSE
347,0.563021241953264,0.473991895051944,33,-8.90293469013198,5,5,FALSE,n>=30,FALSE
348,0.374341508144127,0.394797529184364,10,2.04560210402366,2,3,TRUE,n=10-29,FALSE
349,,,,,,,,,TRUE
350,,,,,,,,,TRUE
351,,,,,,,,,TRUE
352,,,,,,,,,TRUE
353,,,,,,,,,TRUE
354,,,,,,,,,TRUE
355,,,,,,,,,TRUE
356,,,,,,,,,TRUE
357,,,,,,,,,TRUE
359,0.353226519344195,0.489671265116831,14,13.6444745772636,2,5,TRUE,n=10-29,FALSE
360,0.510114897794635,0.4093311896837,13,-10.0783708110935,5,3,TRUE,n=10-29,FALSE
361,,,,,,,,,TRUE
363,,,,,,,,,TRUE
364,,,,,,,,,TRUE
365,,,,,,,,,TRUE
366,,,,,,,,,TRUE
367,0.284806229619905,0.317153142428306,10,3.23469128084005,1,1,FALSE,n=10-29,FALSE
368,0.425368125844277,0.429716234106945,13,0.434810826266757,3,4,TRUE,n=10-29,FALSE
370,,,,,,,,,TRUE
371,,,,,,,,,TRUE
373,0.557448759458592,0.483000349976479,18,-7.4448409482113,5,5,FALSE,n=10-29,FALSE
374,,,,,,,,,TRUE
375,0.51369636055538,0.482048873652545,32,-3.16474869028359,5,5,FALSE,n>=30,FALSE
376,,,,,,,,,TRUE
378,,,,,,,,,TRUE
385,,,,,,,,,TRUE
388,,,,,,,,,TRUE
389,,,,,,,,,TRUE
392,,,,,,,,,TRUE
393,,,,,,,,,TRUE
395,,,,,,,,,TRUE
398,,,,,,,,,TRUE
399,,,,,,,,,TRUE
404,0.468067285108866,0.444918588016179,15,-2.31486970926866,4,4,FALSE,n=10-29,FALSE
412,,,,,,,,,TRUE
415,,,,,,,,,TRUE
423,,,,,,,,,TRUE
427,,,,,,,,,TRUE
435,,,,,,,,,TRUE
437,,,,,,,,,TRUE
440,,,,,,,,,TRUE
450,,,,,,,,,TRUE
455,,,,,,,,,TRUE
463,,,,,,,,,TRUE
466,,,,,,,,,TRUE
468,,,,,,,,,TRUE
474,,,,,,,,,TRUE
475,,,,,,,,,TRUE
477,0.26746871891805,0.332783043843403,11,6.53143249253521,1,1,FALSE,n=10-29,FALSE
482,,,,,,,,,TRUE
488,,,,,,,,,TRUE
491,,,,,,,,,TRUE
492,0.390031645949418,0.441235952556044,10,5.12043066066252,3,4,TRUE,n=10-29,FALSE
495,,,,,,,,,TRUE
498,,,,,,,,,TRUE
501,,,,,,,,,TRUE
503,,,,,,,,,TRUE
504,,,,,,,,,TRUE
506,,,,,,,,,TRUE
507,,,,,,,,,TRUE
510,,,,,,,,,TRUE
523,,,,,,,,,TRUE
527,,,,,,,,,TRUE
532,,,,,,,,,TRUE
543,,,,,,,,,TRUE
549,,,,,,,,,TRUE
559,,,,,,,,,TRUE
570,,,,,,,,,TRUE
580,0.351511795104085,0.408203848742595,12,5.66920536385101,2,3,TRUE,n=10-29,FALSE
588,,,,,,,,,TRUE
591,,,,,,,,,TRUE
596,,,,,,,,,TRUE
597,0.449790513952008,0.470472377684219,20,2.06818637322108,4,5,TRUE,n=10-29,FALSE
603,,,,,,,,,TRUE
607,,,,,,,,,TRUE
616,,,,,,,,,TRUE
634,,,,,,,,,TRUE
640,,,,,,,,,TRUE
647,,,,,,,,,TRUE
662,,,,,,,,,TRUE
666,,,,,,,,,TRUE
671,,,,,,,,,TRUE
677,,,,,,,,,TRUE
678,,,,,,,,,TRUE
681,,,,,,,,,TRUE
682,,,,,,,,,TRUE
683,,,,,,,,,TRUE
688,,,,,,,,,TRUE
692,,,,,,,,,TRUE
694,,,,,,,,,TRUE
695,,,,,,,,,TRUE
698,0.502834663324509,0.499737083056783,22,-0.309758026772605,5,5,FALSE,n=10-29,FALSE
699,,,,,,,,,TRUE
705,,,,,,,,,TRUE
707,,,,,,,,,TRUE
708,,,,,,,,,TRUE
709,,,,,,,,,TRUE
710,,,,,,,,,TRUE
718,,,,,,,,,TRUE
719,,,,,,,,,TRUE
720,0.515161868259995,0.458462481159246,13,-5.66993871007487,5,4,TRUE,n=10-29,FALSE
725,,,,,,,,,TRUE
734,,,,,,,,,TRUE
736,0.430646133962447,0.420837211117573,11,-0.98089228448745,4,3,TRUE,n=10-29,FALSE
738,0.403834592110995,0.417686260143619,11,1.38516680326241,3,3,FALSE,n=10-29,FALSE
743,0.437336444764888,0.467239610688674,12,2.99031659237858,4,4,FALSE,n=10-29,FALSE
749,,,,,,,,,TRUE
750,,,,,,,,,TRUE
751,,,,,,,,,TRUE
759,,,,,,,,,TRUE
760,,,,,,,,,TRUE
761,,,,,,,,,TRUE
766,,,,,,,,,TRUE
770,0.47626258425906,0.445868899051561,23,-3.03936852074989,4,4,FALSE,n=10-29,FALSE
771,,,,,,,,,TRUE
774,,,,,,,,,TRUE
776,,,,,,,,,TRUE
777,,,,,,,,,TRUE
778,,,,,,,,,TRUE
788,0.3268049268452,0.388007016052583,31,6.12020892073829,1,2,TRUE,n>=30,FALSE
789,,,,,,,,,TRUE
792,,,,,,,,,TRUE
793,,,,,,,,,TRUE
795,,,,,,,,,TRUE
802,,,,,,,,,TRUE
809,,,,,,,,,TRUE
819,,,,,,,,,TRUE
821,,,,,,,,,TRUE
824,,,,,,,,,TRUE
828,,,,,,,,,TRUE
837,,,,,,,,,TRUE
839,,,,,,,,,TRUE
850,,,,,,,,,TRUE
851,0.403537695826196,0.44597200722067,10,4.24343113944743,3,4,TRUE,n=10-29,FALSE
852,0.384419568735488,0.433879601354635,15,4.94600326191466,3,4,TRUE,n=10-29,FALSE
854,,,,,,,,,TRUE
858,0.462109939398102,0.417533604702949,13,-4.45763346951527,4,3,TRUE,n=10-29,FALSE
867,,,,,,,,,TRUE
873,,,,,,,,,TRUE
877,,,,,,,,,TRUE
883,,,,,,,,,TRUE
885,,,,,,,,,TRUE
886,,,,,,,,,TRUE
889,,,,,,,,,TRUE
894,,,,,,,,,TRUE
902,,,,,,,,,TRUE
906,,,,,,,,,TRUE
910,0.358834102385523,0.410598186308612,13,5.17640839230887,2,3,TRUE,n=10-29,FALSE
911,,,,,,,,,TRUE
915,,,,,,,,,TRUE
916,,,,,,,,,TRUE
917,,,,,,,,,TRUE
919,,,,,,,,,TRUE
921,,,,,,,,,TRUE
926,,,,,,,,,TRUE
928,,,,,,,,,TRUE
931,,,,,,,,,TRUE
933,0.596045913133657,0.519349887721514,17,-7.66960254121429,5,5,FALSE,n=10-29,FALSE
934,,,,,,,,,TRUE
935,,,,,,,,,TRUE
936,,,,,,,,,TRUE
937,,,,,,,,,TRUE
938,,,,,,,,,TRUE
939,0.362934127508381,0.444507933784582,20,8.15738062762011,2,4,TRUE,n=10-29,FALSE
940,,,,,,,,,TRUE
941,,,,,,,,,TRUE
943,,,,,,,,,TRUE
948,,,,,,,,,TRUE
949,0.496411031742744,0.522204535664908,35,2.57935039221639,5,5,FALSE,n>=30,FALSE
952,,,,,,,,,TRUE
953,,,,,,,,,TRUE
954,,,,,,,,,TRUE
956,0.423365005085084,0.430630927509329,14,0.726592242424479,3,4,TRUE,n=10-29,FALSE
957,,,,,,,,,TRUE
958,,,,,,,,,TRUE
959,,,,,,,,,TRUE
960,,,,,,,,,TRUE
963,,,,,,,,,TRUE
964,,,,,,,,,TRUE
966,0.312099315634876,0.433815029472419,10,12.1715713837542,1,4,TRUE,n=10-29,FALSE
967,,,,,,,,,TRUE
971,,,,,,,,,TRUE
972,,,,,,,,,TRUE
973,,,,,,,,,TRUE
974,,,,,,,,,TRUE
975,0.342578233414428,0.423779069958391,15,8.12008365439622,2,3,TRUE,n=10-29,FALSE
980,0.336271698941691,0.440972134321943,53,10.4700435380252,2,4,TRUE,n>=30,FALSE
981,0.288756009421101,0.421596224198486,22,13.2840214777384,1,3,TRUE,n=10-29,FALSE
985,0.340552951287085,0.406483983037186,27,6.59310317501003,2,3,TRUE,n=10-29,FALSE
986,0.385169625107718,0.44208414269807,17,5.69145175903519,3,4,TRUE,n=10-29,FALSE
990,0.426836368625385,0.433851879525018,46,0.701551089963343,4,4,FALSE,n>=30,FALSE
995,,,,,,,,,TRUE
996,,,,,,,,,TRUE
998,0.407836584878849,0.439996125266532,30,3.21595403876837,3,4,TRUE,n>=30,FALSE
1031,,,,,,,,,TRUE
1056,,,,,,,,,TRUE
1062,,,,,,,,,TRUE
1077,,,,,,,,,TRUE
1086,,,,,,,,,TRUE
1113,,,,,,,,,TRUE
1126,,,,,,,,,TRUE
1139,,,,,,,,,TRUE
1175,,,,,,,,,TRUE
1188,,,,,,,,,TRUE
1192,0.348118794798412,0.422671947559133,10,7.45531527607219,2,3,TRUE,n=10-29,FALSE
1193,,,,,,,,,TRUE
1224,,,,,,,,,TRUE
1248,,,,,,,,,TRUE
1276,,,,,,,,,TRUE
1346,,,,,,,,,TRUE
1356,,,,,,,,,TRUE
1374,,,,,,,,,TRUE
1433,,,,,,,,,TRUE
1474,,,,,,,,,TRUE
1475,,,,,,,,,TRUE
1483,,,,,,,,,TRUE
1500,,,,,,,,,TRUE
1512,,,,,,,,,TRUE
1515,,,,,,,,,TRUE
1517,,,,,,,,,TRUE
1520,,,,,,,,,TRUE
1531,,,,,,,,,TRUE
1565,,,,,,,,,TRUE
1566,,,,,,,,,TRUE
1569,,,,,,,,,TRUE
1592,0.312855624657526,0.337113760729745,12,2.42581360722187,1,1,FALSE,n=10-29,FALSE
1598,,,,,,,,,TRUE
1602,,,,,,,,,TRUE
1608,,,,,,,,,TRUE
1620,,,,,,,,,TRUE
1623,,,,,,,,,TRUE
1626,,,,,,,,,TRUE
1629,,,,,,,,,TRUE
1632,,,,,,,,,TRUE
1640,,,,,,,,,TRUE
1654,,,,,,,,,TRUE
1666,,,,,,,,,TRUE
1678,,,,,,,,,TRUE
1695,,,,,,,,,TRUE
1735,,,,,,,,,TRUE
1751,,,,,,,,,TRUE
1756,,,,,,,,,TRUE
1757,0.525252290516577,0.494272895322724,16,-3.09793951938532,5,5,FALSE,n=10-29,FALSE
1758,,,,,,,,,TRUE
1763,,,,,,,,,TRUE
1774,,,,,,,,,TRUE
1780,,,,,,,,,TRUE
1785,,,,,,,,,TRUE
1792,,,,,,,,,TRUE
1798,,,,,,,,,TRUE
1800,,,,,,,,,TRUE
1803,,,,,,,,,TRUE
1805,,,,,,,,,TRUE
1807,,,,,,,,,TRUE
1808,,,,,,,,,TRUE
1810,0.395066538724154,0.403619706346251,19,0.855316762209701,3,3,FALSE,n=10-29,FALSE
1812,,,,,,,,,TRUE
1814,,,,,,,,,TRUE
1815,0.317957262163305,0.388793483461913,59,7.0836221298608,1,2,TRUE,n>=30,FALSE
1817,,,,,,,,,TRUE
