"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
1,0.700853439252101,0.733635991172499,1,3.27825519203978,5,5,FALSE,"n<=9"
3,0.718138531908467,0.701447558415083,88,-1.66909734933838,5,5,FALSE,"n>=30"
4,0.795507159534001,0.776784733422499,1,-1.87224261115022,5,5,FALSE,"n<=9"
6,0.728929502863644,0.751481585133548,6,2.25520822699043,5,5,FALSE,"n<=9"
9,0.685837834976916,0.637954895991323,7,-4.78829389855925,4,3,TRUE,"n<=9"
10,0.626574164594664,0.668970721148923,17,4.23965565542592,3,4,TRUE,"n=10-29"
12,0.643666006237217,0.656775083773749,7,1.31090775365318,3,4,TRUE,"n<=9"
13,0.658982079258286,0.651051573426445,32,-0.793050583184074,4,3,TRUE,"n>=30"
14,0.565924655044605,0.614428910931822,10,4.85042558872169,2,2,FALSE,"n=10-29"
15,0.501630001637562,0.554382441065719,2,5.27524394281574,1,1,FALSE,"n<=9"
17,0.60091649626151,0.599380239498954,27,-0.153625676255553,2,2,FALSE,"n=10-29"
18,0.675381545702335,0.686078211521557,4,1.06966658192221,4,4,FALSE,"n<=9"
19,0.560238471700473,0.656321139653304,6,9.60826679528316,1,4,TRUE,"n<=9"
21,0.720527723071929,0.696866884994604,26,-2.3660838077325,5,5,FALSE,"n=10-29"
22,0.764968333893777,0.716043693025229,57,-4.89246408685481,5,5,FALSE,"n>=30"
23,0.530713782825581,0.602096221129763,36,7.13824383041829,1,2,TRUE,"n>=30"
24,0.529229356385096,0.605308479078911,31,7.60791226938149,1,2,TRUE,"n>=30"
25,0.632497528173077,0.670561049174981,3,3.80635210019038,3,4,TRUE,"n<=9"
28,0.555353450623656,0.54042231012741,8,-1.49311404962458,1,1,FALSE,"n<=9"
29,0.629081580472857,0.597662700099025,6,-3.14188803738318,3,2,TRUE,"n<=9"
31,0.546072145436191,0.593284194017672,50,4.72120485814818,1,2,TRUE,"n>=30"
33,0.458817255990937,0.501621608819472,5,4.28043528285348,1,1,FALSE,"n<=9"
35,0.492866966455237,0.527334215820306,8,3.44672493650689,1,1,FALSE,"n<=9"
36,0.509714205578569,0.528567493412146,2,1.88532878335779,1,1,FALSE,"n<=9"
38,0.694549173441465,0.675349906208534,17,-1.91992672329306,4,4,FALSE,"n=10-29"
39,0.69866337192061,0.691518248288981,6,-0.714512363162878,5,5,FALSE,"n<=9"
41,0.733586293405325,0.691651698395929,23,-4.19345950093966,5,5,FALSE,"n=10-29"
45,0.680813259369055,0.702801423864063,7,2.1988164495008,4,5,TRUE,"n<=9"
46,0.560328353957962,0.555400207820908,1,-0.49281461370535,1,1,FALSE,"n<=9"
47,0.67595218070874,0.701391807730742,5,2.54396270220019,4,5,TRUE,"n<=9"
48,0.604049594569056,0.643922055319323,3,3.9872460750267,2,3,TRUE,"n<=9"
50,0.758658133577176,0.735484805769334,18,-2.31733278078421,5,5,FALSE,"n=10-29"
54,0.713391523360159,0.689391925722593,4,-2.39995976375655,5,4,TRUE,"n<=9"
56,0.645445815081394,0.668005417488199,3,2.25596024068044,3,4,TRUE,"n<=9"
70,0.613153565217489,0.611254310048692,2,-0.189925516879674,3,2,TRUE,"n<=9"
76,0.775473913637927,0.736698109478535,9,-3.87758041593922,5,5,FALSE,"n<=9"
77,0.685190311879152,0.671665777396848,2,-1.35245344823038,4,4,FALSE,"n<=9"
78,0.745714101560581,0.757649865590198,1,1.19357640296164,5,5,FALSE,"n<=9"
79,0.683418966820223,0.663323303220417,2,-2.00956635998064,4,4,FALSE,"n<=9"
80,0.749688005718992,0.741549993186624,1,-0.81380125323679,5,5,FALSE,"n<=9"
81,0.74840494592965,0.745513129033607,12,-0.289181689604268,5,5,FALSE,"n=10-29"
82,0.585513866726098,0.610765384781897,11,2.52515180557988,2,2,FALSE,"n=10-29"
83,0.736555557564494,0.730165847978686,23,-0.638970958580765,5,5,FALSE,"n=10-29"
84,0.722252724588211,0.708135566167801,15,-1.41171584204095,5,5,FALSE,"n=10-29"
85,0.506155568697418,0.556537353488808,4,5.038178479139,1,1,FALSE,"n<=9"
87,0.474812639099279,0.484775397304236,1,0.996275820495734,1,1,FALSE,"n<=9"
91,0.494622219160444,0.471875082804723,1,-2.27471363557206,1,1,FALSE,"n<=9"
92,0.53677906165309,0.510743128240722,2,-2.60359334123681,1,1,FALSE,"n<=9"
95,0.725663973190522,0.685202288015606,3,-4.04616851749157,5,4,TRUE,"n<=9"
97,0.620865616155712,0.647485506627073,9,2.66198904713609,3,3,FALSE,"n<=9"
101,0.494642577686588,0.452162112959707,1,-4.24804647268817,1,1,FALSE,"n<=9"
105,0.434793719853665,0.458902398174219,1,2.4108678320554,1,1,FALSE,"n<=9"
127,0.512606844122546,0.497367874986864,3,-1.52389691356811,1,1,FALSE,"n<=9"
131,0.668625938646365,0.626166997885628,2,-4.24589407607373,4,3,TRUE,"n<=9"
133,0.693528740085166,0.676962760111026,3,-1.656597997414,4,4,FALSE,"n<=9"
135,0.498007115539776,0.475467564177585,1,-2.25395513621909,1,1,FALSE,"n<=9"
148,0.578219201847159,0.564371239741124,6,-1.38479621060351,2,1,TRUE,"n<=9"
156,0.549722346931024,0.531533092478819,3,-1.81892544522047,1,1,FALSE,"n<=9"
158,0.495403787660559,0.411053822515268,4,-8.4349965145291,1,1,FALSE,"n<=9"
159,0.506568434537848,0.498160334421895,3,-0.840810011595328,1,1,FALSE,"n<=9"
179,0.612579924328476,0.568938136665231,1,-4.36417876632458,2,1,TRUE,"n<=9"
182,0.646214473253903,0.587729761067845,5,-5.84847121860582,3,2,TRUE,"n<=9"
