"muni_idx","prev_principal_ponderado","prev_sensibilidad_sin_ponderar","n","dif_sin_menos_principal_pp","quintil_principal","quintil_sin_ponderar","cambia_quintil","estrato_n"
1,0.843913294170054,0.831750930895305,2,-1.21623632747494,3,3,FALSE,"n<=9"
3,0.791585871690237,0.812541265858269,100,2.09553941680318,2,3,TRUE,"n>=30"
4,0.757965136284739,0.792567259130251,1,3.46021228455119,2,2,FALSE,"n<=9"
6,0.869842976871316,0.823630984289218,6,-4.62119925820981,4,3,TRUE,"n<=9"
9,0.844281861842178,0.798624853072537,7,-4.56570087696408,3,2,TRUE,"n<=9"
10,0.89015292276362,0.82856852889256,18,-6.15843938710599,4,3,TRUE,"n=10-29"
12,0.936822431295113,0.88597450360006,7,-5.08479276950532,5,4,TRUE,"n<=9"
13,0.92139654436553,0.831880661659342,39,-8.95158827061877,5,3,TRUE,"n>=30"
14,0.945742330214013,0.909469094856344,10,-3.62732353576696,5,5,FALSE,"n=10-29"
15,0.965669710626215,0.953767884479669,2,-1.19018261465461,5,5,FALSE,"n<=9"
17,0.945728016709287,0.898517923420093,28,-4.72100932891943,5,5,FALSE,"n=10-29"
18,0.867478124876319,0.881984872980131,6,1.45067481038118,4,4,FALSE,"n<=9"
19,0.837325871739408,0.812786904726725,7,-2.45389670126838,3,3,FALSE,"n<=9"
21,0.78268795158738,0.791794761623579,34,0.910681003619862,2,2,FALSE,"n>=30"
22,0.856708425455982,0.877366171993279,62,2.06577465372968,4,4,FALSE,"n>=30"
23,0.921088424413853,0.87556022722034,39,-4.55281971935125,5,4,TRUE,"n>=30"
24,0.801445147902359,0.765284179083696,35,-3.61609688186635,3,2,TRUE,"n>=30"
25,0.820828110369629,0.78446024556742,3,-3.63678648022094,3,2,TRUE,"n<=9"
28,0.903977380267325,0.875877788435335,8,-2.80995918319896,5,4,TRUE,"n<=9"
29,0.91687582116327,0.916838819191093,6,-0.00370019721762649,5,5,FALSE,"n<=9"
30,0.805283486599317,0.868390478858231,2,6.31069922589141,3,4,TRUE,"n<=9"
31,0.861882141367524,0.849219838479178,56,-1.26623028883457,4,4,FALSE,"n>=30"
33,0.932541035725836,0.932352205102985,6,-0.0188830622850911,5,5,FALSE,"n<=9"
35,0.812256580809511,0.787858757176204,10,-2.43978236333071,3,2,TRUE,"n=10-29"
36,0.885135416953323,0.85399276009067,2,-3.11426568626529,4,4,FALSE,"n<=9"
38,0.880186870646604,0.872303606538664,18,-0.788326410793982,4,4,FALSE,"n=10-29"
39,0.944832952989577,0.940447371487435,6,-0.438558150214219,5,5,FALSE,"n<=9"
41,0.901550594995625,0.851782045911117,25,-4.97685490845079,5,4,TRUE,"n=10-29"
45,0.874455013328682,0.83320412809927,7,-4.12508852294122,4,3,TRUE,"n<=9"
46,0.95421157735685,0.952763307885776,1,-0.144826947107357,5,5,FALSE,"n<=9"
47,0.626730052005569,0.635077748798701,7,0.834769679313208,1,1,FALSE,"n<=9"
48,0.748579248503674,0.818595356520213,5,7.00161080165388,2,3,TRUE,"n<=9"
50,0.795147179625254,0.790690167535796,21,-0.445701208945848,2,2,FALSE,"n=10-29"
54,0.746692212050132,0.774135485570566,7,2.74432735204344,2,2,FALSE,"n<=9"
56,0.827136691090385,0.838649101006128,4,1.15124099157431,3,3,FALSE,"n<=9"
70,0.808587463160378,0.79227934536223,2,-1.6308117798148,3,2,TRUE,"n<=9"
76,0.760846621287936,0.782445198769932,11,2.15985774819963,2,2,FALSE,"n=10-29"
77,0.935634537976416,0.937563691187545,2,0.192915321112952,5,5,FALSE,"n<=9"
78,0.953403021384253,0.954923556470348,1,0.152053508609518,5,5,FALSE,"n<=9"
79,0.818675357925477,0.832394735191463,3,1.37193772659856,3,3,FALSE,"n<=9"
80,0.777015023009369,0.766620371487275,1,-1.0394651522094,2,2,FALSE,"n<=9"
81,0.84094199938635,0.843384894612517,14,0.244289522616692,3,3,FALSE,"n=10-29"
82,0.923315159863137,0.907792178726389,12,-1.55229811367481,5,5,FALSE,"n=10-29"
83,0.912877010609439,0.867001183509285,24,-4.58758271001545,5,4,TRUE,"n=10-29"
84,0.840542780677614,0.846594733392152,20,0.605195271453718,3,4,TRUE,"n=10-29"
85,0.869169495731067,0.859779138398779,4,-0.93903573322881,4,4,FALSE,"n<=9"
87,0.766913024824719,0.816948981133335,2,5.00359563086155,2,3,TRUE,"n<=9"
91,0.944616999883616,0.948398349053168,1,0.378134916955164,5,5,FALSE,"n<=9"
92,0.559079632961369,0.646843089524309,3,8.77634565629402,1,1,FALSE,"n<=9"
95,0.389856636810472,0.527848521875876,7,13.7991885065405,1,1,FALSE,"n<=9"
97,0.847615478761559,0.789978464453319,9,-5.76370143082395,3,2,TRUE,"n<=9"
101,0.920128081768383,0.942906269115121,1,2.27781873467381,5,5,FALSE,"n<=9"
105,0.922207529735582,0.913240898652923,1,-0.89666310826586,5,5,FALSE,"n<=9"
109,0.268780724064039,0.380749034681434,3,11.1968310617396,1,1,FALSE,"n<=9"
127,0.739310010588019,0.776075763894698,4,3.67657533066782,2,2,FALSE,"n<=9"
129,0.531987323394817,0.671685769119486,2,13.9698445724669,1,1,FALSE,"n<=9"
131,0.678521072426791,0.714526613375865,3,3.60055409490734,1,1,FALSE,"n<=9"
133,0.753377384649633,0.747555249114684,4,-0.58221355349497,2,2,FALSE,"n<=9"
135,0.945215288633895,0.950858320977466,1,0.564303234357055,5,5,FALSE,"n<=9"
148,0.711788694566739,0.742273412119495,8,3.04847175527563,2,2,FALSE,"n<=9"
154,0.670739886887091,0.764341265175116,1,9.36013782880245,1,2,TRUE,"n<=9"
156,0.593648432062842,0.643415484414555,4,4.9767052351713,1,1,FALSE,"n<=9"
158,0.676239300681306,0.756818133825838,7,8.05788331445324,1,2,TRUE,"n<=9"
159,0.488472390176585,0.55521272791648,5,6.67403377398949,1,1,FALSE,"n<=9"
179,0.509351289430876,0.69338780379403,4,18.4036514363154,1,1,FALSE,"n<=9"
182,0.583048584579098,0.616769055653342,7,3.37204710742441,1,1,FALSE,"n<=9"
188,0.577798597357164,0.704850499758115,5,12.7051902400951,1,1,FALSE,"n<=9"
191,0.433934087130831,0.562191601630321,2,12.8257514499491,1,1,FALSE,"n<=9"
199,0.923457432223662,0.932355250524329,1,0.889781830066649,5,5,FALSE,"n<=9"
201,0.68848662591436,0.684707825882279,2,-0.377880003208153,1,1,FALSE,"n<=9"
221,0.854037732706268,0.814844786218776,12,-3.91929464874923,4,3,TRUE,"n=10-29"
222,0.961134156378226,0.951465145755904,1,-0.966901062232128,5,5,FALSE,"n<=9"
224,0.971121089145994,0.974903806249548,2,0.378271710355327,5,5,FALSE,"n<=9"
225,0.524084154481669,0.612565328206196,2,8.84811737245268,1,1,FALSE,"n<=9"
229,0.912766616313643,0.901285217586823,17,-1.14813987268197,5,5,FALSE,"n=10-29"
231,0.725764510035911,0.769557266398665,5,4.37927563627541,2,2,FALSE,"n<=9"
234,0.795989539350532,0.81356916014689,3,1.75796207963581,2,3,TRUE,"n<=9"
235,0.878454171543762,0.893890629560496,1,1.5436458016734,4,5,TRUE,"n<=9"
237,0.919923459999979,0.917648841163554,10,-0.227461883642455,5,5,FALSE,"n=10-29"
241,0.942253307547299,0.953705969477628,1,1.14526619303283,5,5,FALSE,"n<=9"
242,0.618023421169803,0.674381076600123,1,5.63576554303198,1,1,FALSE,"n<=9"
