"paso","estrato_n","n_municipios","mediana_dif_abs_pp","p95_dif_abs_pp"
"AWARE_ESH","n<=9",351,3.26913772824665,8.47886136039264
"AWARE_ESH","n=10-29",188,4.27267595533878,10.6016932937765
"AWARE_ESH","n>=30",50,3.58024704489662,12.8478577268389
"AWARE_AHA","n<=9",220,2.1759960051138,6.90014165770827
"AWARE_AHA","n=10-29",282,2.96162915300867,7.87793915425017
"AWARE_AHA","n>=30",94,3.66817087977683,11.8806503328434
"TRAT","n<=9",429,2.03710116683657,9.35286834895944
"TRAT","n=10-29",115,2.97575641850372,9.46246464336694
"TRAT","n>=30",32,2.36423132224773,12.9266608671816
"CONTROL_ESH","n<=9",438,2.27037538749444,6.44613237081071
"CONTROL_ESH","n=10-29",93,3.79878747690719,9.30651459127855
"CONTROL_ESH","n>=30",27,2.40801022437775,7.93099529289627
"CONTROL_AHA","n<=9",438,2.35696675772422,6.92372014748834
"CONTROL_AHA","n=10-29",93,3.29733213671389,10.7936284151357
"CONTROL_AHA","n>=30",27,4.54971201546926,11.0477084243441
