"grupo","n_denominador","variable","n_faltantes","n_disponibles"
"Total",25088,"edad",0,25088
"Total",25088,"sexo",0,25088
"Total",25088,"escolaridad",0,25088
"Total",25088,"estrato",0,25088
"Total",25088,"anio",0,25088
"Total",25088,"pobreza_pct",46,25042
"HTA_ESH",7735,"edad",0,7735
"HTA_ESH",7735,"sexo",0,7735
"HTA_ESH",7735,"escolaridad",0,7735
"HTA_ESH",7735,"estrato",0,7735
"HTA_ESH",7735,"anio",0,7735
"HTA_ESH",7735,"pobreza_pct",8,7727
"HTA_AHA",11597,"edad",0,11597
"HTA_AHA",11597,"sexo",0,11597
"HTA_AHA",11597,"escolaridad",0,11597
"HTA_AHA",11597,"estrato",0,11597
"HTA_AHA",11597,"anio",0,11597
"HTA_AHA",11597,"pobreza_pct",14,11583
"Diagnosticados",5203,"edad",0,5203
"Diagnosticados",5203,"sexo",0,5203
"Diagnosticados",5203,"escolaridad",0,5203
"Diagnosticados",5203,"estrato",0,5203
"Diagnosticados",5203,"anio",0,5203
"Diagnosticados",5203,"pobreza_pct",7,5196
"Tratados",4388,"edad",0,4388
"Tratados",4388,"sexo",0,4388
"Tratados",4388,"escolaridad",0,4388
"Tratados",4388,"estrato",0,4388
"Tratados",4388,"anio",0,4388
"Tratados",4388,"pobreza_pct",6,4382
